Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Milan-Barcelona;1131.0;1131.0;0;0.0;0.0;1.002126932144165;
Lisbon-Cologne;2264.0;2264.0;0;0.0;0.0;1.00400972366333;
Vienna-Paris;1662.0;1662.0;8981.0;0.0;0.015061378479003906;0.0;
Calais-Gibraltar;2505.0;2505.0;0;0.0;0.0;1.0010077953338623;
Milan-Marseilles;618.0;618.0;3905.0;0.0;0.0;0.003196239471435547;
Paris-Rome;2140.0;2140.0;0;0.0;0.0;1.0041453838348389;
Cologne-Geneva;1239.0;1239.0;0;0.0;0.0;1.001776933670044;
Brussels-Stockholm;1609.0;1609.0;10805.0;0.0;0.0;0.0;
Hamburg-Lyons;1159.0;1159.0;3863.0;0.0007512569427490234;0.0;0.0010788440704345703;
Copenhagen-Athens;3299.0;3299.0;0;0.0;0.0;1.0081799030303955;
Copenhagen-Vienna;1615.0;1615.0;0;0.0;0.0;1.002638578414917;
Paris-Hamburg;877.0;877.0;0;0.0;0.0;1.003161907196045;
Vienna-Geneva;1087.0;1087.0;0;0.0;0.0;1.0040991306304932;
Copenhagen-Gibraltar;3045.0;3045.0;0;0.0;0.0;1.0028247833251953;
Copenhagen-Cologne;760.0;760.0;0;0.0;0.0;1.0042545795440674;
Hamburg-Stockholm;2206.0;2206.0;7973.0;0.0;0.0;0.0011074542999267578;
Hook of Holland-Cologne;922.0;922.0;0;0.0;0.0;1.0090513229370117;
Gibraltar-Brussels;2256.0;2256.0;0;0.0;0.0;1.0011489391326904;
Milan-Calais;1077.0;1077.0;1077.0;0.0010039806365966797;0.0;0.0019712448120117188;
Paris-Copenhagen;726.0;726.0;0;0.0;0.0;1.0005600452423096;
Madrid-Paris;1669.0;1669.0;5900.0;0.0;0.0;0.009228706359863281;
Hook of Holland-Hamburg;729.0;729.0;0;0.0;0.0;1.0012481212615967;
Calais-Hamburg;870.0;870.0;0;0.0;0.0;1.001173973083496;
Geneva-Lisbon;1336.0;1336.0;2680.0;0.0;0.0;0.004513263702392578;
Calais-Hook of Holland;376.0;376.0;0;0.0;0.0;1.0159738063812256;
Milan-Stockholm;2314.0;2314.0;3046.0;0.0;0.0;0.0012104511260986328;
Geneva-Cologne;1513.0;1513.0;0;0.0005462169647216797;0.0;1.0154972076416016;
Paris-Athens;3487.0;3487.0;0;0.0;0.0;1.0002548694610596;
Athens-Lisbon;4081.0;4081.0;0;0.0;0.0;1.0153002738952637;
Geneva-Brussels;1436.0;1436.0;0;0.0;0.0;1.0020160675048828;
Athens-Madrid;4184.0;4184.0;0;0.0;0.0;1.0072953701019287;
Gibraltar-Hamburg;2896.0;2896.0;4448.0;0.0;0.0;0.0050847530364990234;
Hamburg-Munich;805.0;805.0;5156.0;0.0;0.0;0.002335786819458008;
Barcelona-Marseilles;965.0;965.0;7545.0;0.0;0.0;0.0;
Vienna-Calais;1381.0;1381.0;9361.0;0.0;0.0;0.016959428787231445;
Calais-Munich;1675.0;1675.0;0;0.0;0.0;1.0005905628204346;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0014736652374268;
Cologne-Marseilles;1035.0;1035.0;7495.0;0.0;0.0;0.01185154914855957;
Vienna-Lisbon;2330.0;2330.0;0;0.0;0.0;1.0015034675598145;
Copenhagen-Milan;1367.0;1367.0;0;0.0;0.0;1.001234531402588;
Lisbon-Milan;2938.0;2938.0;0;0.0;0.0;1.0021178722381592;
Barcelona-Paris;1033.0;1033.0;1033.0;0.0;0.0;0.0021598339080810547;
Stockholm-Calais;1786.0;1786.0;1786.0;0.0;0.0;0.0020720958709716797;
Madrid-Cologne;1764.0;1764.0;0;0.0;0.0;1.014347791671753;
Barcelona-Madrid;1870.0;1870.0;1870.0;0.0;0.0;0.0;
Lisbon-Vienna;2861.0;2861.0;0;0.0;0.0;1.0037736892700195;
Copenhagen-Rome;1952.0;1952.0;0;0.0;0.0;1.0010204315185547;
Lisbon-Lyons;1178.0;1178.0;4139.0;0.0;0.0;0.0;
Rome-Calais;1663.0;1663.0;0;0.0;0.0;1.0039238929748535;
Milan-Brussels;1281.0;1281.0;0;0.0;0.0;1.0017573833465576;
