Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
881-536;209.0;209.0;656.0;0.01403951644897461;0.0532987117767334;0.029260873794555664;
711-42;151.0;151.0;0;0.013930082321166992;0.06731963157653809;1.0001156330108643;
348-228;209.0;209.0;507.0;0.007862567901611328;0.053723812103271484;0.016978740692138672;
122-961;168.0;168.0;228.0;0.025573015213012695;0.10516190528869629;0.007401943206787109;
226-959;94.0;94.0;0;0.009547710418701172;0.019809961318969727;1.0008137226104736;
710-835;111.0;111.0;111.0;0.010591745376586914;0.02010035514831543;0.009978055953979492;
807-348;100.0;100.0;232.0;0.012971878051757812;0.02729511260986328;0.019119977951049805;
938-152;208.0;208.0;0;0.026449918746948242;0.12519574165344238;1.0002543926239014;
314-620;250.0;250.0;367.0;0.007532358169555664;0.12471294403076172;0.01609516143798828;
697-53;138.0;138.0;202.0;0.00655055046081543;0.03021836280822754;0.010543584823608398;
333-36;69.0;69.0;69.0;0.002032041549682617;0.0011897087097167969;0.0028657913208007812;
579-816;112.0;112.0;112.0;0.011391401290893555;0.011486053466796875;0.0035543441772460938;
497-942;128.0;128.0;128.0;0.010528087615966797;0.023288249969482422;0.005797624588012695;
435-238;143.0;143.0;309.0;0.01858377456665039;0.08622503280639648;0.018573522567749023;
603-319;168.0;168.0;471.0;0.01683497428894043;0.07892084121704102;0.0315401554107666;
371-478;178.0;178.0;277.0;0.011838197708129883;0.03199625015258789;0.006689548492431641;
420-336;235.0;235.0;586.0;0.02921152114868164;0.1216585636138916;0.030745506286621094;
888-4;105.0;105.0;105.0;0.029923200607299805;0.03223371505737305;0.006968975067138672;
53-433;113.0;113.0;191.0;0.01494908332824707;0.05112481117248535;0.014819860458374023;
519-354;149.0;149.0;310.0;0.015271425247192383;0.07457947731018066;0.018991470336914062;
374-193;208.0;208.0;320.0;0.016657114028930664;0.09335136413574219;0.01555633544921875;
307-363;125.0;125.0;139.0;0.020068645477294922;0.03216910362243652;0.007640838623046875;
91-442;154.0;154.0;361.0;0.025128602981567383;0.08493518829345703;0.079742431640625;
167-235;131.0;131.0;131.0;0.010344743728637695;0.059773921966552734;0.029400348663330078;
396-289;67.0;67.0;67.0;0.0069963932037353516;0.013187885284423828;0.03174185752868652;
690-426;214.0;214.0;0;0.019288063049316406;0.12119245529174805;1.001321792602539;
787-57;147.0;147.0;147.0;0.010553598403930664;0.08937644958496094;0.006495952606201172;
533-791;103.0;103.0;103.0;0.006331205368041992;0.04947662353515625;0.002023458480834961;
231-577;115.0;115.0;189.0;0.008367300033569336;0.019775390625;0.011206626892089844;
52-647;157.0;157.0;0;0.013834238052368164;0.07840943336486816;1.0003440380096436;
916-69;138.0;138.0;357.0;0.014693498611450195;0.08430099487304688;0.02189469337463379;
325-448;235.0;235.0;347.0;0.027745723724365234;0.11764764785766602;0.01439046859741211;
90-15;123.0;123.0;265.0;0.028094768524169922;0.023916006088256836;0.016391277313232422;
267-433;125.0;125.0;180.0;0.015938997268676758;0.06121468544006348;0.011744499206542969;
370-395;153.0;153.0;184.0;0.021692276000976562;0.06154274940490723;0.010278701782226562;
630-514;196.0;196.0;260.0;0.02484130859375;0.10595917701721191;0.008868217468261719;
240-783;175.0;175.0;175.0;0.011922597885131836;0.09525084495544434;0.003590822219848633;
395-808;213.0;213.0;213.0;0.01768636703491211;0.11527061462402344;0.007963418960571289;
250-167;124.0;124.0;131.0;0.016358613967895508;0.04735541343688965;0.008673667907714844;
932-660;137.0;137.0;0;0.023340225219726562;0.04978203773498535;1.000246286392212;
461-751;129.0;129.0;192.0;0.0092315673828125;0.030651569366455078;0.006832122802734375;
523-411;208.0;208.0;276.0;0.014536380767822266;0.10750222206115723;0.007616996765136719;
987-688;145.0;145.0;284.0;0.012420177459716797;0.06924033164978027;0.008572101593017578;
343-105;179.0;179.0;225.0;0.03984403610229492;0.09714365005493164;0.009839057922363281;
574-25;233.0;233.0;0;0.01571798324584961;0.1262807846069336;1.00048828125;
628-620;203.0;203.0;0;0.010422706604003906;0.12090730667114258;1.000218152999878;
315-617;253.0;253.0;0;0.013606071472167969;0.12886643409729004;1.0008447170257568;
764-542;188.0;188.0;212.0;0.024602413177490234;0.11803293228149414;0.006103515625;
546-73;165.0;165.0;461.0;0.020479917526245117;0.07217931747436523;0.020930767059326172;
811-513;108.0;108.0;191.0;0.02341628074645996;0.03877758979797363;0.010585546493530273;
1-173;236.0;236.0;365.0;0.019698381423950195;0.08768248558044434;0.016203880310058594;
726-906;81.0;81.0;204.0;0.015640974044799805;0.04814910888671875;0.011415719985961914;
205-157;154.0;154.0;391.0;0.01907968521118164;0.08928537368774414;0.018100738525390625;
150-599;191.0;191.0;238.0;0.014873981475830078;0.1258072853088379;0.010095596313476562;
432-729;135.0;135.0;275.0;0.018032312393188477;0.031415700912475586;0.011269092559814453;
305-549;229.0;229.0;424.0;0.01463937759399414;0.0836336612701416;0.015556812286376953;
119-101;130.0;130.0;215.0;0.022629976272583008;0.0767817497253418;0.01127767562866211;
293-585;205.0;205.0;246.0;0.023726701736450195;0.12467217445373535;0.00872039794921875;
422-78;135.0;135.0;376.0;0.011301040649414062;0.021982431411743164;0.018166303634643555;
492-647;122.0;122.0;122.0;0.018492460250854492;0.055199623107910156;0.0038466453552246094;
42-560;150.0;150.0;413.0;0.023654699325561523;0.10016226768493652;0.0220181941986084;
928-330;116.0;116.0;116.0;0.013329267501831055;0.07117867469787598;0.007549285888671875;
881-701;192.0;192.0;249.0;0.1802382469177246;0.030147075653076172;0.010002374649047852;
249-441;179.0;179.0;264.0;0.016819238662719727;0.09684205055236816;0.011440277099609375;
439-518;163.0;163.0;342.0;0.01398611068725586;0.06258511543273926;0.015961647033691406;
620-779;96.0;96.0;797.0;0.012708902359008789;0.0066759586334228516;0.04067063331604004;
862-431;132.0;132.0;547.0;0.028608322143554688;0.048816680908203125;0.022948265075683594;
477-560;166.0;166.0;287.0;0.020087480545043945;0.0972890853881836;0.009610891342163086;
914-375;143.0;143.0;143.0;0.02364516258239746;0.0931398868560791;0.01024317741394043;
629-793;163.0;163.0;337.0;0.016247987747192383;0.037659645080566406;0.016900062561035156;
743-475;237.0;237.0;0;0.014558792114257812;0.11208915710449219;1.0008530616760254;
522-38;108.0;108.0;0;0.020874738693237305;0.03310751914978027;1.0004570484161377;
306-999;125.0;125.0;182.0;0.023133516311645508;0.05684995651245117;0.018911361694335938;
107-847;75.0;75.0;132.0;0.013154029846191406;0.00801849365234375;0.017403364181518555;
653-626;124.0;124.0;0;0.025986909866333008;0.049391746520996094;1.0001144409179688;
363-536;154.0;154.0;198.0;0.0066492557525634766;0.02081918716430664;0.012769460678100586;
713-568;142.0;142.0;399.0;0.008753538131713867;0.016323089599609375;0.023354768753051758;
668-887;130.0;130.0;207.0;0.018947839736938477;0.03849077224731445;0.011074304580688477;
49-344;83.0;83.0;83.0;0.0043294429779052734;0.011130094528198242;0.003922462463378906;
63-962;173.0;173.0;0;0.0222930908203125;0.042011260986328125;1.0003645420074463;
628-734;97.0;97.0;266.0;0.011994600296020508;0.01316213607788086;0.015636920928955078;
631-138;106.0;106.0;220.0;0.024665355682373047;0.017595529556274414;0.011554956436157227;
932-587;181.0;181.0;181.0;0.03563690185546875;0.10806608200073242;0.00640416145324707;
391-216;125.0;125.0;209.0;0.016443729400634766;0.058858394622802734;0.014286279678344727;
776-127;127.0;127.0;127.0;0.015000104904174805;0.07090449333190918;0.006894350051879883;
696-895;172.0;172.0;253.0;0.013871431350708008;0.08142542839050293;0.014824151992797852;
57-45;209.0;209.0;438.0;0.020067691802978516;0.09174704551696777;0.019771575927734375;
537-975;190.0;190.0;218.0;0.011578083038330078;0.10473394393920898;0.00763249397277832;
877-674;192.0;192.0;289.0;0.019416332244873047;0.12331700325012207;0.012448549270629883;
639-851;201.0;201.0;201.0;0.012361288070678711;0.11541748046875;0.003412485122680664;
57-666;201.0;201.0;0;0.011499404907226562;0.08463406562805176;1.0003056526184082;
687-870;180.0;180.0;0;0.017086267471313477;0.11562418937683105;1.0005407333374023;
480-434;204.0;204.0;497.0;0.019551753997802734;0.08139348030090332;0.019979000091552734;
769-323;197.0;197.0;0;0.01642584800720215;0.06421375274658203;1.0001888275146484;
869-228;173.0;173.0;522.0;0.013678550720214844;0.1029198169708252;0.017565488815307617;
835-416;142.0;142.0;274.0;0.0306854248046875;0.09646821022033691;0.014065742492675781;
943-336;192.0;192.0;459.0;0.01977396011352539;0.12571287155151367;0.022490501403808594;
297-50;153.0;153.0;0;0.01928424835205078;0.06349945068359375;1.0010197162628174;
545-535;153.0;153.0;218.0;0.01245260238647461;0.09102845191955566;0.011642932891845703;
353-394;168.0;168.0;407.0;0.024550437927246094;0.10817289352416992;0.01661825180053711;
17-362;199.0;199.0;0;0.02704334259033203;0.09955835342407227;1.0006935596466064;
976-640;219.0;219.0;221.0;0.0053479671478271484;0.09780240058898926;0.003857135772705078;
938-135;101.0;101.0;0;0.00727534294128418;0.01722407341003418;1.0002009868621826;
379-144;87.0;87.0;87.0;0.005450248718261719;0.01383662223815918;0.005073070526123047;
167-470;67.0;67.0;67.0;0.0036652088165283203;0.0039043426513671875;0.002811431884765625;
577-100;115.0;115.0;717.0;0.0067501068115234375;0.016051530838012695;0.03336191177368164;
465-925;118.0;118.0;0;0.015391349792480469;0.05187845230102539;1.000303030014038;
372-549;166.0;166.0;231.0;0.020818710327148438;0.09037303924560547;0.010569572448730469;
803-849;217.0;217.0;0;0.019777536392211914;0.10175013542175293;1.000288486480713;
468-205;212.0;212.0;247.0;0.01600193977355957;0.11899685859680176;0.006323575973510742;
118-571;108.0;108.0;108.0;0.024940967559814453;0.04478812217712402;0.004370212554931641;
710-397;130.0;130.0;205.0;0.012583732604980469;0.04494190216064453;0.005841970443725586;
919-752;114.0;114.0;114.0;0.009191274642944336;0.07755303382873535;0.0031974315643310547;
682-151;205.0;205.0;374.0;0.005631446838378906;0.04503607749938965;0.012039661407470703;
683-489;149.0;149.0;189.0;0.023223161697387695;0.0809025764465332;0.011190652847290039;
649-337;210.0;210.0;389.0;0.032364845275878906;0.12064862251281738;0.01766657829284668;
589-586;98.0;98.0;98.0;0.004885435104370117;0.02789163589477539;0.003234386444091797;
981-987;211.0;211.0;289.0;0.019332170486450195;0.11687231063842773;0.0072476863861083984;
95-612;164.0;164.0;164.0;0.014032840728759766;0.01434183120727539;0.004786252975463867;
458-376;150.0;150.0;424.0;0.02412557601928711;0.08358597755432129;0.02153635025024414;
557-201;105.0;105.0;432.0;0.020441532135009766;0.017339468002319336;0.01964735984802246;
162-503;181.0;181.0;262.0;0.017728328704833984;0.06517243385314941;0.010455608367919922;
341-115;112.0;112.0;112.0;0.013201475143432617;0.07562875747680664;0.00520014762878418;
105-707;138.0;138.0;303.0;0.016197681427001953;0.02645421028137207;0.014445781707763672;
507-474;106.0;106.0;416.0;0.008927106857299805;0.017574548721313477;0.01675128936767578;
9-312;154.0;154.0;270.0;0.021460294723510742;0.10314321517944336;0.010776758193969727;
55-290;83.0;83.0;83.0;0.003362894058227539;0.003148317337036133;0.003287076950073242;
271-856;180.0;180.0;216.0;0.013752222061157227;0.1100919246673584;0.008074283599853516;
105-427;163.0;163.0;557.0;0.017435073852539062;0.06499624252319336;0.02063274383544922;
854-807;156.0;156.0;252.0;0.010489225387573242;0.06933021545410156;0.008747577667236328;
8-523;226.0;226.0;226.0;0.02110457420349121;0.12416267395019531;0.007340908050537109;
664-306;146.0;146.0;199.0;0.020739316940307617;0.08145761489868164;0.005651712417602539;
761-895;166.0;166.0;868.0;0.020816326141357422;0.09297060966491699;0.03795480728149414;
869-617;255.0;255.0;484.0;0.017580270767211914;0.13028550148010254;0.0194547176361084;
827-732;134.0;134.0;445.0;0.020511388778686523;0.05707192420959473;0.01802539825439453;
387-696;84.0;84.0;117.0;0.0063059329986572266;0.0092010498046875;0.004587888717651367;
802-338;150.0;150.0;221.0;0.01169586181640625;0.04178643226623535;0.00998687744140625;
873-37;146.0;146.0;146.0;0.014111995697021484;0.06590771675109863;0.004854440689086914;
905-751;136.0;136.0;138.0;0.010274410247802734;0.0763096809387207;0.005441427230834961;
103-891;110.0;110.0;235.0;0.02099156379699707;0.029296398162841797;0.013613224029541016;
270-826;72.0;72.0;72.0;0.006676912307739258;0.00926518440246582;0.004674196243286133;
524-365;123.0;123.0;201.0;0.011727094650268555;0.04548144340515137;0.008338451385498047;
168-313;129.0;129.0;198.0;0.016752004623413086;0.05198478698730469;0.008398771286010742;
679-963;191.0;191.0;364.0;0.021998167037963867;0.07212972640991211;0.01894402503967285;
308-582;125.0;125.0;214.0;0.01783895492553711;0.021068811416625977;0.01820969581604004;
560-617;249.0;249.0;298.0;0.019112586975097656;0.1262502670288086;0.0132293701171875;
720-192;155.0;155.0;411.0;0.008571147918701172;0.03383135795593262;0.028296470642089844;
66-695;106.0;106.0;373.0;0.011827945709228516;0.036867380142211914;0.022327423095703125;
46-839;153.0;153.0;381.0;0.02236008644104004;0.09005379676818848;0.01978135108947754;
903-445;116.0;116.0;118.0;0.014934539794921875;0.05186891555786133;0.009263992309570312;
341-457;93.0;93.0;122.0;0.013231039047241211;0.04815363883972168;0.02096104621887207;
559-297;180.0;180.0;464.0;0.03318476676940918;0.11487030982971191;0.03188657760620117;
621-917;181.0;181.0;204.0;0.0213930606842041;0.08245611190795898;0.010219097137451172;
242-241;81.0;81.0;103.0;0.008185625076293945;0.016294240951538086;0.006975412368774414;
918-248;112.0;112.0;402.0;0.016837358474731445;0.022585153579711914;0.01898360252380371;
233-857;143.0;143.0;169.0;0.021359682083129883;0.03694343566894531;0.00704503059387207;
757-917;130.0;130.0;244.0;0.016315221786499023;0.04755449295043945;0.0069348812103271484;
264-212;200.0;200.0;0;0.009727716445922852;0.11425113677978516;1.0007765293121338;
125-919;149.0;149.0;245.0;0.020008087158203125;0.07022714614868164;0.00991368293762207;
822-886;136.0;136.0;303.0;0.013007164001464844;0.07791829109191895;0.02016735076904297;
589-662;118.0;118.0;118.0;0.012897491455078125;0.05757951736450195;0.007399797439575195;
412-947;129.0;129.0;182.0;0.013039112091064453;0.05307292938232422;0.003209352493286133;
790-288;130.0;130.0;130.0;0.010880708694458008;0.024505615234375;0.0036559104919433594;
8-248;152.0;152.0;334.0;0.018528461456298828;0.05990028381347656;0.014629364013671875;
119-48;92.0;92.0;408.0;0.01077890396118164;0.022593021392822266;0.024398326873779297;
768-525;103.0;103.0;0;0.016605854034423828;0.05127120018005371;1.0005624294281006;
574-954;159.0;159.0;246.0;0.01433873176574707;0.05038309097290039;0.006735324859619141;
672-354;128.0;128.0;216.0;0.03425335884094238;0.09619760513305664;0.009870529174804688;
409-616;99.0;99.0;0;0.012048006057739258;0.024300813674926758;1.0007004737854004;
172-767;183.0;183.0;274.0;0.027195215225219727;0.1183631420135498;0.011820793151855469;
219-755;43.0;43.0;43.0;0.0021843910217285156;0.0009784698486328125;0.0020465850830078125;
71-327;127.0;127.0;0;0.021193504333496094;0.0668950080871582;1.0004339218139648;
524-243;88.0;88.0;102.0;0.006947755813598633;0.01109004020690918;0.0037429332733154297;
925-891;129.0;129.0;288.0;0.010321617126464844;0.04804039001464844;0.015514850616455078;
519-498;204.0;204.0;235.0;0.02525472640991211;0.11715102195739746;0.010718584060668945;
355-988;135.0;135.0;293.0;0.017426490783691406;0.01753854751586914;0.011996269226074219;
43-529;115.0;115.0;145.0;0.01832413673400879;0.04016828536987305;0.006105661392211914;
256-484;147.0;147.0;231.0;0.00903463363647461;0.054958343505859375;0.005480527877807617;
146-50;138.0;138.0;473.0;0.021599769592285156;0.048380374908447266;0.019634723663330078;
252-739;161.0;161.0;0;0.012036800384521484;0.07561922073364258;1.0003273487091064;
77-616;120.0;120.0;120.0;0.010671138763427734;0.0765693187713623;0.005898475646972656;
424-797;219.0;219.0;558.0;0.017206907272338867;0.0992283821105957;0.019774675369262695;
66-529;75.0;75.0;0;0.007845640182495117;0.011420726776123047;1.0003299713134766;
290-803;83.0;83.0;161.0;0.00924539566040039;0.010313272476196289;0.006397724151611328;
64-170;183.0;183.0;304.0;0.018491268157958984;0.10796475410461426;0.010477304458618164;
579-262;118.0;118.0;0;0.007177829742431641;0.017218351364135742;1.000152826309204;
404-753;151.0;151.0;230.0;0.013432502746582031;0.03327202796936035;0.007578134536743164;
169-663;148.0;148.0;244.0;0.007596731185913086;0.0067288875579833984;0.006690263748168945;
