Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
11-21;0.21128177231461553;0.21128177231461553;0.3539058510645817;9.417533874511719e-05;0.00010633468627929688;0.0021119117736816406;
31-23;0.06571570989186426;0.06571570989186426;0.06571570989186426;4.57763671875e-05;2.956390380859375e-05;0.0012722015380859375;
3-5;0.07290487181363958;0.07290487181363958;0.07290487181363958;4.792213439941406e-05;2.4080276489257812e-05;0.0006120204925537109;
22-1;0.08755766536155873;0.08755766536155873;0.08755766536155873;8.392333984375e-05;4.100799560546875e-05;0.0006635189056396484;
31-30;0.09183965115748616;0.09183965115748616;0.09183965115748616;5.888938903808594e-05;8.749961853027344e-05;0.0017476081848144531;
2-28;0.17853577541136956;0.17853577541136956;0.17853577541136956;8.225440979003906e-05;3.695487976074219e-05;0.001447916030883789;
18-10;0.4060902966597568;0.4060902966597568;0.4060902966597568;0.00014781951904296875;0.0001609325408935547;0.0016880035400390625;
32-16;0.22480948902088072;0.22480948902088072;0.22480948902088072;9.703636169433594e-05;0.00011467933654785156;0.00356292724609375;
7-26;0.3602351540013763;0.3602351540013763;0.3602351540013763;0.00021409988403320312;0.0001780986785888672;0.004083156585693359;
30-22;0.1636049831168762;0.1636049831168762;0.17833276592842795;0.00012254714965820312;0.00010704994201660156;0.0026149749755859375;
22-13;0.2897084708379909;0.2897084708379909;0.3039253771397;0.00011992454528808594;0.00014901161193847656;0.0028727054595947266;
24-8;0.4700387426852669;0.4700387426852669;0.49157728299735715;0.00012612342834472656;0.0001614093780517578;0.004245281219482422;
11-13;0.26998711964988564;0.26998711964988564;0.26998711964988564;8.96453857421875e-05;0.00012063980102539062;0.0028591156005859375;
4-13;0.14106739971312088;0.14106739971312088;0.14106739971312088;6.532669067382812e-05;0.00013494491577148438;0.0014712810516357422;
20-4;0.16975811972568866;0.16975811972568866;0.16975811972568866;7.271766662597656e-05;8.416175842285156e-05;0.002069234848022461;
15-13;0.24773716307617022;0.24773716307617022;0.24773716307617022;9.441375732421875e-05;0.00011849403381347656;0.002687215805053711;
15-12;0.3887402883667834;0.3887402883667834;0.3887402883667834;6.723403930664062e-05;0.000209808349609375;0.0010542869567871094;
1-30;0.1471240545167729;0.1471240545167729;0.1471240545167729;7.43865966796875e-05;4.0531158447265625e-05;0.0012354850769042969;
31-9;0.14030373639114324;0.14030373639114324;0.17956745244360472;7.05718994140625e-05;0.00010848045349121094;0.002740621566772461;
4-9;0.11433207898361974;0.11433207898361974;0.14943007485848703;5.841255187988281e-05;8.845329284667969e-05;0.002621173858642578;
28-2;0.0979391909729006;0.0979391909729006;0.0979391909729006;4.76837158203125e-05;6.031990051269531e-05;0.0015463829040527344;
3-32;0.08837967364622878;0.08837967364622878;0.1616357431458053;5.650520324707031e-05;3.4809112548828125e-05;0.003222942352294922;
4-24;0.1595003225597813;0.1595003225597813;0.1595003225597813;9.751319885253906e-05;0.00012087821960449219;0.0027201175689697266;
12-4;0.36794728888989303;0.36794728888989303;0.36794728888989303;9.775161743164062e-05;0.00010275840759277344;0.003254413604736328;
11-25;0.21593544772964868;0.21593544772964868;0.21593544772964868;7.700920104980469e-05;8.845329284667969e-05;0.002229452133178711;
2-3;0.19181717398044085;0.19181717398044085;0.19181717398044085;5.078315734863281e-05;6.723403930664062e-05;0.0018351078033447266;
4-14;0.15998124033312433;0.15998124033312433;0.15998124033312433;7.748603820800781e-05;0.00013875961303710938;0.002228975296020508;
24-1;0.20844340508217862;0.20844340508217862;0.20844340508217862;0.00012946128845214844;9.679794311523438e-05;0.0020172595977783203;
5-8;0.4713564639024094;0.4713564639024094;0.4713564639024094;0.00011014938354492188;0.00016260147094726562;0.0029108524322509766;
