Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
272-238;0.020298568965973818;0.020298568965973818;0.05469381797336703;0.002285480499267578;0.004595518112182617;0.022398710250854492;
276-194;0.033906169383030704;0.033906169383030704;0.04834716381910775;0.008006572723388672;0.0267331600189209;0.018370866775512695;
242-28;0.02401292862871185;0.02401292862871185;0.02401292862871185;0.0060808658599853516;0.023726224899291992;0.004884481430053711;
270-300;0.02831101871004127;0.02831101871004127;0.037454813972077505;0.0063550472259521484;0.024797439575195312;0.006678104400634766;
73-60;0.029183905735218563;0.029183905735218563;0.029183905735218563;0.009962320327758789;0.025326251983642578;0.005434989929199219;
370-327;0.01268538256505447;0.01268538256505447;0.01268538256505447;0.0010726451873779297;0.002257108688354492;0.0029528141021728516;
330-244;0.029229402795039383;0.029229402795039383;0.03568371246826196;0.007719278335571289;0.02405405044555664;0.008790969848632812;
389-212;0.02541755122179523;0.02541755122179523;0.037460706051339554;0.006620883941650391;0.008694648742675781;0.010545730590820312;
76-504;0.02354840518110546;0.02354840518110546;0.05479495240733723;0.005681037902832031;0.006880044937133789;0.795438289642334;
374-216;0.0327483171424956;0.0327483171424956;0.06469954494123042;0.006735086441040039;0.026622295379638672;0.020626544952392578;
335-131;0.03571882993139841;0.03571882993139841;0.07802455363805316;0.004781484603881836;0.03198504447937012;0.026448488235473633;
283-67;0.029561545178532378;0.029561545178532378;0.031670150617989945;0.010892152786254883;0.024558544158935547;0.008106470108032227;
179-460;0.031099918953141015;0.031099918953141015;0.05808888491695763;0.008220672607421875;0.03326606750488281;0.021390676498413086;
55-81;0.02044506151190839;0.02044506151190839;0.02044506151190839;0.0162050724029541;0.0194857120513916;0.004178762435913086;
98-329;0.026572479826930562;0.026572479826930562;0.046223545127025645;0.006520271301269531;0.024790048599243164;0.012789011001586914;
45-155;0.012981186810769874;0.012981186810769874;0.012981186810769874;0.0031430721282958984;0.004769802093505859;0.0038139820098876953;
171-398;0.02560005230754836;0.02560005230754836;0.07240859819191958;0.004872322082519531;0.023188114166259766;0.023189783096313477;
473-295;0.0578858372384613;0.0578858372384613;0.07854790085779739;0.009386777877807617;0.032804250717163086;0.01362919807434082;
