Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
43-29;0.2229405978557164;0.2229405978557164;0.3861824789069145;0.000335693359375;0.0006096363067626953;0.007429599761962891;
50-9;0.20378163239913472;0.20378163239913472;0.2600550822447024;0.00013828277587890625;0.0004177093505859375;0.002906322479248047;
31-25;0.06711948982698868;0.06711948982698868;0.06711948982698868;0.00014162063598632812;6.318092346191406e-05;0.0005586147308349609;
41-27;0.10320444616510749;0.10320444616510749;0.10320444616510749;0.00018835067749023438;0.00018978118896484375;0.0021233558654785156;
15-31;0.17619189570077265;0.17619189570077265;0;0.0002570152282714844;0.0003979206085205078;1.0001122951507568;
45-18;0.19647060312309905;0.19647060312309905;0.21454926468712565;0.0002541542053222656;0.00020647048950195312;0.0027704238891601562;
52-15;0.16040495067679772;0.16040495067679772;0;0.00019884109497070312;0.0003883838653564453;1.0001709461212158;
9-26;0.06744658347655297;0.06744658347655297;0.1881329559791941;9.655952453613281e-05;6.031990051269531e-05;0.0033788681030273438;
50-31;0.2016831304266571;0.2016831304266571;0.2016831304266571;0.00022363662719726562;0.00039649009704589844;0.0028047561645507812;
35-9;0.13760763768793272;0.13760763768793272;0.13760763768793272;0.0001373291015625;0.0003578662872314453;0.002072572708129883;
10-57;0.23718837793665348;0.23718837793665348;0.23718837793665348;0.0005261898040771484;0.0005640983581542969;0.002500295639038086;
43-19;0.15518004754566495;0.15518004754566495;0.318421928596863;0.00018143653869628906;0.0002655982971191406;0.003939628601074219;
59-6;0.2742722198442443;0.2742722198442443;0.2742722198442443;0.0002961158752441406;0.0004451274871826172;0.0034515857696533203;
38-51;0.17089048648786775;0.17089048648786775;0.3126378731356817;0.0002429485321044922;0.00041961669921875;0.004913806915283203;
35-50;0.10856040872845507;0.10856040872845507;0.10856040872845507;6.341934204101562e-05;0.00020456314086914062;0.0013802051544189453;
10-33;0.1853621966822524;0.1853621966822524;0;0.0003604888916015625;0.00046753883361816406;1.0000553131103516;
32-12;0.12718435750498702;0.12718435750498702;0.236487955109839;0.0001766681671142578;0.00024771690368652344;0.004090785980224609;
54-40;0.21759636945401573;0.21759636945401573;0.21759636945401573;0.00019359588623046875;0.000537872314453125;0.002476930618286133;
10-42;0.12121571747123383;0.12121571747123383;0;0.0002739429473876953;0.00028228759765625;1.0004703998565674;
9-13;0.12464616277148532;0.12464616277148532;0;0.00019407272338867188;0.000278472900390625;1.0002048015594482;
40-27;0.10797323129642711;0.10797323129642711;0.23668628627919508;0.0002243518829345703;0.00016689300537109375;0.004181623458862305;
30-10;0.10950998330163697;0.10950998330163697;0.34333480956525175;0.00011086463928222656;0.00017833709716796875;0.003840208053588867;
44-3;0.08521643817149183;0.08521643817149183;0.08521643817149183;8.654594421386719e-05;6.580352783203125e-05;0.0018427371978759766;
35-58;0.17430775264949117;0.17430775264949117;0.3756842007247425;0.00015473365783691406;0.00046825408935546875;0.00433659553527832;
63-54;0.08783563707601316;0.08783563707601316;0.08783563707601316;0.0001392364501953125;0.00028204917907714844;0.002260446548461914;
34-61;0.15544870815499268;0.15544870815499268;0;0.0001354217529296875;6.341934204101562e-05;1.0003833770751953;
41-2;0.15300120528583616;0.15300120528583616;0.20623423797241325;0.00020623207092285156;0.00038814544677734375;0.003011941909790039;
38-19;0.10959698670846307;0.10959698670846307;0.10959698670846307;0.000156402587890625;0.0001723766326904297;0.0027921199798583984;
34-52;0.1758571668144847;0.1758571668144847;0;0.00013136863708496094;0.00011730194091796875;1.0003056526184082;
19-14;0.18564365733988675;0.18564365733988675;0.5219685091056098;0.00019884109497070312;0.00046563148498535156;0.005984783172607422;
58-22;0.07850070765880268;0.07850070765880268;0.3397420794467516;9.179115295410156e-05;4.935264587402344e-05;0.005494356155395508;
63-14;0.19756808373389956;0.19756808373389956;0.5736909166406566;0.0002951622009277344;0.0006506443023681641;0.010097265243530273;
8-49;0.0851193503950064;0.0851193503950064;0.0851193503950064;0.00016927719116210938;0.00013446807861328125;0.00232696533203125;
43-62;0.16558907443694992;0.16558907443694992;0;0.0002551078796386719;0.000331878662109375;1.0004661083221436;
51-25;0.14976680839985024;0.14976680839985024;0.3118402852061304;0.00018072128295898438;0.0002002716064453125;0.005138397216796875;
24-12;0.11521335989401882;0.11521335989401882;0.18920893937161676;0.0001995563507080078;0.0001685619354248047;0.002530813217163086;
