Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
466-978;0.012405839659721307;0.012405839659721307;0.012405839659721307;0.016822338104248047;0.09834909439086914;0.0034999847412109375;
559-716;0.01825897317400038;0.01825897317400038;0.01825897317400038;0.016594409942626953;0.09115004539489746;0.008815526962280273;
727-546;0.012602906309792328;0.012602906309792328;0.012602906309792328;0.009834527969360352;0.01111459732055664;0.001392364501953125;
407-684;0.010671542375767173;0.010671542375767173;0.010671542375767173;0.020142793655395508;0.019428253173828125;0.0041348934173583984;
806-469;0.016961828509588606;0.016961828509588606;0.016961828509588606;0.03332352638244629;0.09773683547973633;0.002230405807495117;
853-77;0.015498732640196522;0.015498732640196522;0.015498732640196522;0.012279987335205078;0.08319735527038574;0.004599332809448242;
360-454;0.011422812466491017;0.011422812466491017;0.011422812466491017;0.006277322769165039;0.016935110092163086;0.004106998443603516;
496-332;0.009418165384809996;0.009418165384809996;0.009418165384809996;0.020550251007080078;0.011546134948730469;0.0013625621795654297;
337-272;0.016444986160375707;0.016444986160375707;0.016444986160375707;0.02356243133544922;0.11896204948425293;0.006857156753540039;
393-928;0.012397112922861164;0.012397112922861164;0.012397112922861164;0.013762950897216797;0.03572654724121094;0.004206418991088867;
796-156;0.01764214924521268;0.01764214924521268;0.01764214924521268;0.023947477340698242;0.10631489753723145;0.006626605987548828;
861-274;0.013054042638745655;0.013054042638745655;0.013054042638745655;0.021092891693115234;0.06512308120727539;0.005971193313598633;
241-303;0.009923941872174824;0.009923941872174824;0.009923941872174824;0.012301921844482422;0.025767803192138672;0.007211923599243164;
12-875;0.009101186458634558;0.009101186458634558;0.009101186458634558;0.009554147720336914;0.005561351776123047;0.0058782100677490234;
956-83;0.01617731420075974;0.01617731420075974;0.01617731420075974;0.019545793533325195;0.07348442077636719;0.006254911422729492;
268-412;0.011841804251478183;0.011841804251478183;0.011841804251478183;0.018121004104614258;0.051939964294433594;0.010039567947387695;
412-95;0.014309071292977094;0.014309071292977094;0.014309071292977094;0.012576818466186523;0.01962590217590332;0.004877567291259766;
731-69;0.017127875786057234;0.017127875786057234;0.017127875786057234;0.019477367401123047;0.1082906723022461;0.006009101867675781;
1004-228;0.014686834616866928;0.014686834616866928;0.014686834616866928;0.020330429077148438;0.1011190414428711;0.004312992095947266;
689-901;0.006467109688722106;0.006467109688722106;0.006467109688722106;0.008055686950683594;0.01848435401916504;0.005369663238525391;
512-532;0.024150458810254904;0.024150458810254904;0.024150458810254904;0.01569390296936035;0.14364147186279297;0.006098747253417969;
518-904;0.010726386452034609;0.010726386452034609;0.010726386452034609;0.012965917587280273;0.08410024642944336;0.008115053176879883;
537-250;0.010832397808618222;0.010832397808618222;0.010832397808618222;0.02252984046936035;0.06478404998779297;0.003912210464477539;
561-209;0.01483836455474341;0.01483836455474341;0.01483836455474341;0.018785953521728516;0.09228229522705078;0.0055844783782958984;
51-491;0.017836069581756098;0.017836069581756098;0.017836069581756098;0.029635906219482422;0.1198892593383789;0.006239652633666992;
631-539;0.011614696075656461;0.011614696075656461;0.011614696075656461;0.0069065093994140625;0.0080718994140625;0.0048334598541259766;
717-216;0.012652521958861906;0.012652521958861906;0.012652521958861906;0.016483306884765625;0.048821210861206055;0.004127979278564453;
88-7;0.017197481047741214;0.017197481047741214;0.017197481047741214;0.025916576385498047;0.05871725082397461;0.009450674057006836;
703-380;0.011738488098028466;0.011738488098028466;0.011738488098028466;0.005547523498535156;0.01228785514831543;0.0030701160430908203;
265-826;0.02028575599547311;0.02028575599547311;0.02028575599547311;0.013887166976928711;0.05506420135498047;0.006775379180908203;
559-854;0.015853517837755793;0.015853517837755793;0.015853517837755793;0.012244701385498047;0.05337214469909668;0.007647514343261719;
462-868;0.013639863157336451;0.013639863157336451;0.013639863157336451;0.02959585189819336;0.0733647346496582;0.006432771682739258;
137-288;0.012800358285390057;0.012800358285390057;0.012800358285390057;0.019040822982788086;0.04518747329711914;0.006742954254150391;
410-305;0.017228670717855943;0.017228670717855943;0.017228670717855943;0.017228364944458008;0.06794881820678711;0.006026029586791992;
365-882;0.012093336592472581;0.012093336592472581;0.012093336592472581;0.006052970886230469;0.03716230392456055;0.006757259368896484;
106-704;0.008136162417211712;0.008136162417211712;0.008136162417211712;0.007971048355102539;0.015003204345703125;0.006593942642211914;
337-187;0.008885315660393855;0.008885315660393855;0.008885315660393855;0.011562108993530273;0.020920276641845703;0.005993366241455078;
975-886;0.016873985963210547;0.016873985963210547;0.016873985963210547;0.006639957427978516;0.0467066764831543;0.004334449768066406;
222-799;0.0143407281816883;0.0143407281816883;0.0143407281816883;0.0212862491607666;0.10387444496154785;0.007258892059326172;
244-662;0.005523882010946779;0.005523882010946779;0.005523882010946779;0.006182432174682617;0.004382610321044922;0.0045430660247802734;
24-743;0.019628386209839976;0.019628386209839976;0.019628386209839976;0.015781879425048828;0.1297452449798584;0.00593256950378418;
927-947;0.01795087380041449;0.01795087380041449;0.01795087380041449;0.02603626251220703;0.124053955078125;0.005132198333740234;
252-901;0.018960626781916567;0.018960626781916567;0.018960626781916567;0.01997065544128418;0.07280135154724121;0.009831428527832031;
964-543;0.016493351442708915;0.016493351442708915;0.016493351442708915;0.009010553359985352;0.0727853775024414;0.005521059036254883;
712-182;0.019087500650434186;0.019087500650434186;0.019087500650434186;0.01523137092590332;0.11648273468017578;0.004212617874145508;
100-894;0.017195260771344922;0.017195260771344922;0.017195260771344922;0.013591289520263672;0.13155651092529297;0.0033540725708007812;
78-239;0.0161571310020292;0.0161571310020292;0.0161571310020292;0.015544414520263672;0.08272933959960938;0.002582073211669922;
3-531;0.016241597441197686;0.016241597441197686;0.016241597441197686;0.02392125129699707;0.04497265815734863;0.0068705081939697266;
988-338;0.014539324592499958;0.014539324592499958;0.014539324592499958;0.03367304801940918;0.09898972511291504;0.004771709442138672;
643-759;0.016333704087876044;0.016333704087876044;0.016333704087876044;0.026994705200195312;0.11354494094848633;0.006858110427856445;
992-292;0.029449310901391468;0.029449310901391468;0.029449310901391468;0.02363753318786621;0.13167548179626465;0.0056688785552978516;
888-821;0.015128236012050156;0.015128236012050156;0.015128236012050156;0.029123544692993164;0.06762456893920898;0.003331899642944336;
839-475;0.014041878860933887;0.014041878860933887;0.014041878860933887;0.024199485778808594;0.08607149124145508;0.006076335906982422;
35-460;0.015143257530939813;0.015143257530939813;0.015143257530939813;0.021775007247924805;0.0914459228515625;0.007043123245239258;
