Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
3-81;0.07371450342795594;0.07371450342795594;0.10577470965049907;0.0030095577239990234;0.004031181335449219;0.011369943618774414;
87-77;0.06794693903822813;0.06794693903822813;0.09729940199175702;0.004230499267578125;0.00912332534790039;0.007310390472412109;
52-66;0.008777572472748463;0.008777572472748463;0.008777572472748463;0.0004069805145263672;0.00042510032653808594;0.0012497901916503906;
160-211;0.04618436340823384;0.04618436340823384;0.04618436340823384;0.001943349838256836;0.0073735713958740234;0.00619959831237793;
10-21;0.05317441164419523;0.05317441164419523;0.0739389129335748;0.0030858516693115234;0.008667945861816406;0.00832986831665039;
200-18;0.027052810860510146;0.027052810860510146;0.1164202633004755;0.0022406578063964844;0.002519369125366211;0.021140336990356445;
110-9;0.03329462122537452;0.03329462122537452;0.07064410115367292;0.0006165504455566406;0.0026171207427978516;0.008769989013671875;
151-145;0.04692939967946941;0.04692939967946941;0.05037407130312155;0.002681732177734375;0.008259296417236328;0.005462646484375;
164-81;0.034264865800870514;0.034264865800870514;0.06297238332902722;0.002664804458618164;0.0031125545501708984;0.011765480041503906;
118-130;0.04440851291373071;0.04440851291373071;0.08232556288273907;0.0038280487060546875;0.007961034774780273;0.011993408203125;
158-194;0.03482568000142661;0.03482568000142661;0.07599150873830351;0.0017361640930175781;0.002070903778076172;0.01129150390625;
71-195;0.040656148570613504;0.040656148570613504;0.040656148570613504;0.0032618045806884766;0.005243778228759766;0.0019707679748535156;
119-163;0.021529870279417995;0.021529870279417995;0.08028020168428962;0.0024254322052001953;0.0019826889038085938;0.01145482063293457;
81-167;0.02303060233437415;0.02303060233437415;0.029796348184098043;0.0016429424285888672;0.001445770263671875;0.004420042037963867;
193-58;0.04509833472785407;0.04509833472785407;0.059961044329924995;0.0018398761749267578;0.0026085376739501953;0.006222248077392578;
47-252;0.09247630476665869;0.09247630476665869;0.09247630476665869;0.004120588302612305;0.010238170623779297;0.00840902328491211;
201-4;0.033342178911713205;0.033342178911713205;0.033342178911713205;0.0003631114959716797;0.00066375732421875;0.001697540283203125;
224-176;0.07460214268198306;0.07460214268198306;0.10625880781146768;0.0035691261291503906;0.006171703338623047;0.009272098541259766;
64-101;0.08165400665501665;0.08165400665501665;0.13538233889236828;0.0015711784362792969;0.007342815399169922;0.008707761764526367;
208-33;0.02440130079409608;0.02440130079409608;0.09588280678744587;0.001077413558959961;0.0008115768432617188;0.011327981948852539;
56-44;0.0694675593040458;0.0694675593040458;0.0694675593040458;0.0017600059509277344;0.008313179016113281;0.004248857498168945;
78-143;0.05129029797973317;0.05129029797973317;0.13320444605820603;0.0022950172424316406;0.003909587860107422;0.017813920974731445;
223-11;0.07413924394979465;0.07413924394979465;0.07413924394979465;0.0020558834075927734;0.009232521057128906;0.006646156311035156;
147-169;0.03302444208996369;0.03302444208996369;0.03302444208996369;0.0010673999786376953;0.004766702651977539;0.0047152042388916016;
7-132;0.02000946186070096;0.02000946186070096;0.02000946186070096;0.0014493465423583984;0.0008332729339599609;0.0020542144775390625;
135-178;0.03526681358826467;0.03526681358826467;0.05048954927631688;0.001092672348022461;0.0011143684387207031;0.0034155845642089844;
189-244;0.04891566356764632;0.04891566356764632;0.04891566356764632;0.0025987625122070312;0.008399486541748047;0.0018889904022216797;
127-136;0.04542989723159796;0.04542989723159796;0.10110619947478283;0.0009160041809082031;0.00176239013671875;0.012219429016113281;
248-139;0.021664634666282323;0.021664634666282323;0.11071018153047296;0.0012409687042236328;0.0018162727355957031;0.013566732406616211;
103-21;0.04308836641364999;0.04308836641364999;0.04308836641364999;0.0031728744506835938;0.007876157760620117;0.0074427127838134766;
151-57;0.038438034078761674;0.038438034078761674;0.11205958049277842;0.0038645267486572266;0.0061588287353515625;0.016201019287109375;
133-83;0.04683257452551781;0.04683257452551781;0;0.0024132728576660156;0.006760120391845703;1.0004141330718994;
119-110;0.0319881062883417;0.0319881062883417;0.04083347848439889;0.004162788391113281;0.0047986507415771484;0.006601572036743164;
228-51;0.06808915302822849;0.06808915302822849;0.09148097498904528;0.002674102783203125;0.008846759796142578;0.008656978607177734;
197-43;0.018678155928105733;0.018678155928105733;0.021731861553093146;0.0011179447174072266;0.0009827613830566406;0.004086732864379883;
81-78;0.037958639337361544;0.037958639337361544;0.03800349287640736;0.0009827613830566406;0.004201650619506836;0.0044748783111572266;
77-200;0.0472108906761064;0.0472108906761064;0.05309107990700379;0.003065824508666992;0.0073049068450927734;0.005087852478027344;
102-178;0.03750333836898001;0.03750333836898001;0.03750333836898001;0.00345611572265625;0.00418543815612793;0.005621910095214844;
233-18;0.041648437229124924;0.041648437229124924;0;0.004532575607299805;0.005472660064697266;1.000493049621582;
54-248;0.03394098227947806;0.03394098227947806;0.03394098227947806;0.0016064643859863281;0.0024709701538085938;0.00465083122253418;
45-90;0.0867417921472231;0.0867417921472231;0.0867417921472231;0.002123117446899414;0.009252309799194336;0.005280256271362305;
165-253;0.055793944901116665;0.055793944901116665;0.07282652745764107;0.003975629806518555;0.00844120979309082;0.009410619735717773;
203-137;0.087530487349888;0.087530487349888;0.10649833901275563;0.002437591552734375;0.009410619735717773;0.008864402770996094;
51-105;0.061305272725526994;0.061305272725526994;0.0727475788299049;0.004456758499145508;0.008684873580932617;0.0061914920806884766;
140-100;0.023527583298088794;0.023527583298088794;0.023527583298088794;0.0006482601165771484;0.0003719329833984375;0.004654884338378906;
254-125;0.07669525184673365;0.07669525184673365;0.07930162720243772;0.0041658878326416016;0.008956670761108398;0.0075871944427490234;
199-168;0.07678223359679015;0.07678223359679015;0.07678223359679015;0.0024864673614501953;0.008306264877319336;0.0036339759826660156;
3-192;0.07086882273923145;0.07086882273923145;0.08048362923930041;0.0007071495056152344;0.002580881118774414;0.0030286312103271484;
31-27;0.04100068204158913;0.04100068204158913;0.0702250528936974;0.002498149871826172;0.005670070648193359;0.010528087615966797;
151-189;0.040967414770438304;0.040967414770438304;0;0.0060596466064453125;0.007061481475830078;1.0004668235778809;
115-88;0.03791865194105615;0.03791865194105615;0.04510255103851313;0.0016930103302001953;0.0031833648681640625;0.006254911422729492;
177-49;0.020827997787738584;0.020827997787738584;0.052423622712218676;0.0022058486938476562;0.0014309883117675781;0.009567975997924805;
