Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Stockholm-Cologne;1410.0;1410.0;0;3.504753112792969e-05;2.0742416381835938e-05;0.13001275062561035;
Copenhagen-Barcelona;2258.0;2258.0;0;5.173683166503906e-05;4.792213439941406e-05;0.5563006401062012;
Copenhagen-Munich;1104.0;1104.0;2043.0;2.3365020751953125e-05;2.6464462280273438e-05;0.003204345703125;
Brussels-Munich;1471.0;1471.0;6473.0;3.075599670410156e-05;4.315376281738281e-05;0.007665872573852539;
Rome-Athens;2868.0;2868.0;2868.0;2.3603439331054688e-05;6.031990051269531e-05;0.0018398761749267578;
Hook of Holland-Barcelona;2148.0;2148.0;0;4.8160552978515625e-05;5.0067901611328125e-05;0.5643072128295898;
Cologne-Stockholm;1403.0;1403.0;1403.0;1.7404556274414062e-05;4.0531158447265625e-05;0.0012199878692626953;
Hamburg-Rome;2108.0;2108.0;0;3.910064697265625e-05;4.744529724121094e-05;0.24895906448364258;
Lyons-Barcelona;645.0;645.0;645.0;2.2649765014648438e-05;1.2874603271484375e-05;0.0006802082061767578;
Lyons-Marseilles;320.0;320.0;2438.0;1.5020370483398438e-05;7.152557373046875e-06;0.0013115406036376953;
Cologne-Paris;465.0;465.0;726.0;3.361701965332031e-05;1.52587890625e-05;0.0011663436889648438;
Vienna-Lisbon;2330.0;2330.0;2330.0;3.075599670410156e-05;5.602836608886719e-05;0.0017170906066894531;
Paris-Hamburg;877.0;877.0;2937.0;2.2649765014648438e-05;1.71661376953125e-05;0.0016901493072509766;
Cologne-Calais;1988.0;1988.0;0;4.172325134277344e-05;5.0067901611328125e-05;0.21708941459655762;
Madrid-Athens;4006.0;4006.0;0;4.0531158447265625e-05;7.581710815429688e-05;0.1317577362060547;
Athens-Munich;2179.0;2179.0;2179.0;1.6927719116210938e-05;9.298324584960938e-06;0.001081705093383789;
Rome-Munich;1637.0;1637.0;0;3.504753112792969e-05;2.7179718017578125e-05;0.1527547836303711;
Barcelona-Copenhagen;1759.0;1759.0;0;4.887580871582031e-05;4.410743713378906e-05;0.21359705924987793;
Vienna-Stockholm;2105.0;2105.0;0;4.029273986816406e-05;5.2928924560546875e-05;0.16528844833374023;
Marseilles-Brussels;1011.0;1011.0;1856.0;3.647804260253906e-05;1.9550323486328125e-05;0.0022776126861572266;
Hook of Holland-Munich;1373.0;1373.0;6301.0;2.5987625122070312e-05;3.3855438232421875e-05;0.004820346832275391;
Marseilles-Lisbon;1498.0;1498.0;6107.0;1.7881393432617188e-05;5.078315734863281e-05;0.003947019577026367;
Rome-Hamburg;1751.0;1751.0;0;4.601478576660156e-05;3.3855438232421875e-05;0.22331500053405762;
Geneva-Hook of Holland;1608.0;1608.0;0;4.839897155761719e-05;5.1021575927734375e-05;0.25031161308288574;
Marseilles-Gibraltar;1693.0;1693.0;0;2.9325485229492188e-05;5.316734313964844e-05;0.1397690773010254;
Vienna-Geneva;1087.0;1087.0;0;2.002716064453125e-05;1.3828277587890625e-05;0.1424551010131836;
Hamburg-Athens;2977.0;2977.0;0;6.151199340820312e-05;6.580352783203125e-05;0.14627504348754883;
Marseilles-Cherbourg;1278.0;1278.0;0;2.9325485229492188e-05;3.838539123535156e-05;0.17469549179077148;
Brussels-Hamburg;666.0;666.0;2719.0;2.2172927856445312e-05;2.0742416381835938e-05;0.0023767948150634766;
Marseilles-Vienna;1363.0;1363.0;6188.0;1.9550323486328125e-05;3.933906555175781e-05;0.0035521984100341797;
Madrid-Munich;2266.0;2266.0;2266.0;4.00543212890625e-05;5.4836273193359375e-05;0.0018630027770996094;
Lyons-Rome;1740.0;1740.0;0;2.6702880859375e-05;5.054473876953125e-05;0.22921228408813477;
Madrid-Gibraltar;698.0;698.0;0;1.9550323486328125e-05;1.1205673217773438e-05;0.12181448936462402;
Barcelona-Vienna;2328.0;2328.0;5223.0;4.38690185546875e-05;5.650520324707031e-05;0.0028564929962158203;
Marseilles-Madrid;1157.0;1157.0;1601.0;2.288818359375e-05;3.0279159545898438e-05;0.0012812614440917969;
Brussels-Vienna;1821.0;1821.0;2056.0;4.076957702636719e-05;5.1975250244140625e-05;0.003443479537963867;
Hamburg-Lyons;1159.0;1159.0;2307.0;4.3392181396484375e-05;3.2901763916015625e-05;0.0030045509338378906;
Geneva-Munich;1447.0;1447.0;4939.0;3.6716461181640625e-05;4.100799560546875e-05;0.00526118278503418;
Lyons-Athens;2753.0;2753.0;0;3.838539123535156e-05;6.151199340820312e-05;0.1435868740081787;
Cherbourg-Rome;2094.0;2094.0;0;3.9577484130859375e-05;5.364418029785156e-05;0.23757076263427734;
Geneva-Gibraltar;1975.0;1975.0;0;2.8371810913085938e-05;5.745887756347656e-05;0.2607536315917969;
Vienna-Hamburg;1155.0;1155.0;5865.0;4.38690185546875e-05;1.9550323486328125e-05;0.0062143802642822266;
Stockholm-Calais;1786.0;1786.0;0;5.888938903808594e-05;3.361701965332031e-05;0.22596120834350586;
Lyons-Lisbon;1178.0;1178.0;1178.0;1.7404556274414062e-05;2.3603439331054688e-05;0.0010514259338378906;
Cherbourg-Madrid;1347.0;1347.0;1347.0;3.743171691894531e-05;3.6716461181640625e-05;0.0008900165557861328;
Cologne-Barcelona;1498.0;1498.0;0;4.3392181396484375e-05;4.363059997558594e-05;0.5901138782501221;
Madrid-Calais;1962.0;1962.0;0;3.0517578125e-05;4.482269287109375e-05;0.2317352294921875;
Milan-Barcelona;1131.0;1131.0;1131.0;2.5272369384765625e-05;2.4080276489257812e-05;0.003099679946899414;
Milan-Madrid;1724.0;1724.0;0;2.765655517578125e-05;5.173683166503906e-05;0.24680495262145996;
Lisbon-Lyons;1178.0;1178.0;5292.0;1.3113021850585938e-05;6.198883056640625e-06;0.007431745529174805;
Stockholm-Lisbon;3175.0;3175.0;3447.0;4.6253204345703125e-05;5.888938903808594e-05;0.003898143768310547;
Gibraltar-Rome;2632.0;2632.0;0;3.3855438232421875e-05;4.863739013671875e-05;0.21967720985412598;
Marseilles-Stockholm;2428.0;2428.0;0;3.4809112548828125e-05;5.793571472167969e-05;0.18986272811889648;
Munich-Stockholm;2356.0;2356.0;0;3.147125244140625e-05;5.793571472167969e-05;0.1622321605682373;
Hook of Holland-Geneva;1426.0;1426.0;0;4.673004150390625e-05;3.743171691894531e-05;0.3546175956726074;
Rome-Hook of Holland;1766.0;1766.0;0;4.696846008300781e-05;3.814697265625e-05;0.24425578117370605;
Athens-Brussels;2926.0;2926.0;2926.0;3.314018249511719e-05;2.2411346435546875e-05;0.002169370651245117;
Geneva-Milan;1581.0;1581.0;1581.0;3.933906555175781e-05;4.76837158203125e-05;0.002408742904663086;
Vienna-Calais;1381.0;1381.0;0;2.5033950805664062e-05;3.0994415283203125e-05;0.222794771194458;
Athens-Hamburg;2984.0;2984.0;7616.0;4.076957702636719e-05;2.5272369384765625e-05;0.003548860549926758;
Geneva-Vienna;1019.0;1019.0;6026.0;1.6450881958007812e-05;2.3365020751953125e-05;0.004583597183227539;
Lisbon-Athens;3931.0;3931.0;9106.0;3.647804260253906e-05;6.151199340820312e-05;0.00890660285949707;
Gibraltar-Cologne;2436.0;2436.0;0;4.363059997558594e-05;3.600120544433594e-05;0.12797141075134277;
Calais-Munich;1675.0;1675.0;0;4.1484832763671875e-05;4.863739013671875e-05;0.15175747871398926;
Barcelona-Cherbourg;1294.0;1294.0;0;3.886222839355469e-05;2.2649765014648438e-05;0.16301417350769043;
Hook of Holland-Athens;3030.0;3030.0;6850.0;4.57763671875e-05;6.246566772460938e-05;0.0037708282470703125;
Milan-Calais;1077.0;1077.0;1077.0;2.5033950805664062e-05;2.0503997802734375e-05;0.0006699562072753906;
Vienna-Copenhagen;1474.0;1474.0;0;4.57763671875e-05;3.647804260253906e-05;0.19761347770690918;
Gibraltar-Brussels;2256.0;2256.0;3711.0;4.4345855712890625e-05;2.8848648071289062e-05;0.0025801658630371094;
Hamburg-Milan;1136.0;1136.0;0;3.4332275390625e-05;2.765655517578125e-05;0.13528108596801758;
Barcelona-Lisbon;1305.0;1305.0;6405.0;1.811981201171875e-05;2.5272369384765625e-05;0.0031964778900146484;
Madrid-Lisbon;1941.0;1941.0;4535.0;2.4318695068359375e-05;4.100799560546875e-05;0.0022194385528564453;
Copenhagen-Paris;726.0;726.0;726.0;2.384185791015625e-05;1.4543533325195312e-05;0.0016298294067382812;
Cherbourg-Hamburg;1115.0;1115.0;3302.0;3.0994415283203125e-05;3.123283386230469e-05;0.003700733184814453;
Geneva-Stockholm;2266.0;2266.0;0;4.458427429199219e-05;5.936622619628906e-05;0.2737739086151123;
Athens-Madrid;4184.0;4184.0;4184.0;4.410743713378906e-05;6.937980651855469e-05;0.002696990966796875;
Lyons-Brussels;1331.0;1331.0;4294.0;4.410743713378906e-05;3.361701965332031e-05;0.002477407455444336;
Stockholm-Vienna;2265.0;2265.0;2265.0;3.075599670410156e-05;4.792213439941406e-05;0.0018191337585449219;
Lyons-Hamburg;1159.0;1159.0;4713.0;4.38690185546875e-05;2.3365020751953125e-05;0.002618551254272461;
Brussels-Athens;3202.0;3202.0;5536.0;4.673004150390625e-05;6.985664367675781e-05;0.0018916130065917969;
Lisbon-Milan;2938.0;2938.0;0;7.200241088867188e-05;5.650520324707031e-05;0.13973021507263184;
Copenhagen-Vienna;1615.0;1615.0;1615.0;2.4080276489257812e-05;3.647804260253906e-05;0.0020661354064941406;
Munich-Hamburg;805.0;805.0;5437.0;3.457069396972656e-05;2.0742416381835938e-05;0.003872394561767578;
Munich-Cologne;953.0;953.0;953.0;3.719329833984375e-05;2.8133392333984375e-05;0.001241922378540039;
Munich-Copenhagen;1104.0;1104.0;0;0.00018477439880371094;6.175041198730469e-05;0.1935882568359375;
Lyons-Cologne;1355.0;1355.0;0;5.269050598144531e-05;3.552436828613281e-05;0.1418135166168213;
Stockholm-Brussels;1616.0;1616.0;0;3.552436828613281e-05;2.5510787963867188e-05;0.15593719482421875;
Hook of Holland-Brussels;1235.0;1235.0;0;2.86102294921875e-05;3.695487976074219e-05;0.17389869689941406;
Geneva-Lyons;158.0;158.0;158.0;1.33514404296875e-05;5.245208740234375e-06;0.0010652542114257812;
Rome-Cologne;1497.0;1497.0;0;4.9591064453125e-05;2.3365020751953125e-05;0.24773788452148438;
Gibraltar-Hamburg;2896.0;2896.0;2896.0;5.269050598144531e-05;5.364418029785156e-05;0.0018398761749267578;
Barcelona-Cologne;1498.0;1498.0;0;3.0994415283203125e-05;3.6716461181640625e-05;0.15496253967285156;
Paris-Cherbourg;1188.0;1188.0;0;4.172325134277344e-05;2.288818359375e-05;0.1784822940826416;
Brussels-Rome;1511.0;1511.0;0;4.649162292480469e-05;4.57763671875e-05;0.22957396507263184;
Lyons-Milan;1760.0;1760.0;0;5.53131103515625e-05;5.245208740234375e-05;0.14028072357177734;
Munich-Athens;2613.0;2613.0;0;2.2649765014648438e-05;6.103515625e-05;0.13541698455810547;
Cologne-Madrid;2192.0;2192.0;6101.0;4.8160552978515625e-05;5.245208740234375e-05;0.005425930023193359;
Vienna-Rome;2082.0;2082.0;0;2.0742416381835938e-05;4.9114227294921875e-05;0.22626924514770508;
Stockholm-Madrid;2997.0;2997.0;4698.0;5.316734313964844e-05;5.507469177246094e-05;0.0036373138427734375;
Calais-Lyons;894.0;894.0;2734.0;4.863739013671875e-05;2.9802322387695312e-05;0.002565145492553711;
Marseilles-Copenhagen;1452.0;1452.0;0;4.291534423828125e-05;4.649162292480469e-05;0.18099594116210938;
Gibraltar-Calais;2224.0;2224.0;0;0.0001728534698486328;2.9325485229492188e-05;0.21582508087158203;
Athens-Barcelona;3313.0;3313.0;3544.0;3.600120544433594e-05;4.38690185546875e-05;0.001184225082397461;
