Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Athens-Madrid;4184.0;4184.0;0;3.5762786865234375e-05;5.435943603515625e-05;0.2100067138671875;
Cherbourg-Geneva;1526.0;1526.0;0;3.6716461181640625e-05;4.0531158447265625e-05;0.08471274375915527;
Hook of Holland-Cologne;922.0;922.0;0;2.765655517578125e-05;1.9788742065429688e-05;0.16882658004760742;
Stockholm-Lyons;2269.0;2269.0;0;4.6253204345703125e-05;4.315376281738281e-05;0.05179333686828613;
Stockholm-Geneva;2345.0;2345.0;0;5.054473876953125e-05;4.553794860839844e-05;0.07644319534301758;
Athens-Milan;2510.0;2510.0;6586.0;1.7881393432617188e-05;1.2636184692382812e-05;0.0046749114990234375;
Barcelona-Paris;1033.0;1033.0;0;2.765655517578125e-05;1.5497207641601562e-05;0.08014249801635742;
Rome-Lisbon;2226.0;2226.0;13359.0;2.3365020751953125e-05;5.2928924560546875e-05;0.004942893981933594;
Stockholm-Vienna;2265.0;2265.0;0;2.7179718017578125e-05;4.0531158447265625e-05;0.11800670623779297;
Lisbon-Athens;3931.0;3931.0;0;3.4332275390625e-05;5.91278076171875e-05;0.1148838996887207;
Stockholm-Gibraltar;3695.0;3695.0;0;4.8160552978515625e-05;5.888938903808594e-05;0.05180668830871582;
Stockholm-Lisbon;3175.0;3175.0;14450.0;4.220008850097656e-05;5.53131103515625e-05;0.0037026405334472656;
Barcelona-Hamburg;1804.0;1804.0;4168.0;4.8160552978515625e-05;4.482269287109375e-05;0.002822399139404297;
Lyons-Brussels;1331.0;1331.0;0;3.647804260253906e-05;2.8133392333984375e-05;0.15011906623840332;
Madrid-Paris;1669.0;1669.0;0;3.910064697265625e-05;2.6702880859375e-05;0.13540887832641602;
Copenhagen-Cologne;760.0;760.0;0;2.8133392333984375e-05;1.71661376953125e-05;0.1686410903930664;
Stockholm-Athens;3927.0;3927.0;0;5.030632019042969e-05;6.031990051269531e-05;0.0869600772857666;
Lyons-Munich;1429.0;1429.0;0;3.457069396972656e-05;3.552436828613281e-05;0.05382895469665527;
Hamburg-Madrid;2440.0;2440.0;0;4.458427429199219e-05;5.7697296142578125e-05;0.09754538536071777;
Geneva-Barcelona;803.0;803.0;0;2.3603439331054688e-05;1.4066696166992188e-05;0.09360694885253906;
Madrid-Hook of Holland;1730.0;1730.0;1730.0;5.0067901611328125e-05;3.314018249511719e-05;0.0007395744323730469;
Paris-Milan;1376.0;1376.0;3586.0;3.3855438232421875e-05;2.4318695068359375e-05;0.0025091171264648438;
Copenhagen-Rome;1952.0;1952.0;0;3.695487976074219e-05;4.1484832763671875e-05;0.19122934341430664;
Barcelona-Copenhagen;1759.0;1759.0;0;4.410743713378906e-05;4.100799560546875e-05;0.15825772285461426;
Stockholm-Paris;1376.0;1376.0;0;2.4080276489257812e-05;1.6450881958007812e-05;0.1225898265838623;
Cherbourg-Hook of Holland;755.0;755.0;0;1.8835067749023438e-05;1.3113021850585938e-05;0.10192513465881348;
Gibraltar-Brussels;2256.0;2256.0;0;4.1961669921875e-05;2.7179718017578125e-05;0.1339113712310791;
Paris-Athens;3487.0;3487.0;0;4.291534423828125e-05;5.91278076171875e-05;0.08567047119140625;
Vienna-Hook of Holland;1205.0;1205.0;1205.0;4.1961669921875e-05;2.4318695068359375e-05;0.0008988380432128906;
Milan-Cherbourg;1181.0;1181.0;0;2.956390380859375e-05;2.765655517578125e-05;0.14473247528076172;
Rome-Lyons;1048.0;1048.0;0;1.8358230590820312e-05;1.5974044799804688e-05;0.051843881607055664;
Copenhagen-Cherbourg;1000.0;1000.0;0;2.2172927856445312e-05;2.2649765014648438e-05;0.14196515083312988;
Brussels-Cologne;206.0;206.0;0;1.52587890625e-05;9.775161743164062e-06;0.1701676845550537;
Hamburg-Geneva;1464.0;1464.0;0;3.147125244140625e-05;3.6716461181640625e-05;0.0695335865020752;
Lisbon-Calais;2052.0;2052.0;0;2.0503997802734375e-05;2.4318695068359375e-05;0.073272705078125;
Cologne-Vienna;1615.0;1615.0;0;1.9073486328125e-05;4.3392181396484375e-05;0.1376054286956787;
Milan-Rome;1323.0;1323.0;0;1.2636184692382812e-05;3.504753112792969e-05;0.1869041919708252;
Munich-Cherbourg;1160.0;1160.0;0;2.765655517578125e-05;3.361701965332031e-05;0.1299114227294922;
Barcelona-Geneva;1390.0;1390.0;0;2.2649765014648438e-05;2.86102294921875e-05;0.07762384414672852;
Marseilles-Barcelona;965.0;965.0;0;3.170967102050781e-05;1.621246337890625e-05;0.10257077217102051;
Rome-Gibraltar;2704.0;2704.0;0;2.5987625122070312e-05;5.507469177246094e-05;0.052831411361694336;
Vienna-Cologne;1381.0;1381.0;0;3.981590270996094e-05;3.218650817871094e-05;0.15083718299865723;
Vienna-Barcelona;1793.0;1793.0;0;2.7894973754882812e-05;4.2438507080078125e-05;0.0870363712310791;
Gibraltar-Cologne;2436.0;2436.0;0;4.076957702636719e-05;3.409385681152344e-05;0.17195963859558105;
Athens-Gibraltar;4485.0;4485.0;0;3.3855438232421875e-05;5.698204040527344e-05;0.04930257797241211;
Calais-Barcelona;1522.0;1522.0;0;4.458427429199219e-05;4.029273986816406e-05;0.08075785636901855;
Gibraltar-Geneva;1975.0;1975.0;0;3.147125244140625e-05;2.09808349609375e-05;0.06843090057373047;
Lisbon-Madrid;2459.0;2459.0;0;2.3365020751953125e-05;3.743171691894531e-05;0.20467519760131836;
Hamburg-Lisbon;2337.0;2337.0;9064.0;4.5299530029296875e-05;5.316734313964844e-05;0.0023889541625976562;
Brussels-Calais;2069.0;2069.0;0;4.3392181396484375e-05;5.626678466796875e-05;0.07530498504638672;
Milan-Munich;1727.0;1727.0;0;3.600120544433594e-05;5.030632019042969e-05;0.050350189208984375;
Geneva-Vienna;1019.0;1019.0;1019.0;1.5020370483398438e-05;2.288818359375e-05;0.001081705093383789;
Geneva-Milan;1581.0;1581.0;3900.0;3.600120544433594e-05;4.6253204345703125e-05;0.004002571105957031;
Marseilles-Milan;1440.0;1440.0;1946.0;3.8623809814453125e-05;4.267692565917969e-05;0.0014019012451171875;
Hamburg-Cologne;803.0;803.0;0;1.5735626220703125e-05;1.2874603271484375e-05;0.17539334297180176;
Lisbon-Geneva;1923.0;1923.0;0;2.1696090698242188e-05;2.3365020751953125e-05;0.07738876342773438;
Vienna-Gibraltar;2965.0;2965.0;0;3.266334533691406e-05;7.295608520507812e-05;0.05457735061645508;
Lyons-Milan;1760.0;1760.0;6550.0;5.030632019042969e-05;5.078315734863281e-05;0.0027396678924560547;
