Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Cologne-Paris;465.0;465.0;1827.0;2.5272369384765625e-05;1.5735626220703125e-05;0.0014214515686035156;
Barcelona-Paris;1033.0;1033.0;1033.0;4.5299530029296875e-05;1.811981201171875e-05;0.0006802082061767578;
Milan-Cherbourg;1181.0;1181.0;1181.0;3.409385681152344e-05;3.266334533691406e-05;0.0015325546264648438;
Gibraltar-Lisbon;2477.0;2477.0;4570.0;2.6464462280273438e-05;4.792213439941406e-05;0.0032799243927001953;
Geneva-Marseilles;478.0;478.0;2446.0;1.9788742065429688e-05;1.430511474609375e-05;0.002548694610595703;
Vienna-Hook of Holland;1205.0;1205.0;1347.0;4.792213439941406e-05;2.8133392333984375e-05;0.002252817153930664;
Paris-Athens;3487.0;3487.0;0;5.1021575927734375e-05;6.842613220214844e-05;0.07890081405639648;
Cherbourg-Cologne;785.0;785.0;0;2.2411346435546875e-05;1.8596649169921875e-05;0.5254054069519043;
Madrid-Hamburg;2198.0;2198.0;3671.0;4.482269287109375e-05;5.602836608886719e-05;0.0032608509063720703;
Vienna-Athens;1991.0;1991.0;3041.0;1.8358230590820312e-05;5.245208740234375e-05;0.0030775070190429688;
Geneva-Paris;1193.0;1193.0;3869.0;3.5762786865234375e-05;3.0279159545898438e-05;0.003826618194580078;
Gibraltar-Paris;2205.0;2205.0;2885.0;4.839897155761719e-05;2.574920654296875e-05;0.0015187263488769531;
Lisbon-Munich;2607.0;2607.0;7163.0;4.00543212890625e-05;5.0067901611328125e-05;0.0035932064056396484;
Vienna-Madrid;2433.0;2433.0;2433.0;3.600120544433594e-05;6.365776062011719e-05;0.002084016799926758;
Hook of Holland-Rome;1683.0;1683.0;1683.0;4.982948303222656e-05;4.482269287109375e-05;0.0007100105285644531;
Rome-Lisbon;2226.0;2226.0;3761.0;2.8371810913085938e-05;6.0558319091796875e-05;0.002202749252319336;
Athens-Copenhagen;3283.0;3283.0;3959.0;4.649162292480469e-05;4.172325134277344e-05;0.0031905174255371094;
Geneva-Lisbon;1336.0;1336.0;3304.0;1.6689300537109375e-05;3.457069396972656e-05;0.0024993419647216797;
Lisbon-Lyons;1178.0;1178.0;7435.0;1.3828277587890625e-05;6.67572021484375e-06;0.002315998077392578;
Hook of Holland-Lyons;1503.0;1503.0;5933.0;5.030632019042969e-05;4.029273986816406e-05;0.0031576156616210938;
Calais-Hamburg;870.0;870.0;870.0;2.9325485229492188e-05;2.7894973754882812e-05;0.0028858184814453125;
Vienna-Milan;759.0;759.0;3479.0;1.7881393432617188e-05;1.1205673217773438e-05;0.0024003982543945312;
Calais-Geneva;1405.0;1405.0;0;5.316734313964844e-05;4.363059997558594e-05;0.2581748962402344;
Cherbourg-Calais;2160.0;2160.0;3328.0;4.267692565917969e-05;5.936622619628906e-05;0.0030345916748046875;
Paris-Calais;2453.0;2453.0;2632.0;5.340576171875e-05;5.841255187988281e-05;0.0023040771484375;
Hook of Holland-Gibraltar;2776.0;2776.0;2776.0;4.696846008300781e-05;6.341934204101562e-05;0.002071380615234375;
Cologne-Marseilles;1035.0;1035.0;1452.0;4.172325134277344e-05;2.956390380859375e-05;0.001483917236328125;
Hook of Holland-Marseilles;1183.0;1183.0;1183.0;4.76837158203125e-05;2.9087066650390625e-05;0.0007255077362060547;
Rome-Vienna;1209.0;1209.0;1933.0;1.9550323486328125e-05;3.2901763916015625e-05;0.0030443668365478516;
Hook of Holland-Milan;1098.0;1098.0;1098.0;4.076957702636719e-05;2.6702880859375e-05;0.0009992122650146484;
Cherbourg-Marseilles;1101.0;1101.0;1593.0;3.910064697265625e-05;2.86102294921875e-05;0.0029592514038085938;
Munich-Lisbon;1902.0;1902.0;4763.0;2.7418136596679688e-05;5.3882598876953125e-05;0.004892110824584961;
Paris-Cologne;465.0;465.0;465.0;2.0265579223632812e-05;1.049041748046875e-05;0.0007014274597167969;
Madrid-Copenhagen;1999.0;1999.0;4815.0;4.458427429199219e-05;4.9114227294921875e-05;0.0018155574798583984;
Vienna-Brussels;1175.0;1175.0;1175.0;3.6716461181640625e-05;2.4557113647460938e-05;0.0012514591217041016;
Copenhagen-Gibraltar;3045.0;3045.0;3045.0;4.9114227294921875e-05;6.4849853515625e-05;0.002470731735229492;
Athens-Hamburg;2984.0;2984.0;4876.0;6.604194641113281e-05;2.86102294921875e-05;0.001983642578125;
Vienna-Lisbon;2330.0;2330.0;0;3.0040740966796875e-05;5.888938903808594e-05;0.05279827117919922;
Rome-Stockholm;2900.0;2900.0;2900.0;4.363059997558594e-05;6.580352783203125e-05;0.0014140605926513672;
Rome-Marseilles;1011.0;1011.0;1368.0;2.5272369384765625e-05;1.4066696166992188e-05;0.0012967586517333984;
Barcelona-Geneva;1390.0;1390.0;0;2.6941299438476562e-05;3.337860107421875e-05;0.25956273078918457;
Brussels-Geneva;1435.0;1435.0;0;4.76837158203125e-05;4.410743713378906e-05;0.24813342094421387;
Vienna-Marseilles;1377.0;1377.0;2388.0;3.0279159545898438e-05;3.0517578125e-05;0.0016164779663085938;
Hook of Holland-Hamburg;729.0;729.0;1846.0;2.6226043701171875e-05;1.4781951904296875e-05;0.0014958381652832031;
