Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Cherbourg-Rome;2094.0;2094.0;2480.0;4.029273986816406e-05;5.3882598876953125e-05;0.005518674850463867;
Geneva-Vienna;1019.0;1019.0;1019.0;1.52587890625e-05;2.47955322265625e-05;0.0009829998016357422;
Milan-Hook of Holland;1180.0;1180.0;2292.0;3.552436828613281e-05;2.7179718017578125e-05;0.0027360916137695312;
Stockholm-Hamburg;1110.0;1110.0;1110.0;2.8848648071289062e-05;1.5020370483398438e-05;0.0013399124145507812;
Cherbourg-Lyons;789.0;789.0;0;3.886222839355469e-05;2.0265579223632812e-05;0.2001805305480957;
Calais-Lisbon;2072.0;2072.0;0;4.5299530029296875e-05;5.8650970458984375e-05;0.08730936050415039;
Rome-Copenhagen;2035.0;2035.0;0;5.269050598144531e-05;5.054473876953125e-05;0.5539567470550537;
Milan-Vienna;1347.0;1347.0;2526.0;1.5974044799804688e-05;4.2438507080078125e-05;0.002458810806274414;
Cherbourg-Copenhagen;1024.0;1024.0;3438.0;2.7418136596679688e-05;2.4557113647460938e-05;0.006293535232543945;
Munich-Gibraltar;2537.0;2537.0;2537.0;3.790855407714844e-05;5.984306335449219e-05;0.002098560333251953;
Calais-Gibraltar;2505.0;2505.0;2694.0;4.6253204345703125e-05;6.151199340820312e-05;0.002830028533935547;
Hamburg-Calais;2213.0;2213.0;8537.0;0.0002932548522949219;0.00011324882507324219;0.0047490596771240234;
Gibraltar-Lisbon;2477.0;2477.0;0;3.62396240234375e-05;4.696846008300781e-05;0.09334969520568848;
Barcelona-Brussels;1530.0;1530.0;3544.0;4.267692565917969e-05;0.00014662742614746094;0.0031862258911132812;
Lisbon-Geneva;1923.0;1923.0;3529.0;8.344650268554688e-05;4.601478576660156e-05;0.0022056102752685547;
Cherbourg-Lisbon;1827.0;1827.0;1967.0;5.459785461425781e-05;4.482269287109375e-05;0.0019347667694091797;
Rome-Munich;1637.0;1637.0;2120.0;3.409385681152344e-05;2.8371810913085938e-05;0.0020546913146972656;
Vienna-Cherbourg;1588.0;1588.0;1588.0;3.0279159545898438e-05;4.00543212890625e-05;0.0017819404602050781;
Calais-Vienna;1381.0;1381.0;6702.0;0.00012946128845214844;5.245208740234375e-05;0.0060558319091796875;
Hamburg-Rome;2108.0;2108.0;3237.0;4.982948303222656e-05;5.078315734863281e-05;0.003156900405883789;
Vienna-Barcelona;1793.0;1793.0;1793.0;3.9577484130859375e-05;4.792213439941406e-05;0.0013427734375;
Cologne-Lyons;1355.0;1355.0;2501.0;4.291534423828125e-05;3.981590270996094e-05;0.0019059181213378906;
Cherbourg-Cologne;785.0;785.0;805.0;2.0742416381835938e-05;1.811981201171875e-05;0.0013861656188964844;
Cologne-Copenhagen;538.0;538.0;2633.0;2.002716064453125e-05;1.7404556274414062e-05;0.003585338592529297;
Calais-Barcelona;1522.0;1522.0;1894.0;5.078315734863281e-05;4.38690185546875e-05;0.0027773380279541016;
Madrid-Hamburg;2198.0;2198.0;3594.0;7.343292236328125e-05;5.53131103515625e-05;0.002127408981323242;
Cologne-Hook of Holland;269.0;269.0;1029.0;1.5735626220703125e-05;7.152557373046875e-06;0.0015506744384765625;
Gibraltar-Lyons;1817.0;1817.0;3289.0;2.7179718017578125e-05;1.5735626220703125e-05;0.0013697147369384766;
Brussels-Marseilles;1010.0;1010.0;1010.0;4.267692565917969e-05;2.9802322387695312e-05;0.0012996196746826172;
Copenhagen-Lisbon;2525.0;2525.0;2525.0;4.553794860839844e-05;5.888938903808594e-05;0.001873016357421875;
Madrid-Hook of Holland;1730.0;1730.0;1730.0;3.933906555175781e-05;3.1948089599609375e-05;0.001224517822265625;
Copenhagen-Hook of Holland;269.0;269.0;269.0;1.3828277587890625e-05;6.4373016357421875e-06;0.0006451606750488281;
Copenhagen-Cherbourg;1000.0;1000.0;1000.0;2.1696090698242188e-05;2.288818359375e-05;0.0012440681457519531;
Lyons-Paris;1112.0;1112.0;2977.0;3.337860107421875e-05;1.8596649169921875e-05;0.001678466796875;
Athens-Calais;3372.0;3372.0;5727.0;2.8848648071289062e-05;4.7206878662109375e-05;0.004624128341674805;
Stockholm-Paris;1376.0;1376.0;5420.0;2.47955322265625e-05;1.7881393432617188e-05;0.0029621124267578125;
Vienna-Athens;1991.0;1991.0;3041.0;1.621246337890625e-05;4.4345855712890625e-05;0.0022001266479492188;
Milan-Gibraltar;2303.0;2303.0;2311.0;2.9802322387695312e-05;5.459785461425781e-05;0.0014369487762451172;
Paris-Marseilles;1500.0;1500.0;3297.0;4.315376281738281e-05;2.7894973754882812e-05;0.001909494400024414;
Cologne-Geneva;1239.0;1239.0;1239.0;3.886222839355469e-05;3.170967102050781e-05;0.0013203620910644531;
Vienna-Paris;1662.0;1662.0;1804.0;4.410743713378906e-05;3.981590270996094e-05;0.0032968521118164062;
Copenhagen-Gibraltar;3045.0;3045.0;3045.0;4.410743713378906e-05;5.626678466796875e-05;0.0026123523712158203;
Hook of Holland-Brussels;1235.0;1235.0;3550.0;2.5987625122070312e-05;3.0279159545898438e-05;0.0028336048126220703;
Munich-Rome;1654.0;1654.0;1654.0;1.6689300537109375e-05;4.1961669921875e-05;0.0029184818267822266;
Athens-Milan;2510.0;2510.0;2510.0;1.71661376953125e-05;1.239776611328125e-05;0.0018963813781738281;
Stockholm-Madrid;2997.0;2997.0;2997.0;4.8160552978515625e-05;5.078315734863281e-05;0.003927469253540039;
Hamburg-Barcelona;1804.0;1804.0;2948.0;4.696846008300781e-05;4.267692565917969e-05;0.0023603439331054688;
Cherbourg-Vienna;2270.0;2270.0;2420.0;4.5299530029296875e-05;5.650520324707031e-05;0.0027303695678710938;
Vienna-Rome;2082.0;2082.0;2082.0;1.9311904907226562e-05;4.57763671875e-05;0.0036306381225585938;
Cologne-Brussels;1057.0;1057.0;2046.0;2.5510787963867188e-05;2.8848648071289062e-05;0.001960277557373047;
Paris-Brussels;1474.0;1474.0;2511.0;2.9325485229492188e-05;2.5987625122070312e-05;0.0030057430267333984;
Vienna-Marseilles;1377.0;1377.0;1377.0;2.6702880859375e-05;2.6226043701171875e-05;0.0022466182708740234;
Lisbon-Madrid;2459.0;2459.0;6623.0;2.2411346435546875e-05;3.743171691894531e-05;0.004418611526489258;
Hook of Holland-Lisbon;2256.0;2256.0;2256.0;4.220008850097656e-05;5.078315734863281e-05;0.001447439193725586;
Hamburg-Athens;2977.0;2977.0;3912.0;3.0040740966796875e-05;5.984306335449219e-05;0.001317739486694336;
Milan-Barcelona;1131.0;1131.0;1583.0;2.765655517578125e-05;2.3603439331054688e-05;0.0019466876983642578;
Gibraltar-Stockholm;3839.0;3839.0;5749.0;4.2438507080078125e-05;5.4836273193359375e-05;0.002925872802734375;
Munich-Stockholm;2356.0;2356.0;3657.0;2.9802322387695312e-05;5.2928924560546875e-05;0.0026509761810302734;
Stockholm-Hook of Holland;919.0;919.0;3001.0;2.09808349609375e-05;1.049041748046875e-05;0.003446817398071289;
Gibraltar-Hook of Holland;2428.0;2428.0;3439.0;4.172325134277344e-05;3.170967102050781e-05;0.0024292469024658203;
