Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Stockholm-Geneva;2345.0;2345.0;0;6.604194641113281e-05;5.888938903808594e-05;0.09086894989013672;
Copenhagen-Marseilles;1452.0;1452.0;0;5.9604644775390625e-05;4.1484832763671875e-05;0.5258350372314453;
Hamburg-Rome;2108.0;2108.0;0;5.435943603515625e-05;5.984306335449219e-05;0.5385890007019043;
Vienna-Copenhagen;1474.0;1474.0;0;5.936622619628906e-05;4.553794860839844e-05;0.10295891761779785;
Paris-Marseilles;1500.0;1500.0;0;5.745887756347656e-05;3.7670135498046875e-05;0.5209362506866455;
Lyons-Barcelona;645.0;645.0;645.0;2.6941299438476562e-05;1.5497207641601562e-05;0.00067901611328125;
Copenhagen-Lyons;1619.0;1619.0;0;5.0067901611328125e-05;4.7206878662109375e-05;0.34052038192749023;
Cherbourg-Copenhagen;1024.0;1024.0;0;3.24249267578125e-05;2.8848648071289062e-05;0.0919198989868164;
Paris-Hamburg;877.0;877.0;925.0;2.4557113647460938e-05;2.0742416381835938e-05;0.0016162395477294922;
Brussels-Hook of Holland;172.0;172.0;172.0;1.5974044799804688e-05;7.62939453125e-06;0.00064849853515625;
Brussels-Marseilles;1010.0;1010.0;0;5.173683166503906e-05;3.62396240234375e-05;0.5250668525695801;
Lisbon-Hamburg;2337.0;2337.0;2724.0;5.936622619628906e-05;4.482269287109375e-05;0.001992940902709961;
Brussels-Rome;1511.0;1511.0;0;4.8160552978515625e-05;5.412101745605469e-05;0.5769402980804443;
Munich-Hamburg;805.0;805.0;805.0;3.9577484130859375e-05;2.4080276489257812e-05;0.0008919239044189453;
Geneva-Cherbourg;853.0;853.0;0;3.528594970703125e-05;2.0503997802734375e-05;0.3081226348876953;
Athens-Vienna;1991.0;1991.0;1991.0;1.239776611328125e-05;6.4373016357421875e-06;0.0006625652313232422;
Gibraltar-Stockholm;3839.0;3839.0;4241.0;7.176399230957031e-05;0.00010776519775390625;0.0017919540405273438;
Athens-Lyons;2903.0;2903.0;0;3.8623809814453125e-05;2.3603439331054688e-05;0.3309361934661865;
Hamburg-Madrid;2440.0;2440.0;0;5.5789947509765625e-05;6.866455078125e-05;0.3598015308380127;
Rome-Brussels;1867.0;1867.0;0;5.364418029785156e-05;5.817413330078125e-05;0.10538220405578613;
Athens-Cherbourg;3339.0;3339.0;0;3.886222839355469e-05;5.14984130859375e-05;0.32332825660705566;
Milan-Munich;1727.0;1727.0;0;4.57763671875e-05;6.222724914550781e-05;0.21297454833984375;
Paris-Geneva;1704.0;1704.0;0;5.602836608886719e-05;4.410743713378906e-05;0.08354759216308594;
Gibraltar-Madrid;698.0;698.0;0;1.621246337890625e-05;7.867813110351562e-06;0.3329806327819824;
Rome-Munich;1637.0;1637.0;2120.0;3.814697265625e-05;3.314018249511719e-05;0.0016138553619384766;
Milan-Copenhagen;1449.0;1449.0;0;4.2438507080078125e-05;5.412101745605469e-05;0.09594130516052246;
Madrid-Vienna;2520.0;2520.0;3692.0;5.14984130859375e-05;6.866455078125e-05;0.0019519329071044922;
Munich-Barcelona;1365.0;1365.0;1369.0;3.24249267578125e-05;4.601478576660156e-05;0.0012807846069335938;
Hook of Holland-Brussels;1235.0;1235.0;0;3.314018249511719e-05;3.743171691894531e-05;0.10001492500305176;
Lisbon-Copenhagen;2525.0;2525.0;0;5.745887756347656e-05;5.078315734863281e-05;0.0879209041595459;
Cologne-Barcelona;1498.0;1498.0;0;5.078315734863281e-05;5.316734313964844e-05;0.09803938865661621;
Stockholm-Cherbourg;1650.0;1650.0;0;2.9802322387695312e-05;3.1948089599609375e-05;0.31859278678894043;
Athens-Munich;2179.0;2179.0;0;1.6450881958007812e-05;1.0728836059570312e-05;0.23903894424438477;
Munich-Lisbon;1902.0;1902.0;1902.0;2.8848648071289062e-05;6.031990051269531e-05;0.0012326240539550781;
Hook of Holland-Rome;1683.0;1683.0;0;7.128715515136719e-05;5.125999450683594e-05;0.5503921508789062;
Paris-Cologne;465.0;465.0;465.0;2.3603439331054688e-05;5.555152893066406e-05;0.0006289482116699219;
Gibraltar-Marseilles;1855.0;1855.0;0;3.981590270996094e-05;2.47955322265625e-05;0.5643651485443115;
Lyons-Hook of Holland;1503.0;1503.0;0;5.1021575927734375e-05;5.364418029785156e-05;0.09329652786254883;
Munich-Marseilles;949.0;949.0;0;3.0517578125e-05;3.075599670410156e-05;0.5513925552368164;
Gibraltar-Paris;2205.0;2205.0;4123.0;5.269050598144531e-05;2.8371810913085938e-05;0.003075838088989258;
Milan-Lyons;486.0;486.0;0;2.0265579223632812e-05;1.0967254638671875e-05;0.39092063903808594;
Madrid-Paris;1669.0;1669.0;4821.0;6.222724914550781e-05;3.218650817871094e-05;0.004195213317871094;
Lisbon-Geneva;1923.0;1923.0;0;2.86102294921875e-05;2.9087066650390625e-05;0.0817878246307373;
Lyons-Copenhagen;1458.0;1458.0;0;5.340576171875e-05;4.673004150390625e-05;0.10040593147277832;
Madrid-Brussels;1558.0;1558.0;0;4.7206878662109375e-05;2.6226043701171875e-05;0.10190677642822266;
Barcelona-Calais;1326.0;1326.0;0;2.5987625122070312e-05;3.147125244140625e-05;0.34799647331237793;
Marseilles-Milan;1440.0;1440.0;0;4.792213439941406e-05;5.1975250244140625e-05;0.12660741806030273;
Vienna-Hamburg;1155.0;1155.0;1233.0;4.553794860839844e-05;2.2411346435546875e-05;0.0016047954559326172;
Gibraltar-Brussels;2256.0;2256.0;0;6.532669067382812e-05;3.528594970703125e-05;0.10152959823608398;
Athens-Marseilles;3128.0;3128.0;0;3.695487976074219e-05;3.790855407714844e-05;0.5240042209625244;
Stockholm-Hamburg;1110.0;1110.0;2301.0;3.0517578125e-05;1.7404556274414062e-05;0.0033903121948242188;
Copenhagen-Geneva;1695.0;1695.0;0;5.4836273193359375e-05;4.8160552978515625e-05;0.0802769660949707;
Marseilles-Lyons;320.0;320.0;0;1.7642974853515625e-05;9.298324584960938e-06;0.32772064208984375;
Athens-Rome;3833.0;3833.0;0;2.6226043701171875e-05;5.53131103515625e-05;0.5208048820495605;
Vienna-Barcelona;1793.0;1793.0;1797.0;3.3855438232421875e-05;5.221366882324219e-05;0.0029747486114501953;
Paris-Madrid;2535.0;2535.0;0;4.76837158203125e-05;6.318092346191406e-05;0.3426229953765869;
Brussels-Barcelona;1318.0;1318.0;2320.0;4.9114227294921875e-05;4.124641418457031e-05;0.0024912357330322266;
Rome-Lisbon;2226.0;2226.0;3539.0;2.6941299438476562e-05;5.888938903808594e-05;0.0024802684783935547;
Cologne-Cherbourg;1000.0;1000.0;0;2.5510787963867188e-05;2.6702880859375e-05;0.32685351371765137;
Paris-Hook of Holland;457.0;457.0;0;1.4066696166992188e-05;6.4373016357421875e-06;0.1046137809753418;
