Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Brussels-Marseilles;1010.0;1010.0;3711.0;4.410743713378906e-05;2.9802322387695312e-05;0.0031838417053222656;
Cherbourg-Hamburg;1115.0;1115.0;1217.0;2.9087066650390625e-05;2.9325485229492188e-05;0.001399993896484375;
Paris-Gibraltar;2901.0;2901.0;5563.0;4.267692565917969e-05;5.745887756347656e-05;0.004282951354980469;
Munich-Barcelona;1365.0;1365.0;4981.0;2.6226043701171875e-05;3.7670135498046875e-05;0.0067005157470703125;
Hook of Holland-Geneva;1426.0;1426.0;1426.0;4.38690185546875e-05;3.62396240234375e-05;0.002053499221801758;
Lyons-Hook of Holland;1503.0;1503.0;0;6.151199340820312e-05;4.363059997558594e-05;0.12857651710510254;
Stockholm-Calais;1786.0;1786.0;3094.0;5.5789947509765625e-05;3.314018249511719e-05;0.002878904342651367;
Gibraltar-Brussels;2256.0;2256.0;5396.0;4.410743713378906e-05;2.765655517578125e-05;0.0036983489990234375;
Geneva-Calais;1537.0;1537.0;1537.0;2.0265579223632812e-05;4.506111145019531e-05;0.002119779586791992;
Calais-Lyons;894.0;894.0;1563.0;4.076957702636719e-05;3.0040740966796875e-05;0.0021092891693115234;
Lyons-Cherbourg;1598.0;1598.0;6013.0;3.266334533691406e-05;4.696846008300781e-05;0.0029861927032470703;
Munich-Copenhagen;1104.0;1104.0;0;3.528594970703125e-05;3.24249267578125e-05;0.10460758209228516;
Calais-Hamburg;870.0;870.0;1677.0;2.6941299438476562e-05;2.6464462280273438e-05;0.0019037723541259766;
Madrid-Barcelona;636.0;636.0;2122.0;1.3113021850585938e-05;7.152557373046875e-06;0.0017533302307128906;
Marseilles-Copenhagen;1452.0;1452.0;0;3.933906555175781e-05;5.030632019042969e-05;0.1192162036895752;
Milan-Gibraltar;2303.0;2303.0;3226.0;3.075599670410156e-05;6.008148193359375e-05;0.0026137828826904297;
Barcelona-Cherbourg;1294.0;1294.0;5368.0;3.695487976074219e-05;2.1696090698242188e-05;0.0026159286499023438;
Vienna-Barcelona;1793.0;1793.0;5409.0;2.8848648071289062e-05;4.315376281738281e-05;0.006479740142822266;
Rome-Copenhagen;2035.0;2035.0;0;4.649162292480469e-05;4.8160552978515625e-05;0.13628911972045898;
Gibraltar-Paris;2205.0;2205.0;3168.0;0.0002715587615966797;3.314018249511719e-05;0.001971721649169922;
Marseilles-Munich;1109.0;1109.0;1109.0;3.719329833984375e-05;3.0279159545898438e-05;0.0009088516235351562;
Lisbon-Marseilles;1498.0;1498.0;6802.0;2.0265579223632812e-05;1.1444091796875e-05;0.007387638092041016;
Milan-Rome;1323.0;1323.0;1323.0;1.430511474609375e-05;3.8623809814453125e-05;0.0013728141784667969;
Calais-Hook of Holland;376.0;376.0;1215.0;3.504753112792969e-05;1.049041748046875e-05;0.0023539066314697266;
Brussels-Rome;1511.0;1511.0;1855.0;4.124641418457031e-05;4.315376281738281e-05;0.0013628005981445312;
Barcelona-Athens;3398.0;3398.0;3398.0;3.552436828613281e-05;5.9604644775390625e-05;0.0013229846954345703;
