Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Copenhagen-Madrid;2347.0;2347.0;0;4.1484832763671875e-05;4.839897155761719e-05;0.1587226390838623;
Barcelona-Athens;3398.0;3398.0;0;3.409385681152344e-05;5.8650970458984375e-05;0.17836308479309082;
Barcelona-Milan;2046.0;2046.0;0;4.363059997558594e-05;4.792213439941406e-05;0.1821126937866211;
Marseilles-Hook of Holland;1183.0;1183.0;0;3.504753112792969e-05;3.170967102050781e-05;0.19408392906188965;
Rome-Milan;586.0;586.0;0;1.1920928955078125e-05;6.198883056640625e-06;0.19468092918395996;
Lisbon-Brussels;2256.0;2256.0;0;3.457069396972656e-05;2.86102294921875e-05;0.12271595001220703;
Madrid-Paris;1669.0;1669.0;0;3.719329833984375e-05;2.5987625122070312e-05;0.19600558280944824;
Lisbon-Calais;2052.0;2052.0;0;2.0265579223632812e-05;2.4318695068359375e-05;0.07584357261657715;
Rome-Athens;2868.0;2868.0;0;2.002716064453125e-05;5.626678466796875e-05;0.18095803260803223;
Vienna-Lyons;1152.0;1152.0;0;2.5033950805664062e-05;1.5020370483398438e-05;0.13098692893981934;
Stockholm-Athens;3927.0;3927.0;3927.0;5.1021575927734375e-05;7.2479248046875e-05;0.0007607936859130859;
Athens-Copenhagen;3283.0;3283.0;0;4.2438507080078125e-05;3.719329833984375e-05;0.19686508178710938;
Cologne-Hook of Holland;269.0;269.0;0;1.430511474609375e-05;6.9141387939453125e-06;0.1797947883605957;
Hook of Holland-Copenhagen;269.0;269.0;0;1.1444091796875e-05;5.4836273193359375e-06;0.17542362213134766;
Hook of Holland-Vienna;1884.0;1884.0;0;2.3126602172851562e-05;4.172325134277344e-05;0.11932206153869629;
Cherbourg-Barcelona;1434.0;1434.0;1901.0;3.647804260253906e-05;3.719329833984375e-05;0.0013055801391601562;
Madrid-Milan;1724.0;1724.0;0;4.649162292480469e-05;2.7894973754882812e-05;0.18702316284179688;
Gibraltar-Brussels;2256.0;2256.0;0;4.220008850097656e-05;2.6941299438476562e-05;0.12008905410766602;
Hamburg-Milan;1136.0;1136.0;0;2.956390380859375e-05;2.574920654296875e-05;0.18506860733032227;
Copenhagen-Munich;1104.0;1104.0;0;2.09808349609375e-05;2.47955322265625e-05;0.1238718032836914;
Hook of Holland-Geneva;1426.0;1426.0;1426.0;4.1961669921875e-05;3.409385681152344e-05;0.0019266605377197266;
Gibraltar-Marseilles;1855.0;1855.0;0;2.8133392333984375e-05;1.7881393432617188e-05;0.18288016319274902;
Stockholm-Rome;2602.0;2602.0;0;4.4345855712890625e-05;4.863739013671875e-05;0.10834693908691406;
Gibraltar-Barcelona;1172.0;1172.0;1172.0;1.5974044799804688e-05;1.1205673217773438e-05;0.0008335113525390625;
Milan-Hook of Holland;1180.0;1180.0;0;3.2901763916015625e-05;2.6464462280273438e-05;0.2070317268371582;
Paris-Hamburg;877.0;877.0;4136.0;2.002716064453125e-05;1.6689300537109375e-05;0.0026085376739501953;
Hook of Holland-Brussels;1235.0;1235.0;0;2.574920654296875e-05;2.9325485229492188e-05;0.1273360252380371;
Barcelona-Hamburg;1804.0;1804.0;3642.0;0.00016164779663085938;5.245208740234375e-05;0.0019903182983398438;
Cologne-Brussels;1057.0;1057.0;0;2.765655517578125e-05;3.4332275390625e-05;0.10892748832702637;
Brussels-Rome;1511.0;1511.0;0;4.506111145019531e-05;4.744529724121094e-05;0.10447263717651367;
Hamburg-Calais;2213.0;2213.0;0;4.863739013671875e-05;5.340576171875e-05;0.07110404968261719;
Vienna-Madrid;2433.0;2433.0;0;3.24249267578125e-05;6.151199340820312e-05;0.14395594596862793;
Athens-Hamburg;2984.0;2984.0;4307.0;4.0531158447265625e-05;2.4318695068359375e-05;0.0026772022247314453;
Athens-Cologne;3132.0;3132.0;0;4.076957702636719e-05;3.4332275390625e-05;0.15805554389953613;
Hamburg-Madrid;2440.0;2440.0;0;4.291534423828125e-05;5.793571472167969e-05;0.15008211135864258;
Calais-Copenhagen;645.0;645.0;0;2.0265579223632812e-05;1.9550323486328125e-05;0.18779659271240234;
Lisbon-Gibraltar;2995.0;2995.0;0;2.765655517578125e-05;5.340576171875e-05;0.23409175872802734;
Paris-Madrid;2535.0;2535.0;0;3.933906555175781e-05;5.4836273193359375e-05;0.14174365997314453;
Lisbon-Cologne;2264.0;2264.0;0;3.0279159545898438e-05;3.361701965332031e-05;0.15822505950927734;
Rome-Barcelona;1693.0;1693.0;2995.0;2.7418136596679688e-05;3.0517578125e-05;0.0018887519836425781;
Hook of Holland-Lisbon;2256.0;2256.0;0;4.00543212890625e-05;5.14984130859375e-05;0.14452815055847168;
Stockholm-Brussels;1616.0;1616.0;0;2.7894973754882812e-05;2.3126602172851562e-05;0.11736536026000977;
Cologne-Geneva;1239.0;1239.0;0;3.838539123535156e-05;3.2901763916015625e-05;0.1472320556640625;
Lisbon-Hamburg;2337.0;2337.0;2337.0;4.482269287109375e-05;3.6716461181640625e-05;0.0014674663543701172;
Madrid-Marseilles;1157.0;1157.0;0;2.86102294921875e-05;1.430511474609375e-05;0.1903674602508545;
Cherbourg-Milan;1209.0;1209.0;0;3.0040740966796875e-05;3.0994415283203125e-05;0.189162015914917;
Athens-Barcelona;3313.0;3313.0;3313.0;3.0040740966796875e-05;3.910064697265625e-05;0.0010077953338623047;
Geneva-Cologne;1513.0;1513.0;0;3.9577484130859375e-05;4.00543212890625e-05;0.13892602920532227;
Stockholm-Calais;1786.0;1786.0;0;5.364418029785156e-05;3.0517578125e-05;0.07050490379333496;
Rome-Gibraltar;2704.0;2704.0;0;2.7179718017578125e-05;5.269050598144531e-05;0.2268054485321045;
Lisbon-Geneva;1923.0;1923.0;0;2.2649765014648438e-05;2.2411346435546875e-05;0.1359093189239502;
Calais-Paris;800.0;800.0;0;2.0503997802734375e-05;2.1219253540039062e-05;0.1970055103302002;
Milan-Barcelona;1131.0;1131.0;5595.0;2.1696090698242188e-05;2.193450927734375e-05;0.0019192695617675781;
Stockholm-Copenhagen;650.0;650.0;0;1.3589859008789062e-05;6.198883056640625e-06;0.17684459686279297;
Munich-Calais;1408.0;1408.0;0;2.1219253540039062e-05;4.0531158447265625e-05;0.08157038688659668;
Cologne-Stockholm;1403.0;1403.0;0;2.7894973754882812e-05;3.8623809814453125e-05;0.11342167854309082;
Cologne-Lyons;1355.0;1355.0;0;3.933906555175781e-05;3.647804260253906e-05;0.10831928253173828;
Copenhagen-Cologne;760.0;760.0;0;2.7894973754882812e-05;1.5974044799804688e-05;0.1468677520751953;
Hook of Holland-Hamburg;729.0;729.0;6443.0;2.384185791015625e-05;1.3113021850585938e-05;0.0038530826568603516;
Stockholm-Barcelona;2908.0;2908.0;7240.0;5.0067901611328125e-05;4.76837158203125e-05;0.0013644695281982422;
