Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Cherbourg-Vienna;2270.0;2270.0;0;5.6743621826171875e-05;7.200241088867188e-05;0.16093826293945312;
Geneva-Vienna;1019.0;1019.0;0;1.7881393432617188e-05;2.4318695068359375e-05;0.18714427947998047;
Munich-Cherbourg;1160.0;1160.0;0;3.170967102050781e-05;3.528594970703125e-05;0.1900472640991211;
Vienna-Brussels;1175.0;1175.0;6834.0;3.6716461181640625e-05;2.2172927856445312e-05;0.0026917457580566406;
Vienna-Geneva;1087.0;1087.0;0;1.9073486328125e-05;1.3828277587890625e-05;0.19185161590576172;
Hook of Holland-Calais;2175.0;2175.0;7669.0;4.9591064453125e-05;5.364418029785156e-05;0.002011537551879883;
Paris-Gibraltar;2901.0;2901.0;0;0.00010561943054199219;8.797645568847656e-05;0.1644742488861084;
Lisbon-Geneva;1923.0;1923.0;0;3.8623809814453125e-05;3.0040740966796875e-05;0.17532086372375488;
Vienna-Hook of Holland;1205.0;1205.0;0;6.246566772460938e-05;2.7894973754882812e-05;0.16182947158813477;
Cherbourg-Barcelona;1434.0;1434.0;1901.0;4.100799560546875e-05;3.933906555175781e-05;0.0016584396362304688;
Gibraltar-Copenhagen;2697.0;2697.0;0;4.76837158203125e-05;4.9114227294921875e-05;0.20077228546142578;
Stockholm-Paris;1376.0;1376.0;0;2.47955322265625e-05;1.7642974853515625e-05;0.19158625602722168;
Marseilles-Geneva;425.0;425.0;0;3.504753112792969e-05;1.3828277587890625e-05;0.2285594940185547;
Cologne-Hook of Holland;269.0;269.0;0;1.430511474609375e-05;7.62939453125e-06;0.20832514762878418;
Hamburg-Brussels;597.0;597.0;7820.0;1.0967254638671875e-05;6.198883056640625e-06;0.003124237060546875;
Madrid-Hook of Holland;1730.0;1730.0;0;3.695487976074219e-05;3.123283386230469e-05;0.1753406524658203;
Brussels-Cologne;206.0;206.0;0;1.6450881958007812e-05;1.0967254638671875e-05;0.20938968658447266;
Madrid-Copenhagen;1999.0;1999.0;0;4.029273986816406e-05;4.38690185546875e-05;0.2160811424255371;
Milan-Lyons;486.0;486.0;0;1.6689300537109375e-05;9.059906005859375e-06;0.16451358795166016;
Paris-Geneva;1704.0;1704.0;0;4.38690185546875e-05;3.838539123535156e-05;0.2115771770477295;
Lisbon-Hamburg;2337.0;2337.0;0;5.6743621826171875e-05;3.814697265625e-05;0.1757516860961914;
Geneva-Cherbourg;853.0;853.0;853.0;2.8848648071289062e-05;1.6927719116210938e-05;0.000701904296875;
Hamburg-Cologne;803.0;803.0;0;1.5735626220703125e-05;1.2874603271484375e-05;0.2206730842590332;
Marseilles-Madrid;1157.0;1157.0;0;2.4557113647460938e-05;3.1948089599609375e-05;0.16138458251953125;
Lisbon-Lyons;1178.0;1178.0;0;1.239776611328125e-05;5.9604644775390625e-06;0.19741058349609375;
Paris-Cherbourg;1188.0;1188.0;0;2.1219253540039062e-05;2.09808349609375e-05;0.18696117401123047;
Hook of Holland-Stockholm;2284.0;2284.0;0;3.981590270996094e-05;0.00016021728515625;0.16575980186462402;
Barcelona-Paris;1033.0;1033.0;0;3.361701965332031e-05;1.6689300537109375e-05;0.17034459114074707;
Lisbon-Munich;2607.0;2607.0;0;3.7670135498046875e-05;8.678436279296875e-05;0.17106389999389648;
Hook of Holland-Gibraltar;2776.0;2776.0;0;4.673004150390625e-05;6.818771362304688e-05;0.17116236686706543;
Hamburg-Hook of Holland;769.0;769.0;0;1.811981201171875e-05;1.0728836059570312e-05;0.16889262199401855;
Athens-Copenhagen;3283.0;3283.0;0;4.5299530029296875e-05;3.790855407714844e-05;0.1656808853149414;
Brussels-Geneva;1435.0;1435.0;0;4.1961669921875e-05;4.00543212890625e-05;0.1678764820098877;
Paris-Lisbon;1799.0;1799.0;0;4.553794860839844e-05;3.790855407714844e-05;0.166154146194458;
Stockholm-Cherbourg;1650.0;1650.0;0;2.4080276489257812e-05;2.5510787963867188e-05;0.17621970176696777;
Athens-Paris;3000.0;3000.0;0;4.172325134277344e-05;4.220008850097656e-05;0.17089533805847168;
Cherbourg-Lyons;789.0;789.0;0;3.600120544433594e-05;1.9311904907226562e-05;0.1799311637878418;
Madrid-Barcelona;636.0;636.0;636.0;1.1682510375976562e-05;6.198883056640625e-06;0.0008869171142578125;
Lyons-Rome;1740.0;1740.0;0;2.3603439331054688e-05;4.649162292480469e-05;0.17955636978149414;
Copenhagen-Lisbon;2525.0;2525.0;0;4.1961669921875e-05;5.435943603515625e-05;0.1611461639404297;
Munich-Lyons;724.0;724.0;0;1.8596649169921875e-05;1.239776611328125e-05;0.16060590744018555;
Madrid-Stockholm;3167.0;3167.0;0;3.457069396972656e-05;5.53131103515625e-05;0.16152000427246094;
Vienna-Cologne;1381.0;1381.0;0;4.100799560546875e-05;3.1948089599609375e-05;0.16750669479370117;
Cologne-Paris;465.0;465.0;0;2.193450927734375e-05;1.3589859008789062e-05;0.16792702674865723;
Hamburg-Milan;1136.0;1136.0;0;2.9802322387695312e-05;2.574920654296875e-05;0.17406082153320312;
Vienna-Cherbourg;1588.0;1588.0;0;2.6941299438476562e-05;3.7670135498046875e-05;0.16521358489990234;
Marseilles-Milan;1440.0;1440.0;0;3.886222839355469e-05;4.220008850097656e-05;0.19131159782409668;
Athens-Cherbourg;3339.0;3339.0;0;3.075599670410156e-05;4.291534423828125e-05;0.19094228744506836;
Milan-Cologne;911.0;911.0;0;3.123283386230469e-05;1.6450881958007812e-05;0.17400479316711426;
Barcelona-Lisbon;1305.0;1305.0;0;1.4781951904296875e-05;2.3365020751953125e-05;0.17510032653808594;
Lisbon-Athens;3931.0;3931.0;4532.0;3.361701965332031e-05;6.008148193359375e-05;0.0008399486541748047;
Hook of Holland-Cologne;922.0;922.0;0;5.14984130859375e-05;2.8371810913085938e-05;0.16747260093688965;
Hamburg-Geneva;1464.0;1464.0;0;5.030632019042969e-05;5.1021575927734375e-05;0.17316198348999023;
Calais-Paris;800.0;800.0;0;7.295608520507812e-05;4.1484832763671875e-05;0.16782355308532715;
Stockholm-Copenhagen;650.0;650.0;0;2.002716064453125e-05;7.3909759521484375e-06;0.1597437858581543;
Hamburg-Madrid;2440.0;2440.0;0;4.935264587402344e-05;7.581710815429688e-05;0.1595597267150879;
Paris-Hamburg;877.0;877.0;0;2.1457672119140625e-05;2.1457672119140625e-05;0.16676735877990723;
Geneva-Hamburg;1317.0;1317.0;0;4.982948303222656e-05;2.8848648071289062e-05;0.16635918617248535;
Munich-Marseilles;949.0;949.0;0;2.4557113647460938e-05;2.4557113647460938e-05;0.16241121292114258;
Lyons-Barcelona;645.0;645.0;6066.0;2.0742416381835938e-05;1.1920928955078125e-05;0.0013844966888427734;
