Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Stockholm-Cherbourg;1650.0;1650.0;0;2.288818359375e-05;2.5272369384765625e-05;0.2024242877960205;
Hamburg-Rome;2108.0;2108.0;0;3.600120544433594e-05;4.4345855712890625e-05;0.1994175910949707;
Paris-Lyons;1820.0;1820.0;0;4.601478576660156e-05;3.910064697265625e-05;0.1701509952545166;
Rome-Copenhagen;2035.0;2035.0;0;5.173683166503906e-05;4.744529724121094e-05;0.21849822998046875;
Brussels-Calais;2069.0;2069.0;2644.0;4.3392181396484375e-05;5.4836273193359375e-05;0.002331972122192383;
Athens-Barcelona;3313.0;3313.0;3313.0;2.956390380859375e-05;3.9577484130859375e-05;0.0010662078857421875;
Lyons-Athens;2753.0;2753.0;2753.0;3.314018249511719e-05;5.7697296142578125e-05;0.0007891654968261719;
Barcelona-Milan;2046.0;2046.0;0;4.458427429199219e-05;4.982948303222656e-05;0.18526649475097656;
Calais-Cologne;410.0;410.0;0;1.4781951904296875e-05;1.1682510375976562e-05;0.18595552444458008;
Munich-Vienna;1678.0;1678.0;0;1.6689300537109375e-05;4.506111145019531e-05;0.19605755805969238;
Lyons-Calais;1379.0;1379.0;7392.0;1.6689300537109375e-05;3.218650817871094e-05;0.0020444393157958984;
Lyons-Stockholm;2108.0;2108.0;0;3.4809112548828125e-05;5.507469177246094e-05;0.19529199600219727;
Barcelona-Stockholm;2753.0;2753.0;0;3.695487976074219e-05;5.7220458984375e-05;0.21634221076965332;
Geneva-Cherbourg;853.0;853.0;853.0;2.9087066650390625e-05;1.6450881958007812e-05;0.0009150505065917969;
Hamburg-Barcelona;1804.0;1804.0;6290.0;4.839897155761719e-05;4.363059997558594e-05;0.0015170574188232422;
Copenhagen-Marseilles;1452.0;1452.0;0;4.482269287109375e-05;3.218650817871094e-05;0.17992711067199707;
Vienna-Stockholm;2105.0;2105.0;0;3.838539123535156e-05;5.125999450683594e-05;0.18935465812683105;
Lyons-Brussels;1331.0;1331.0;7596.0;3.743171691894531e-05;2.9087066650390625e-05;0.0031745433807373047;
Calais-Munich;1675.0;1675.0;0;4.0531158447265625e-05;4.839897155761719e-05;0.19817471504211426;
Lyons-Paris;1112.0;1112.0;0;3.3855438232421875e-05;1.8358230590820312e-05;0.1806626319885254;
Lisbon-Brussels;2256.0;2256.0;9375.0;3.62396240234375e-05;3.218650817871094e-05;0.0030782222747802734;
Lyons-Lisbon;1178.0;1178.0;0;1.5735626220703125e-05;2.1457672119140625e-05;0.18327665328979492;
Calais-Stockholm;1813.0;1813.0;0;2.0265579223632812e-05;5.14984130859375e-05;0.1900177001953125;
