Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Paris-Milan;1376.0;1376.0;4368.0;3.552436828613281e-05;2.47955322265625e-05;0.00410151481628418;
Lyons-Copenhagen;1458.0;1458.0;4514.0;4.506111145019531e-05;4.029273986816406e-05;0.0021789073944091797;
Calais-Stockholm;1813.0;1813.0;1813.0;2.2411346435546875e-05;5.340576171875e-05;0.0018622875213623047;
Copenhagen-Calais;2444.0;2444.0;0;5.125999450683594e-05;5.841255187988281e-05;0.17755484580993652;
Cologne-Brussels;1057.0;1057.0;3028.0;2.6702880859375e-05;3.170967102050781e-05;0.002584695816040039;
Cherbourg-Calais;2160.0;2160.0;0;3.981590270996094e-05;5.745887756347656e-05;0.15611529350280762;
Cologne-Lyons;1355.0;1355.0;1397.0;3.9577484130859375e-05;3.933906555175781e-05;0.001842498779296875;
Geneva-Calais;1537.0;1537.0;0;2.0742416381835938e-05;4.792213439941406e-05;0.16227984428405762;
Stockholm-Rome;2602.0;2602.0;2602.0;5.364418029785156e-05;5.555152893066406e-05;0.0023703575134277344;
Geneva-Hook of Holland;1608.0;1608.0;0;5.2928924560546875e-05;5.245208740234375e-05;0.15565848350524902;
Lyons-Milan;1760.0;1760.0;1760.0;4.935264587402344e-05;5.435943603515625e-05;0.0028886795043945312;
Cherbourg-Lyons;789.0;789.0;1421.0;3.457069396972656e-05;1.9788742065429688e-05;0.00176239013671875;
Hook of Holland-Lisbon;2256.0;2256.0;2256.0;3.981590270996094e-05;5.2928924560546875e-05;0.0013611316680908203;
Vienna-Cherbourg;1588.0;1588.0;1588.0;3.743171691894531e-05;3.981590270996094e-05;0.0015587806701660156;
Calais-Madrid;1807.0;1807.0;2175.0;3.552436828613281e-05;4.9591064453125e-05;0.0018658638000488281;
Geneva-Rome;995.0;995.0;995.0;1.3113021850585938e-05;2.0742416381835938e-05;0.0007071495056152344;
Rome-Geneva;914.0;914.0;914.0;1.4543533325195312e-05;1.0013580322265625e-05;0.0014541149139404297;
Copenhagen-Madrid;2347.0;2347.0;4984.0;4.076957702636719e-05;5.030632019042969e-05;0.003115415573120117;
Hook of Holland-Milan;1098.0;1098.0;1098.0;3.457069396972656e-05;2.3365020751953125e-05;0.0007429122924804688;
Lyons-Cologne;1355.0;1355.0;0;3.337860107421875e-05;3.1948089599609375e-05;0.5016887187957764;
Athens-Brussels;2926.0;2926.0;0;3.0517578125e-05;2.1457672119140625e-05;0.4733312129974365;
Lisbon-Hamburg;2337.0;2337.0;2337.0;4.744529724121094e-05;3.62396240234375e-05;0.0013120174407958984;
Copenhagen-Stockholm;2163.0;2163.0;2594.0;2.8133392333984375e-05;4.38690185546875e-05;0.002376556396484375;
Hamburg-Marseilles;1479.0;1479.0;6293.0;3.409385681152344e-05;4.220008850097656e-05;0.003806591033935547;
Paris-Madrid;2535.0;2535.0;4258.0;4.029273986816406e-05;5.364418029785156e-05;0.0020248889923095703;
Madrid-Rome;2096.0;2096.0;0;2.7179718017578125e-05;4.5299530029296875e-05;0.1493687629699707;
Brussels-Calais;2069.0;2069.0;0;4.315376281738281e-05;5.650520324707031e-05;0.17116451263427734;
Munich-Vienna;1678.0;1678.0;0;1.7642974853515625e-05;4.57763671875e-05;0.1716005802154541;
Athens-Lyons;2903.0;2903.0;2996.0;2.6226043701171875e-05;1.8358230590820312e-05;0.002602100372314453;
Rome-Milan;586.0;586.0;5400.0;1.1682510375976562e-05;6.4373016357421875e-06;0.005120038986206055;
Hamburg-Gibraltar;2897.0;2897.0;5423.0;4.291534423828125e-05;7.581710815429688e-05;0.0034492015838623047;
Barcelona-Paris;1033.0;1033.0;0;2.8848648071289062e-05;1.5735626220703125e-05;0.4885439872741699;
