Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Barcelona-Paris;1033.0;1033.0;2159.0;3.910064697265625e-05;1.9311904907226562e-05;0.004270076751708984;
Copenhagen-Geneva;1695.0;1695.0;1695.0;5.459785461425781e-05;4.76837158203125e-05;0.002830028533935547;
Vienna-Athens;1991.0;1991.0;4787.0;1.8596649169921875e-05;5.340576171875e-05;0.004551410675048828;
Vienna-Cologne;1381.0;1381.0;1381.0;4.482269287109375e-05;3.814697265625e-05;0.002754688262939453;
Madrid-Paris;1669.0;1669.0;2795.0;4.3392181396484375e-05;3.0279159545898438e-05;0.0049021244049072266;
Vienna-Marseilles;1377.0;1377.0;2388.0;3.0279159545898438e-05;3.0279159545898438e-05;0.0026051998138427734;
Cherbourg-Barcelona;1434.0;1434.0;5259.0;4.1484832763671875e-05;4.3392181396484375e-05;0.00447392463684082;
Lyons-Stockholm;2108.0;2108.0;2108.0;3.981590270996094e-05;6.747245788574219e-05;0.0008687973022460938;
Paris-Vienna;2032.0;2032.0;2032.0;3.361701965332031e-05;5.650520324707031e-05;0.0015726089477539062;
Athens-Vienna;1991.0;1991.0;8562.0;1.1682510375976562e-05;5.7220458984375e-06;0.003972053527832031;
Vienna-Madrid;2433.0;2433.0;3283.0;3.528594970703125e-05;6.365776062011719e-05;0.001982450485229492;
Paris-Madrid;2535.0;2535.0;4472.0;4.5299530029296875e-05;6.389617919921875e-05;0.002535581588745117;
Madrid-Copenhagen;1999.0;1999.0;0;4.57763671875e-05;5.030632019042969e-05;0.3947162628173828;
Stockholm-Copenhagen;650.0;650.0;650.0;1.52587890625e-05;7.152557373046875e-06;0.0007958412170410156;
Copenhagen-Paris;726.0;726.0;1595.0;2.4557113647460938e-05;1.621246337890625e-05;0.0019960403442382812;
Munich-Lyons;724.0;724.0;724.0;2.0265579223632812e-05;1.3828277587890625e-05;0.0008344650268554688;
Lyons-Madrid;1281.0;1281.0;1281.0;2.5510787963867188e-05;2.8133392333984375e-05;0.0009074211120605469;
Athens-Barcelona;3313.0;3313.0;7218.0;4.029273986816406e-05;4.887580871582031e-05;0.004024028778076172;
Cherbourg-Brussels;583.0;583.0;1712.0;2.1696090698242188e-05;1.1205673217773438e-05;0.0013997554779052734;
Hamburg-Lisbon;2337.0;2337.0;4616.0;5.1975250244140625e-05;6.103515625e-05;0.003529787063598633;
Brussels-Rome;1511.0;1511.0;2430.0;4.291534423828125e-05;5.0067901611328125e-05;0.00406646728515625;
Milan-Lyons;486.0;486.0;1971.0;2.002716064453125e-05;1.0728836059570312e-05;0.0021338462829589844;
Milan-Madrid;1724.0;1724.0;6669.0;2.9325485229492188e-05;5.626678466796875e-05;0.0031800270080566406;
Brussels-Geneva;1435.0;1435.0;0;4.792213439941406e-05;4.506111145019531e-05;0.16692280769348145;
Marseilles-Hook of Holland;1183.0;1183.0;0;5.340576171875e-05;3.933906555175781e-05;0.2625436782836914;
Cologne-Lyons;1355.0;1355.0;2882.0;4.4345855712890625e-05;4.172325134277344e-05;0.003980159759521484;
Rome-Athens;2868.0;2868.0;2868.0;2.3603439331054688e-05;6.532669067382812e-05;0.0016734600067138672;
Calais-Paris;800.0;800.0;833.0;2.3365020751953125e-05;2.5033950805664062e-05;0.0021560192108154297;
Milan-Copenhagen;1449.0;1449.0;0;4.1961669921875e-05;5.2928924560546875e-05;0.40987348556518555;
Copenhagen-Lisbon;2525.0;2525.0;2525.0;5.14984130859375e-05;5.9604644775390625e-05;0.002885580062866211;
Marseilles-Cherbourg;1278.0;1278.0;0;3.24249267578125e-05;3.886222839355469e-05;0.5901024341583252;
Milan-Stockholm;2314.0;2314.0;2314.0;3.1948089599609375e-05;6.365776062011719e-05;0.0021991729736328125;
Gibraltar-Cherbourg;2466.0;2466.0;2684.0;4.124641418457031e-05;4.315376281738281e-05;0.0020515918731689453;
Cherbourg-Hamburg;1115.0;1115.0;3787.0;3.266334533691406e-05;3.1948089599609375e-05;0.004186868667602539;
Hamburg-Munich;805.0;805.0;805.0;2.3126602172851562e-05;1.811981201171875e-05;0.0012545585632324219;
Munich-Brussels;747.0;747.0;747.0;3.3855438232421875e-05;1.7404556274414062e-05;0.0010404586791992188;
Lyons-Hook of Holland;1503.0;1503.0;0;4.4345855712890625e-05;4.5299530029296875e-05;0.25061893463134766;
Paris-Munich;1682.0;1682.0;4406.0;3.0994415283203125e-05;3.6716461181640625e-05;0.003333568572998047;
Athens-Copenhagen;3283.0;3283.0;0;4.553794860839844e-05;4.2438507080078125e-05;0.3815269470214844;
Lyons-Munich;1429.0;1429.0;1429.0;0.0003390312194824219;4.2438507080078125e-05;0.0026345252990722656;
Cherbourg-Stockholm;2167.0;2167.0;3321.0;2.9087066650390625e-05;6.031990051269531e-05;0.0045583248138427734;
Calais-Munich;1675.0;1675.0;4384.0;4.363059997558594e-05;5.173683166503906e-05;0.004828929901123047;
Rome-Cherbourg;1767.0;1767.0;0;2.8371810913085938e-05;4.220008850097656e-05;0.5747628211975098;
Cherbourg-Calais;2160.0;2160.0;2773.0;4.0531158447265625e-05;5.7220458984375e-05;0.002371549606323242;
Rome-Lisbon;2226.0;2226.0;4670.0;2.6464462280273438e-05;5.745887756347656e-05;0.003497600555419922;
Munich-Hamburg;805.0;805.0;805.0;3.4809112548828125e-05;2.09808349609375e-05;0.0015873908996582031;
Stockholm-Paris;1376.0;1376.0;2245.0;2.5987625122070312e-05;1.9550323486328125e-05;0.002736330032348633;
Brussels-Barcelona;1318.0;1318.0;1318.0;4.6253204345703125e-05;3.933906555175781e-05;0.0007162094116210938;
Stockholm-Cologne;1410.0;1410.0;0;3.528594970703125e-05;2.09808349609375e-05;0.6886017322540283;
Hook of Holland-Munich;1373.0;1373.0;2292.0;2.6464462280273438e-05;3.504753112792969e-05;0.001293182373046875;
Stockholm-Lyons;2269.0;2269.0;2269.0;5.0067901611328125e-05;4.696846008300781e-05;0.0023148059844970703;
Brussels-Copenhagen;441.0;441.0;0;1.811981201171875e-05;1.5497207641601562e-05;0.4071934223175049;
Stockholm-Vienna;2265.0;2265.0;2265.0;2.86102294921875e-05;4.458427429199219e-05;0.0023453235626220703;
Geneva-Madrid;1439.0;1439.0;6341.0;2.5987625122070312e-05;4.00543212890625e-05;0.003765583038330078;
Calais-Hamburg;870.0;870.0;870.0;2.9087066650390625e-05;2.7179718017578125e-05;0.0024139881134033203;
