Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Lisbon-Cherbourg;1827.0;1827.0;0;3.600120544433594e-05;1.9788742065429688e-05;0.19012951850891113;
Milan-Hamburg;1238.0;1238.0;0;3.266334533691406e-05;3.123283386230469e-05;0.17793536186218262;
Cologne-Barcelona;1498.0;1498.0;1498.0;3.886222839355469e-05;4.076957702636719e-05;0.0008344650268554688;
Geneva-Hamburg;1317.0;1317.0;0;4.9114227294921875e-05;2.8371810913085938e-05;0.18506813049316406;
Madrid-Athens;4006.0;4006.0;0;3.528594970703125e-05;5.8650970458984375e-05;0.1900341510772705;
Munich-Lyons;724.0;724.0;0;1.8835067749023438e-05;1.239776611328125e-05;0.2002696990966797;
Cologne-Gibraltar;2436.0;2436.0;0;4.267692565917969e-05;5.555152893066406e-05;0.20132708549499512;
Munich-Vienna;1678.0;1678.0;0;1.6927719116210938e-05;4.458427429199219e-05;0.20092105865478516;
Marseilles-Brussels;1011.0;1011.0;7708.0;3.409385681152344e-05;1.9073486328125e-05;0.0034520626068115234;
Hamburg-Barcelona;1804.0;1804.0;6290.0;4.76837158203125e-05;4.220008850097656e-05;0.0013763904571533203;
Milan-Copenhagen;1449.0;1449.0;0;3.457069396972656e-05;4.2438507080078125e-05;0.2028794288635254;
Copenhagen-Barcelona;2258.0;2258.0;2284.0;4.9114227294921875e-05;4.601478576660156e-05;0.002223491668701172;
Athens-Vienna;1991.0;1991.0;0;1.0013580322265625e-05;4.76837158203125e-06;0.17460417747497559;
Gibraltar-Calais;2224.0;2224.0;2498.0;3.0517578125e-05;2.47955322265625e-05;0.0018253326416015625;
Vienna-Geneva;1087.0;1087.0;0;1.7881393432617188e-05;1.3113021850585938e-05;0.19518756866455078;
Rome-Gibraltar;2704.0;2704.0;0;2.6464462280273438e-05;5.459785461425781e-05;0.19935059547424316;
Cologne-Milan;911.0;911.0;0;3.0279159545898438e-05;1.9311904907226562e-05;0.18787884712219238;
Milan-Lyons;486.0;486.0;0;1.5735626220703125e-05;8.821487426757812e-06;0.18404579162597656;
Rome-Copenhagen;2035.0;2035.0;0;4.38690185546875e-05;4.649162292480469e-05;0.22250723838806152;
Lisbon-Gibraltar;2995.0;2995.0;0;2.86102294921875e-05;5.4836273193359375e-05;0.18324065208435059;
Vienna-Rome;2082.0;2082.0;0;1.9550323486328125e-05;4.673004150390625e-05;0.19327259063720703;
Barcelona-Stockholm;2753.0;2753.0;0;3.814697265625e-05;5.6743621826171875e-05;0.19959640502929688;
Copenhagen-Madrid;2347.0;2347.0;0;4.363059997558594e-05;4.935264587402344e-05;0.19182658195495605;
Stockholm-Lisbon;3175.0;3175.0;0;4.291534423828125e-05;5.555152893066406e-05;0.18511629104614258;
Hamburg-Paris;1226.0;1226.0;0;2.2172927856445312e-05;3.457069396972656e-05;0.18223166465759277;
Vienna-Stockholm;2105.0;2105.0;0;3.8623809814453125e-05;4.982948303222656e-05;0.17661404609680176;
Paris-Milan;1376.0;1376.0;0;3.314018249511719e-05;2.2649765014648438e-05;0.18775606155395508;
Vienna-Lisbon;2330.0;2330.0;0;2.6464462280273438e-05;5.221366882324219e-05;0.1952040195465088;
Athens-Stockholm;4096.0;4096.0;0;3.910064697265625e-05;5.221366882324219e-05;0.18808197975158691;
Hook of Holland-Lisbon;2256.0;2256.0;0;4.100799560546875e-05;5.269050598144531e-05;0.19088172912597656;
