Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Rome-Geneva;914.0;914.0;914.0;1.430511474609375e-05;1.0728836059570312e-05;0.0016491413116455078;
Cherbourg-Hamburg;1115.0;1115.0;5356.0;2.9325485229492188e-05;3.0040740966796875e-05;0.004107475280761719;
Rome-Milan;586.0;586.0;586.0;1.2874603271484375e-05;6.198883056640625e-06;0.0007524490356445312;
Lyons-Geneva;745.0;745.0;745.0;3.3855438232421875e-05;1.5974044799804688e-05;0.0014336109161376953;
Madrid-Geneva;1582.0;1582.0;2052.0;2.9802322387695312e-05;2.574920654296875e-05;0.0017969608306884766;
Hamburg-Brussels;597.0;597.0;0;1.1682510375976562e-05;6.4373016357421875e-06;0.5756382942199707;
Cherbourg-Madrid;1347.0;1347.0;0;3.4332275390625e-05;3.600120544433594e-05;0.5185019969940186;
Lyons-Madrid;1281.0;1281.0;0;2.3603439331054688e-05;2.4557113647460938e-05;0.5310318470001221;
Marseilles-Rome;1420.0;1420.0;0;1.7404556274414062e-05;4.124641418457031e-05;0.5522451400756836;
Rome-Brussels;1867.0;1867.0;0;4.291534423828125e-05;4.482269287109375e-05;0.5376796722412109;
Geneva-Calais;1537.0;1537.0;0;2.1219253540039062e-05;4.57763671875e-05;0.5471553802490234;
Milan-Lisbon;1664.0;1664.0;0;2.002716064453125e-05;4.696846008300781e-05;0.536362886428833;
Gibraltar-Stockholm;3839.0;3839.0;0;4.172325134277344e-05;5.8650970458984375e-05;0.54258131980896;
Athens-Milan;2510.0;2510.0;2510.0;1.8596649169921875e-05;1.3113021850585938e-05;0.0018999576568603516;
Copenhagen-Lisbon;2525.0;2525.0;0;4.7206878662109375e-05;5.602836608886719e-05;0.572885274887085;
Cherbourg-Munich;1920.0;1920.0;0;3.981590270996094e-05;4.649162292480469e-05;0.5541524887084961;
Calais-Marseilles;1214.0;1214.0;1214.0;4.458427429199219e-05;3.4332275390625e-05;0.002569913864135742;
Munich-Hamburg;805.0;805.0;2616.0;3.218650817871094e-05;1.9073486328125e-05;0.0031723976135253906;
Lisbon-Gibraltar;2995.0;2995.0;0;2.8371810913085938e-05;5.91278076171875e-05;0.5504031181335449;
Hook of Holland-Geneva;1426.0;1426.0;4130.0;4.482269287109375e-05;3.6716461181640625e-05;0.003838777542114258;
Cologne-Brussels;1057.0;1057.0;0;2.6702880859375e-05;2.9802322387695312e-05;0.6321170330047607;
Hook of Holland-Lyons;1503.0;1503.0;1888.0;4.6253204345703125e-05;3.7670135498046875e-05;0.002313375473022461;
Lyons-Barcelona;645.0;645.0;0;2.1457672119140625e-05;1.239776611328125e-05;0.551403284072876;
Copenhagen-Vienna;1615.0;1615.0;0;1.9788742065429688e-05;3.409385681152344e-05;0.5636067390441895;
Athens-Geneva;2838.0;2838.0;2838.0;2.5272369384765625e-05;1.6689300537109375e-05;0.002119302749633789;
Geneva-Munich;1447.0;1447.0;0;3.5762786865234375e-05;3.981590270996094e-05;0.5792474746704102;
Munich-Hook of Holland;919.0;919.0;0;3.337860107421875e-05;2.288818359375e-05;0.5511248111724854;
Cologne-Athens;3193.0;3193.0;0;4.0531158447265625e-05;6.103515625e-05;0.5760979652404785;
Brussels-Hook of Holland;172.0;172.0;0;1.3589859008789062e-05;6.198883056640625e-06;0.5272443294525146;
Athens-Marseilles;3128.0;3128.0;3316.0;2.8848648071289062e-05;3.147125244140625e-05;0.0042879581451416016;
Paris-Madrid;2535.0;2535.0;0;4.291534423828125e-05;5.7697296142578125e-05;0.5583288669586182;
Calais-Munich;1675.0;1675.0;0;4.1961669921875e-05;4.863739013671875e-05;0.5367293357849121;
Marseilles-Gibraltar;1693.0;1693.0;0;2.9325485229492188e-05;5.435943603515625e-05;0.5515158176422119;
Brussels-Lyons;690.0;690.0;690.0;4.100799560546875e-05;4.100799560546875e-05;0.0015368461608886719;
Athens-Lyons;2903.0;2903.0;2903.0;3.147125244140625e-05;1.9788742065429688e-05;0.0028090476989746094;
Calais-Gibraltar;2505.0;2505.0;0;5.841255187988281e-05;5.936622619628906e-05;0.5663998126983643;
Cherbourg-Milan;1209.0;1209.0;0;3.337860107421875e-05;3.337860107421875e-05;0.5345027446746826;
Gibraltar-Milan;2422.0;2422.0;0;4.76837158203125e-05;3.147125244140625e-05;0.5423562526702881;
Vienna-Brussels;1175.0;1175.0;0;3.528594970703125e-05;2.2649765014648438e-05;0.5735127925872803;
Lyons-Calais;1379.0;1379.0;0;1.7642974853515625e-05;3.457069396972656e-05;0.6305782794952393;
Rome-Hamburg;1751.0;1751.0;2871.0;4.8160552978515625e-05;3.4809112548828125e-05;0.0033292770385742188;
Milan-Copenhagen;1449.0;1449.0;0;3.695487976074219e-05;4.4345855712890625e-05;0.5516393184661865;
Lyons-Stockholm;2108.0;2108.0;0;3.719329833984375e-05;5.745887756347656e-05;0.5643556118011475;
Lisbon-Marseilles;1498.0;1498.0;1498.0;1.9550323486328125e-05;1.0728836059570312e-05;0.0020182132720947266;
Geneva-Gibraltar;1975.0;1975.0;0;2.6702880859375e-05;5.53131103515625e-05;0.5311377048492432;
Paris-Lyons;1820.0;1820.0;2345.0;4.863739013671875e-05;4.100799560546875e-05;0.002871274948120117;
Milan-Marseilles;618.0;618.0;806.0;2.1457672119140625e-05;1.33514404296875e-05;0.0022554397583007812;
Hamburg-Cherbourg;1115.0;1115.0;0;3.1948089599609375e-05;2.574920654296875e-05;0.5433757305145264;
Calais-Vienna;1381.0;1381.0;0;4.6253204345703125e-05;3.886222839355469e-05;0.5350608825683594;
Hamburg-Lyons;1159.0;1159.0;1159.0;4.029273986816406e-05;3.218650817871094e-05;0.0007259845733642578;
Brussels-Madrid;1971.0;1971.0;0;4.482269287109375e-05;5.3882598876953125e-05;0.541710376739502;
Athens-Hook of Holland;3030.0;3030.0;0;4.1961669921875e-05;2.8848648071289062e-05;0.5902059078216553;
Hook of Holland-Barcelona;2148.0;2148.0;0;4.839897155761719e-05;4.8160552978515625e-05;0.5438487529754639;
Geneva-Lyons;158.0;158.0;158.0;1.2159347534179688e-05;5.0067901611328125e-06;0.0009679794311523438;
Cologne-Calais;1988.0;1988.0;0;4.076957702636719e-05;4.935264587402344e-05;0.5515415668487549;
Munich-Rome;1654.0;1654.0;0;1.71661376953125e-05;4.4345855712890625e-05;0.5190448760986328;
Cologne-Stockholm;1403.0;1403.0;0;1.5974044799804688e-05;3.8623809814453125e-05;0.5458550453186035;
Barcelona-Paris;1033.0;1033.0;0;2.8133392333984375e-05;1.5020370483398438e-05;0.5395591259002686;
Stockholm-Gibraltar;3695.0;3695.0;0;8.368492126464844e-05;6.747245788574219e-05;0.3901407718658447;
Copenhagen-Cherbourg;1000.0;1000.0;0;2.5987625122070312e-05;3.361701965332031e-05;0.5662281513214111;
