Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Madrid-Stockholm;3167.0;3167.0;3496.0;3.600120544433594e-05;5.7220458984375e-05;0.0022652149200439453;
Paris-Lisbon;1799.0;1799.0;1799.0;4.1484832763671875e-05;3.814697265625e-05;0.00075531005859375;
Brussels-Athens;3202.0;3202.0;3399.0;0.00013184547424316406;7.748603820800781e-05;0.002194643020629883;
Lisbon-Hamburg;2337.0;2337.0;0;5.078315734863281e-05;3.838539123535156e-05;0.5421943664550781;
Lyons-Geneva;745.0;745.0;745.0;2.4318695068359375e-05;1.6927719116210938e-05;0.0015766620635986328;
Lyons-Madrid;1281.0;1281.0;1281.0;2.4557113647460938e-05;2.6464462280273438e-05;0.001070261001586914;
Paris-Rome;2140.0;2140.0;2417.0;4.506111145019531e-05;5.364418029785156e-05;0.002596616744995117;
Rome-Lisbon;2226.0;2226.0;2250.0;2.3603439331054688e-05;5.245208740234375e-05;0.0029561519622802734;
Hamburg-Athens;2977.0;2977.0;3996.0;3.0279159545898438e-05;6.389617919921875e-05;0.003033161163330078;
Rome-Brussels;1867.0;1867.0;2403.0;4.076957702636719e-05;4.458427429199219e-05;0.004683732986450195;
Munich-Calais;1408.0;1408.0;2816.0;2.288818359375e-05;4.2438507080078125e-05;0.0036535263061523438;
Hamburg-Gibraltar;2897.0;2897.0;4089.0;4.315376281738281e-05;5.841255187988281e-05;0.004192352294921875;
Hook of Holland-Stockholm;2284.0;2284.0;3611.0;3.314018249511719e-05;5.507469177246094e-05;0.0019631385803222656;
Madrid-Copenhagen;1999.0;1999.0;0;4.029273986816406e-05;4.410743713378906e-05;0.21444988250732422;
Geneva-Marseilles;478.0;478.0;478.0;1.6927719116210938e-05;8.821487426757812e-06;0.0020694732666015625;
Munich-Hook of Holland;919.0;919.0;0;3.0279159545898438e-05;2.2411346435546875e-05;0.5855224132537842;
Marseilles-Rome;1420.0;1420.0;2763.0;1.7642974853515625e-05;4.076957702636719e-05;0.003495931625366211;
Marseilles-Copenhagen;1452.0;1452.0;0;3.647804260253906e-05;4.5299530029296875e-05;0.49932146072387695;
Munich-Milan;331.0;331.0;331.0;1.1920928955078125e-05;6.4373016357421875e-06;0.000978231430053711;
Rome-Milan;586.0;586.0;586.0;1.0967254638671875e-05;5.9604644775390625e-06;0.0007481575012207031;
Barcelona-Lyons;645.0;645.0;645.0;1.2636184692382812e-05;6.4373016357421875e-06;0.0007903575897216797;
