Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Copenhagen-Madrid;2347.0;2347.0;0;4.863739013671875e-05;5.698204040527344e-05;0.14344429969787598;
Brussels-Lisbon;1868.0;1868.0;0;6.151199340820312e-05;6.008148193359375e-05;0.09728670120239258;
Milan-Athens;2282.0;2282.0;0;2.5033950805664062e-05;6.413459777832031e-05;0.08859372138977051;
Lyons-Paris;1112.0;1112.0;3935.0;4.267692565917969e-05;2.1457672119140625e-05;0.0016748905181884766;
Athens-Lyons;2903.0;2903.0;0;3.266334533691406e-05;2.0742416381835938e-05;0.1294853687286377;
Marseilles-Gibraltar;1693.0;1693.0;0;3.123283386230469e-05;6.103515625e-05;0.07938694953918457;
Cherbourg-Munich;1920.0;1920.0;0;6.222724914550781e-05;5.53131103515625e-05;0.06904363632202148;
Cherbourg-Paris;340.0;340.0;0;1.621246337890625e-05;8.106231689453125e-06;0.1512739658355713;
Vienna-Cherbourg;1588.0;1588.0;0;3.1948089599609375e-05;4.649162292480469e-05;0.20199203491210938;
Milan-Calais;1077.0;1077.0;0;2.7179718017578125e-05;2.5033950805664062e-05;0.08378386497497559;
Gibraltar-Marseilles;1855.0;1855.0;0;3.3855438232421875e-05;2.1696090698242188e-05;0.09259319305419922;
Cologne-Hook of Holland;269.0;269.0;0;1.71661376953125e-05;8.821487426757812e-06;0.17801237106323242;
Lisbon-Copenhagen;2525.0;2525.0;3931.0;5.364418029785156e-05;5.030632019042969e-05;0.0022203922271728516;
Brussels-Paris;629.0;629.0;3443.0;2.9087066650390625e-05;2.1219253540039062e-05;0.0024766921997070312;
Cologne-Athens;3193.0;3193.0;0;4.6253204345703125e-05;6.985664367675781e-05;0.09920907020568848;
Gibraltar-Lyons;1817.0;1817.0;0;3.170967102050781e-05;1.8835067749023438e-05;0.07785153388977051;
Gibraltar-Athens;4570.0;4570.0;0;4.0531158447265625e-05;7.05718994140625e-05;0.09043240547180176;
Gibraltar-Vienna;2994.0;2994.0;7592.0;4.291534423828125e-05;6.175041198730469e-05;0.0033843517303466797;
Cologne-Hamburg;460.0;460.0;1342.0;2.2411346435546875e-05;1.2636184692382812e-05;0.0018048286437988281;
