Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Copenhagen-Hook of Holland;269.0;269.0;269.0;1.4781951904296875e-05;7.152557373046875e-06;0.0034608840942382812;
Munich-Hamburg;805.0;805.0;4203.0;3.409385681152344e-05;1.9073486328125e-05;0.002336740493774414;
Athens-Brussels;2926.0;2926.0;0;3.314018249511719e-05;2.2172927856445312e-05;0.16416144371032715;
Cherbourg-Barcelona;1434.0;1434.0;1983.0;3.910064697265625e-05;3.9577484130859375e-05;0.0013682842254638672;
Brussels-Vienna;1821.0;1821.0;2617.0;3.886222839355469e-05;4.982948303222656e-05;0.002538919448852539;
Milan-Stockholm;2314.0;2314.0;0;3.0040740966796875e-05;6.103515625e-05;0.165541410446167;
Cherbourg-Stockholm;2167.0;2167.0;0;2.5033950805664062e-05;5.698204040527344e-05;0.1609940528869629;
Vienna-Marseilles;1377.0;1377.0;0;3.0517578125e-05;2.7894973754882812e-05;0.16852068901062012;
Marseilles-Cologne;1035.0;1035.0;0;2.8848648071289062e-05;2.3126602172851562e-05;0.18796873092651367;
Milan-Madrid;1724.0;1724.0;1767.0;2.6226043701171875e-05;4.863739013671875e-05;0.002156972885131836;
Brussels-Calais;2069.0;2069.0;6071.0;4.744529724121094e-05;5.650520324707031e-05;0.004521846771240234;
Hook of Holland-Lyons;1503.0;1503.0;2731.0;4.7206878662109375e-05;3.981590270996094e-05;0.0012640953063964844;
Lyons-Vienna;1683.0;1683.0;0;3.0279159545898438e-05;4.935264587402344e-05;0.1821579933166504;
Rome-Paris;1803.0;1803.0;0;4.482269287109375e-05;4.38690185546875e-05;0.09402894973754883;
Gibraltar-Stockholm;3839.0;3839.0;0;4.267692565917969e-05;5.745887756347656e-05;0.17705655097961426;
Vienna-Geneva;1087.0;1087.0;0;1.9550323486328125e-05;1.4066696166992188e-05;0.19751358032226562;
Rome-Stockholm;2900.0;2900.0;0;4.100799560546875e-05;6.103515625e-05;0.16356420516967773;
Vienna-Copenhagen;1474.0;1474.0;0;4.792213439941406e-05;3.719329833984375e-05;0.12653517723083496;
Cherbourg-Vienna;2270.0;2270.0;0;4.839897155761719e-05;5.888938903808594e-05;0.18329954147338867;
Copenhagen-Vienna;1615.0;1615.0;2714.0;2.193450927734375e-05;3.5762786865234375e-05;0.003154277801513672;
Barcelona-Gibraltar;1172.0;1172.0;0;2.6702880859375e-05;1.8596649169921875e-05;0.1639251708984375;
Rome-Athens;2868.0;2868.0;0;2.1457672119140625e-05;5.888938903808594e-05;0.19639062881469727;
Calais-Athens;3359.0;3359.0;0;5.221366882324219e-05;6.151199340820312e-05;0.19291400909423828;
Marseilles-Gibraltar;1693.0;1693.0;0;2.956390380859375e-05;5.2928924560546875e-05;0.15680336952209473;
Copenhagen-Paris;726.0;726.0;0;2.3603439331054688e-05;2.5033950805664062e-05;0.08815717697143555;
Stockholm-Marseilles;2102.0;2102.0;0;4.6253204345703125e-05;3.790855407714844e-05;0.1600024700164795;
Rome-Hamburg;1751.0;1751.0;4527.0;4.410743713378906e-05;3.361701965332031e-05;0.0020706653594970703;
Barcelona-Athens;3398.0;3398.0;0;3.7670135498046875e-05;6.079673767089844e-05;0.1901865005493164;
Vienna-Stockholm;2105.0;2105.0;2105.0;4.124641418457031e-05;4.935264587402344e-05;0.0008347034454345703;
Milan-Lisbon;1664.0;1664.0;0;2.1219253540039062e-05;4.673004150390625e-05;0.1078042984008789;
Lisbon-Madrid;2459.0;2459.0;2459.0;2.5033950805664062e-05;3.838539123535156e-05;0.0012536048889160156;
Munich-Calais;1408.0;1408.0;2691.0;2.5272369384765625e-05;4.1961669921875e-05;0.0014185905456542969;
Rome-Geneva;914.0;914.0;0;1.5735626220703125e-05;9.775161743164062e-06;0.18348312377929688;
Hook of Holland-Munich;1373.0;1373.0;0;2.6464462280273438e-05;3.409385681152344e-05;0.12833642959594727;
Rome-Gibraltar;2704.0;2704.0;0;3.1948089599609375e-05;5.53131103515625e-05;0.24317216873168945;
Marseilles-Brussels;1011.0;1011.0;0;3.600120544433594e-05;2.002716064453125e-05;0.15777969360351562;
Hamburg-Rome;2108.0;2108.0;15444.0;3.886222839355469e-05;4.57763671875e-05;0.007104158401489258;
Gibraltar-Rome;2632.0;2632.0;9821.0;3.123283386230469e-05;4.601478576660156e-05;0.004350423812866211;
Lisbon-Calais;2052.0;2052.0;5493.0;2.6941299438476562e-05;3.24249267578125e-05;0.0024302005767822266;
Barcelona-Hook of Holland;1490.0;1490.0;3656.0;5.650520324707031e-05;4.3392181396484375e-05;0.0032317638397216797;
Lisbon-Lyons;1178.0;1178.0;1178.0;1.7881393432617188e-05;8.106231689453125e-06;0.0009276866912841797;
Cologne-Madrid;2192.0;2192.0;9675.0;4.267692565917969e-05;5.173683166503906e-05;0.005257844924926758;
Marseilles-Geneva;425.0;425.0;0;2.0742416381835938e-05;1.1920928955078125e-05;0.13929390907287598;
Barcelona-Hamburg;1804.0;1804.0;5331.0;5.030632019042969e-05;4.38690185546875e-05;0.002506732940673828;
Cherbourg-Brussels;583.0;583.0;0;2.002716064453125e-05;1.0728836059570312e-05;0.16231656074523926;
Hamburg-Cologne;803.0;803.0;0;1.6927719116210938e-05;1.3828277587890625e-05;0.18534159660339355;
Copenhagen-Athens;3299.0;3299.0;0;4.744529724121094e-05;6.0558319091796875e-05;0.19535040855407715;
Geneva-Copenhagen;1616.0;1616.0;0;5.1975250244140625e-05;5.245208740234375e-05;0.1287705898284912;
Geneva-Brussels;1436.0;1436.0;0;3.24249267578125e-05;3.337860107421875e-05;0.17052626609802246;
Cherbourg-Milan;1209.0;1209.0;0;3.314018249511719e-05;3.266334533691406e-05;0.1574876308441162;
Rome-Brussels;1867.0;1867.0;0;4.363059997558594e-05;4.315376281738281e-05;0.16648530960083008;
Stockholm-Gibraltar;3695.0;3695.0;0;6.723403930664062e-05;6.031990051269531e-05;0.2467646598815918;
Cherbourg-Madrid;1347.0;1347.0;1347.0;3.695487976074219e-05;3.504753112792969e-05;0.001392364501953125;
Athens-Milan;2510.0;2510.0;0;1.9550323486328125e-05;1.2874603271484375e-05;0.16771245002746582;
Geneva-Hook of Holland;1608.0;1608.0;5054.0;4.649162292480469e-05;4.935264587402344e-05;0.0036962032318115234;
Marseilles-Calais;1059.0;1059.0;3800.0;1.8596649169921875e-05;2.6702880859375e-05;0.002071380615234375;
Cologne-Munich;1265.0;1265.0;5616.0;2.3126602172851562e-05;3.4809112548828125e-05;0.002767324447631836;
Paris-Barcelona;1963.0;1963.0;3958.0;4.744529724121094e-05;4.553794860839844e-05;0.003633737564086914;
Hamburg-Copenhagen;1038.0;1038.0;0;2.2172927856445312e-05;2.0265579223632812e-05;0.12620973587036133;
Lisbon-Hamburg;2337.0;2337.0;4657.0;4.9591064453125e-05;3.6716461181640625e-05;0.002077341079711914;
