Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Rome-Milan;586.0;586.0;0;1.1920928955078125e-05;5.9604644775390625e-06;0.550976037979126;
Vienna-Munich;428.0;428.0;0;1.0013580322265625e-05;5.4836273193359375e-06;0.34406256675720215;
Geneva-Copenhagen;1616.0;1616.0;0;4.839897155761719e-05;5.364418029785156e-05;0.20917606353759766;
Lisbon-Vienna;2861.0;2861.0;0;4.1484832763671875e-05;4.8160552978515625e-05;0.6030128002166748;
Munich-Geneva;659.0;659.0;659.0;1.71661376953125e-05;1.0251998901367188e-05;0.001710653305053711;
Milan-Cherbourg;1181.0;1181.0;1181.0;3.0040740966796875e-05;2.8848648071289062e-05;0.0020558834075927734;
Copenhagen-Athens;3299.0;3299.0;3299.0;4.7206878662109375e-05;6.270408630371094e-05;0.0016586780548095703;
Brussels-Marseilles;1010.0;1010.0;0;4.38690185546875e-05;3.075599670410156e-05;0.23116755485534668;
Marseilles-Vienna;1363.0;1363.0;0;1.9073486328125e-05;3.886222839355469e-05;0.5730757713317871;
Geneva-Milan;1581.0;1581.0;0;3.6716461181640625e-05;4.887580871582031e-05;0.5973141193389893;
Barcelona-Athens;3398.0;3398.0;3830.0;3.528594970703125e-05;6.151199340820312e-05;0.002276897430419922;
Paris-Athens;3487.0;3487.0;3854.0;4.4345855712890625e-05;5.984306335449219e-05;0.0021469593048095703;
Cologne-Geneva;1239.0;1239.0;0;3.886222839355469e-05;3.1948089599609375e-05;0.6150145530700684;
Calais-Hamburg;870.0;870.0;1575.0;2.5987625122070312e-05;2.47955322265625e-05;0.0016942024230957031;
Hamburg-Cherbourg;1115.0;1115.0;2757.0;2.1219253540039062e-05;2.2649765014648438e-05;0.003617525100708008;
Munich-Stockholm;2356.0;2356.0;2356.0;2.86102294921875e-05;5.269050598144531e-05;0.002578258514404297;
Marseilles-Lisbon;1498.0;1498.0;3481.0;1.621246337890625e-05;4.982948303222656e-05;0.0033576488494873047;
Paris-Hamburg;877.0;877.0;877.0;1.9073486328125e-05;1.5735626220703125e-05;0.0007135868072509766;
Lisbon-Stockholm;3286.0;3286.0;0;3.528594970703125e-05;5.6743621826171875e-05;0.5797638893127441;
Rome-Brussels;1867.0;1867.0;0;4.172325134277344e-05;4.553794860839844e-05;0.1647496223449707;
Barcelona-Milan;2046.0;2046.0;0;4.506111145019531e-05;5.030632019042969e-05;0.5560474395751953;
Geneva-Paris;1193.0;1193.0;0;3.1948089599609375e-05;2.6941299438476562e-05;0.514385461807251;
Cologne-Hook of Holland;269.0;269.0;922.0;1.4781951904296875e-05;6.67572021484375e-06;0.001523733139038086;
Hook of Holland-Vienna;1884.0;1884.0;0;2.4080276489257812e-05;4.291534423828125e-05;0.49260783195495605;
Milan-Stockholm;2314.0;2314.0;0;2.9087066650390625e-05;5.793571472167969e-05;0.4885425567626953;
Marseilles-Stockholm;2428.0;2428.0;0;3.337860107421875e-05;5.507469177246094e-05;0.49152135848999023;
