Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Munich-Marseilles;949.0;949.0;1044.0;2.4318695068359375e-05;2.4318695068359375e-05;0.0016217231750488281;
Munich-Cologne;953.0;953.0;953.0;3.0040740966796875e-05;2.765655517578125e-05;0.0012853145599365234;
Rome-Brussels;1867.0;1867.0;2554.0;4.3392181396484375e-05;9.107589721679688e-05;0.001996278762817383;
Athens-Cologne;3132.0;3132.0;3132.0;4.601478576660156e-05;3.719329833984375e-05;0.0018138885498046875;
Munich-Stockholm;2356.0;2356.0;0;2.956390380859375e-05;5.4836273193359375e-05;0.5961952209472656;
Milan-Athens;2282.0;2282.0;2282.0;2.193450927734375e-05;5.650520324707031e-05;0.0007424354553222656;
Hook of Holland-Munich;1373.0;1373.0;2292.0;2.574920654296875e-05;3.147125244140625e-05;0.001338958740234375;
Vienna-Hook of Holland;1205.0;1205.0;3283.0;4.172325134277344e-05;2.3365020751953125e-05;0.0018973350524902344;
Athens-Lyons;2903.0;2903.0;0;2.7418136596679688e-05;1.7642974853515625e-05;0.13210010528564453;
Brussels-Calais;2069.0;2069.0;2414.0;4.363059997558594e-05;5.435943603515625e-05;0.002525806427001953;
Cherbourg-Brussels;583.0;583.0;583.0;1.8358230590820312e-05;1.0967254638671875e-05;0.0008356571197509766;
Cologne-Gibraltar;2436.0;2436.0;3045.0;4.363059997558594e-05;5.7220458984375e-05;0.0024924278259277344;
Geneva-Marseilles;478.0;478.0;478.0;1.621246337890625e-05;8.821487426757812e-06;0.0013194084167480469;
Barcelona-Munich;2074.0;2074.0;3782.0;3.719329833984375e-05;8.96453857421875e-05;0.001840353012084961;
Rome-Cherbourg;1767.0;1767.0;2497.0;2.7894973754882812e-05;4.3392181396484375e-05;0.0017893314361572266;
Marseilles-Lisbon;1498.0;1498.0;3299.0;1.811981201171875e-05;5.340576171875e-05;0.0019102096557617188;
Marseilles-Munich;1109.0;1109.0;1109.0;3.4809112548828125e-05;2.8133392333984375e-05;0.0007085800170898438;
Cherbourg-Stockholm;2167.0;2167.0;0;2.384185791015625e-05;5.5789947509765625e-05;0.6275155544281006;
Vienna-Lyons;1152.0;1152.0;0;3.6716461181640625e-05;1.7642974853515625e-05;0.15854811668395996;
Brussels-Milan;1117.0;1117.0;0;3.314018249511719e-05;3.3855438232421875e-05;0.5035483837127686;
Munich-Athens;2613.0;2613.0;4763.0;2.0742416381835938e-05;5.936622619628906e-05;0.0025751590728759766;
Milan-Vienna;1347.0;1347.0;3064.0;1.4781951904296875e-05;3.8623809814453125e-05;0.003489255905151367;
Lisbon-Barcelona;1823.0;1823.0;4480.0;2.3603439331054688e-05;1.7642974853515625e-05;0.0024657249450683594;
Hook of Holland-Athens;3030.0;3030.0;3030.0;4.4345855712890625e-05;6.008148193359375e-05;0.0006544589996337891;
Gibraltar-Calais;2224.0;2224.0;2914.0;3.0994415283203125e-05;2.6226043701171875e-05;0.0019419193267822266;
Geneva-Madrid;1439.0;1439.0;1439.0;2.193450927734375e-05;3.600120544433594e-05;0.0013928413391113281;
Athens-Calais;3372.0;3372.0;3587.0;2.6702880859375e-05;4.601478576660156e-05;0.0019295215606689453;
Vienna-Calais;1381.0;1381.0;1836.0;2.288818359375e-05;3.075599670410156e-05;0.0027365684509277344;
Madrid-Athens;4006.0;4006.0;4034.0;3.552436828613281e-05;6.103515625e-05;0.0028853416442871094;
Milan-Calais;1077.0;1077.0;1077.0;2.193450927734375e-05;2.09808349609375e-05;0.0007343292236328125;
Lisbon-Brussels;2256.0;2256.0;3273.0;3.6716461181640625e-05;2.956390380859375e-05;0.0025637149810791016;
Vienna-Brussels;1175.0;1175.0;1175.0;3.266334533691406e-05;2.1696090698242188e-05;0.0014183521270751953;
Lisbon-Lyons;1178.0;1178.0;3619.0;1.239776611328125e-05;5.7220458984375e-06;0.0027923583984375;
Calais-Lisbon;2072.0;2072.0;3711.0;4.1484832763671875e-05;5.555152893066406e-05;0.002508401870727539;
Barcelona-Cologne;1498.0;1498.0;2412.0;3.0517578125e-05;3.695487976074219e-05;0.0019047260284423828;
Paris-Athens;3487.0;3487.0;6445.0;4.458427429199219e-05;5.984306335449219e-05;0.0033333301544189453;
Milan-Brussels;1281.0;1281.0;1968.0;3.647804260253906e-05;3.4809112548828125e-05;0.0018732547760009766;
Barcelona-Geneva;1390.0;1390.0;1390.0;2.3126602172851562e-05;2.956390380859375e-05;0.002035379409790039;
Vienna-Gibraltar;2965.0;2965.0;2965.0;3.9577484130859375e-05;5.936622619628906e-05;0.0018930435180664062;
Cherbourg-Cologne;785.0;785.0;3999.0;2.0265579223632812e-05;1.5974044799804688e-05;0.0034694671630859375;
Madrid-Lyons;1281.0;1281.0;0;2.574920654296875e-05;1.8835067749023438e-05;0.15838885307312012;
Copenhagen-Gibraltar;3045.0;3045.0;3045.0;4.4345855712890625e-05;5.602836608886719e-05;0.0029900074005126953;
Milan-Madrid;1724.0;1724.0;1767.0;2.5033950805664062e-05;4.792213439941406e-05;0.0023839473724365234;
Cologne-Stockholm;1403.0;1403.0;0;1.5497207641601562e-05;3.8623809814453125e-05;0.6317501068115234;
Marseilles-Hamburg;1479.0;1479.0;1479.0;3.6716461181640625e-05;4.649162292480469e-05;0.0013091564178466797;
Copenhagen-Brussels;966.0;966.0;966.0;2.5510787963867188e-05;1.9073486328125e-05;0.0006766319274902344;
Geneva-Milan;1581.0;1581.0;0;3.5762786865234375e-05;4.6253204345703125e-05;0.4939916133880615;
Munich-Calais;1408.0;1408.0;1408.0;2.193450927734375e-05;3.981590270996094e-05;0.001247406005859375;
Athens-Vienna;1991.0;1991.0;4586.0;9.775161743164062e-06;4.5299530029296875e-06;0.0030841827392578125;
Hamburg-Stockholm;2206.0;2206.0;0;2.1457672119140625e-05;4.7206878662109375e-05;0.5495574474334717;
Barcelona-Lisbon;1305.0;1305.0;1305.0;1.621246337890625e-05;2.4080276489257812e-05;0.0009319782257080078;
Lisbon-Vienna;2861.0;2861.0;2861.0;4.100799560546875e-05;4.696846008300781e-05;0.0023343563079833984;
Stockholm-Rome;2602.0;2602.0;2602.0;4.6253204345703125e-05;4.696846008300781e-05;0.0019648075103759766;
Gibraltar-Cherbourg;2466.0;2466.0;3415.0;3.7670135498046875e-05;3.814697265625e-05;0.003140687942504883;
Cologne-Madrid;2192.0;2192.0;2678.0;4.410743713378906e-05;5.1975250244140625e-05;0.002578258514404297;
Gibraltar-Lyons;1817.0;1817.0;0;2.9087066650390625e-05;1.5974044799804688e-05;0.13157439231872559;
Calais-Brussels;204.0;204.0;204.0;1.0013580322265625e-05;4.76837158203125e-06;0.0008661746978759766;
Lyons-Athens;2753.0;2753.0;2753.0;3.337860107421875e-05;5.984306335449219e-05;0.000982046127319336;
Hamburg-Copenhagen;1038.0;1038.0;1909.0;2.2411346435546875e-05;2.0265579223632812e-05;0.0019299983978271484;
Munich-Geneva;659.0;659.0;659.0;1.4066696166992188e-05;1.0251998901367188e-05;0.0014562606811523438;
