Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Munich-Brussels;747.0;747.0;0;3.528594970703125e-05;1.811981201171875e-05;0.0956430435180664;
Paris-Cologne;465.0;465.0;0;2.193450927734375e-05;1.0728836059570312e-05;0.09491395950317383;
Cherbourg-Marseilles;1101.0;1101.0;6423.0;4.029273986816406e-05;2.9802322387695312e-05;0.003069639205932617;
Paris-Munich;1682.0;1682.0;0;9.632110595703125e-05;6.0558319091796875e-05;0.09241628646850586;
Gibraltar-Milan;2422.0;2422.0;0;6.365776062011719e-05;3.814697265625e-05;0.09290409088134766;
Vienna-Athens;1991.0;1991.0;0;2.09808349609375e-05;5.435943603515625e-05;0.10288405418395996;
Madrid-Brussels;1558.0;1558.0;0;4.506111145019531e-05;2.6702880859375e-05;0.0944511890411377;
Milan-Geneva;328.0;328.0;0;1.2636184692382812e-05;6.9141387939453125e-06;0.09494376182556152;
Cologne-Munich;1265.0;1265.0;0;2.5510787963867188e-05;4.00543212890625e-05;0.09734845161437988;
Cologne-Vienna;1615.0;1615.0;5227.0;2.2649765014648438e-05;5.125999450683594e-05;0.0019054412841796875;
Gibraltar-Munich;2565.0;2565.0;0;4.172325134277344e-05;5.054473876953125e-05;0.10032129287719727;
Lyons-Barcelona;645.0;645.0;0;2.4318695068359375e-05;1.430511474609375e-05;0.10020637512207031;
Lisbon-Hamburg;2337.0;2337.0;10248.0;5.626678466796875e-05;4.1961669921875e-05;0.003199338912963867;
Hook of Holland-Madrid;2078.0;2078.0;0;4.1961669921875e-05;8.58306884765625e-05;0.10043072700500488;
Milan-Munich;1727.0;1727.0;0;4.4345855712890625e-05;5.8650970458984375e-05;0.09620928764343262;
Marseilles-Lisbon;1498.0;1498.0;0;2.002716064453125e-05;5.745887756347656e-05;0.10555577278137207;
Madrid-Calais;1962.0;1962.0;0;4.100799560546875e-05;4.863739013671875e-05;0.09705376625061035;
Cologne-Geneva;1239.0;1239.0;0;4.5299530029296875e-05;3.743171691894531e-05;0.10146236419677734;
Milan-Cologne;911.0;911.0;0;3.504753112792969e-05;1.9073486328125e-05;0.10619068145751953;
Barcelona-Cherbourg;1294.0;1294.0;0;4.3392181396484375e-05;2.47955322265625e-05;0.09480857849121094;
Vienna-Copenhagen;1474.0;1474.0;2615.0;5.125999450683594e-05;4.076957702636719e-05;0.0014574527740478516;
Geneva-Lisbon;1336.0;1336.0;0;1.621246337890625e-05;3.600120544433594e-05;0.09123086929321289;
Hook of Holland-Lyons;1503.0;1503.0;0;5.078315734863281e-05;4.220008850097656e-05;0.09024930000305176;
Madrid-Hamburg;2198.0;2198.0;2198.0;4.553794860839844e-05;5.698204040527344e-05;0.001008749008178711;
Stockholm-Munich;1754.0;1754.0;0;3.170967102050781e-05;3.314018249511719e-05;0.09264707565307617;
Marseilles-Athens;2865.0;2865.0;0;3.5762786865234375e-05;6.604194641113281e-05;0.08979439735412598;
Athens-Marseilles;3128.0;3128.0;7255.0;3.266334533691406e-05;3.5762786865234375e-05;0.002561807632446289;
Hook of Holland-Copenhagen;269.0;269.0;0;1.4781951904296875e-05;6.67572021484375e-06;0.09214925765991211;
Marseilles-Brussels;1011.0;1011.0;0;3.8623809814453125e-05;2.2411346435546875e-05;0.09625053405761719;
Athens-Rome;3833.0;3833.0;0;2.47955322265625e-05;5.340576171875e-05;0.09361910820007324;
Brussels-Cologne;206.0;206.0;0;1.9550323486328125e-05;1.1682510375976562e-05;0.10041165351867676;
Stockholm-Milan;2017.0;2017.0;0;4.3392181396484375e-05;3.981590270996094e-05;0.10125565528869629;
