Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Cologne-Vienna;1615.0;1615.0;3826.0;3.314018249511719e-05;4.673004150390625e-05;0.003760814666748047;
Copenhagen-Vienna;1615.0;1615.0;5386.0;2.1696090698242188e-05;3.647804260253906e-05;0.005528450012207031;
Cologne-Barcelona;1498.0;1498.0;1498.0;4.1484832763671875e-05;4.410743713378906e-05;0.0010044574737548828;
Hook of Holland-Munich;1373.0;1373.0;4344.0;2.7179718017578125e-05;3.337860107421875e-05;0.003479480743408203;
Lisbon-Milan;2938.0;2938.0;2938.0;8.535385131835938e-05;5.8650970458984375e-05;0.0030112266540527344;
Milan-Brussels;1281.0;1281.0;1968.0;6.341934204101562e-05;5.125999450683594e-05;0.002717733383178711;
Calais-Geneva;1405.0;1405.0;1870.0;5.817413330078125e-05;4.4345855712890625e-05;0.00356292724609375;
Madrid-Cologne;1764.0;1764.0;2636.0;4.458427429199219e-05;3.62396240234375e-05;0.0038030147552490234;
Hook of Holland-Cologne;922.0;922.0;0;2.9802322387695312e-05;2.0742416381835938e-05;0.3938610553741455;
Hamburg-Lyons;1159.0;1159.0;1287.0;4.100799560546875e-05;3.266334533691406e-05;0.0019464492797851562;
Munich-Milan;331.0;331.0;331.0;1.3113021850585938e-05;6.4373016357421875e-06;0.001013040542602539;
Paris-Rome;2140.0;2140.0;2140.0;5.1021575927734375e-05;5.173683166503906e-05;0.0014128684997558594;
Cologne-Athens;3193.0;3193.0;5402.0;4.2438507080078125e-05;6.0558319091796875e-05;0.0032930374145507812;
Geneva-Lyons;158.0;158.0;0;1.239776611328125e-05;4.5299530029296875e-06;0.3239119052886963;
Gibraltar-Barcelona;1172.0;1172.0;3930.0;1.621246337890625e-05;1.0728836059570312e-05;0.0013234615325927734;
Stockholm-Brussels;1616.0;1616.0;1616.0;2.9325485229492188e-05;2.4318695068359375e-05;0.0014081001281738281;
Geneva-Gibraltar;1975.0;1975.0;1975.0;2.7179718017578125e-05;5.5789947509765625e-05;0.0012874603271484375;
Geneva-Barcelona;803.0;803.0;803.0;2.288818359375e-05;1.3589859008789062e-05;0.001298666000366211;
Stockholm-Lyons;2269.0;2269.0;0;4.792213439941406e-05;4.57763671875e-05;0.41181087493896484;
Lyons-Athens;2753.0;2753.0;2753.0;3.6716461181640625e-05;6.318092346191406e-05;0.0010724067687988281;
Madrid-Gibraltar;698.0;698.0;698.0;1.8596649169921875e-05;1.0967254638671875e-05;0.001055002212524414;
Paris-Gibraltar;2901.0;2901.0;3233.0;4.3392181396484375e-05;5.817413330078125e-05;0.0027074813842773438;
Athens-Copenhagen;3283.0;3283.0;4361.0;4.458427429199219e-05;3.790855407714844e-05;0.002165079116821289;
Calais-Madrid;1807.0;1807.0;2602.0;3.695487976074219e-05;5.1975250244140625e-05;0.0036079883575439453;
Athens-Paris;3000.0;3000.0;3555.0;4.38690185546875e-05;2.7418136596679688e-05;0.004222869873046875;
