Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Gibraltar-Brussels;2256.0;2256.0;2256.0;5.5789947509765625e-05;3.0040740966796875e-05;0.0014259815216064453;
Paris-Vienna;2032.0;2032.0;0;3.0517578125e-05;5.1021575927734375e-05;0.1732652187347412;
Paris-Stockholm;1827.0;1827.0;0;1.9311904907226562e-05;4.3392181396484375e-05;0.3670830726623535;
Lisbon-Brussels;2256.0;2256.0;0;3.695487976074219e-05;3.0279159545898438e-05;0.5611114501953125;
Vienna-Cherbourg;1588.0;1588.0;1588.0;2.8371810913085938e-05;3.981590270996094e-05;0.0018117427825927734;
Copenhagen-Marseilles;1452.0;1452.0;1452.0;4.6253204345703125e-05;3.361701965332031e-05;0.0019016265869140625;
Marseilles-Hook of Holland;1183.0;1183.0;0;3.647804260253906e-05;3.4332275390625e-05;0.1988072395324707;
Barcelona-Marseilles;965.0;965.0;0;1.8835067749023438e-05;1.0967254638671875e-05;0.15743064880371094;
Paris-Geneva;1704.0;1704.0;1883.0;4.6253204345703125e-05;3.6716461181640625e-05;0.0022978782653808594;
Marseilles-Gibraltar;1693.0;1693.0;3501.0;2.9087066650390625e-05;5.435943603515625e-05;0.00232696533203125;
Copenhagen-Geneva;1695.0;1695.0;1695.0;4.673004150390625e-05;4.124641418457031e-05;0.0025904178619384766;
Marseilles-Cologne;1035.0;1035.0;0;2.7894973754882812e-05;2.2649765014648438e-05;0.16449642181396484;
Hook of Holland-Marseilles;1183.0;1183.0;1183.0;4.553794860839844e-05;2.7894973754882812e-05;0.0009214878082275391;
Rome-Cologne;1497.0;1497.0;0;4.696846008300781e-05;2.3365020751953125e-05;0.1946430206298828;
Lyons-Munich;1429.0;1429.0;1429.0;3.600120544433594e-05;3.719329833984375e-05;0.0013921260833740234;
Cologne-Paris;465.0;465.0;465.0;2.3126602172851562e-05;1.4066696166992188e-05;0.0008766651153564453;
Munich-Barcelona;1365.0;1365.0;1914.0;2.5987625122070312e-05;3.814697265625e-05;0.003873109817504883;
Marseilles-Athens;2865.0;2865.0;3073.0;3.266334533691406e-05;5.984306335449219e-05;0.0018901824951171875;
Stockholm-Hamburg;1110.0;1110.0;1110.0;2.5987625122070312e-05;1.430511474609375e-05;0.0018811225891113281;
Brussels-Lisbon;1868.0;1868.0;2428.0;4.100799560546875e-05;5.245208740234375e-05;0.0029358863830566406;
Hook of Holland-Milan;1098.0;1098.0;0;3.647804260253906e-05;2.3365020751953125e-05;0.5471591949462891;
Brussels-Athens;3202.0;3202.0;6964.0;4.38690185546875e-05;6.246566772460938e-05;0.004431009292602539;
Hamburg-Lisbon;2337.0;2337.0;3485.0;4.696846008300781e-05;5.245208740234375e-05;0.002741098403930664;
Cherbourg-Calais;2160.0;2160.0;0;3.814697265625e-05;5.269050598144531e-05;0.3896472454071045;
Brussels-Geneva;1435.0;1435.0;1598.0;4.267692565917969e-05;4.00543212890625e-05;0.002777576446533203;
Vienna-Lyons;1152.0;1152.0;1152.0;2.6702880859375e-05;1.5497207641601562e-05;0.0020880699157714844;
Brussels-Paris;629.0;629.0;629.0;2.5987625122070312e-05;1.71661376953125e-05;0.001331329345703125;
Gibraltar-Hamburg;2896.0;2896.0;3292.0;4.7206878662109375e-05;5.1021575927734375e-05;0.0018448829650878906;
Hamburg-Barcelona;1804.0;1804.0;2301.0;4.863739013671875e-05;4.2438507080078125e-05;0.0018312931060791016;
Marseilles-Copenhagen;1452.0;1452.0;1452.0;3.886222839355469e-05;4.6253204345703125e-05;0.0017960071563720703;
Athens-Stockholm;4096.0;4096.0;0;7.796287536621094e-05;5.602836608886719e-05;0.5319147109985352;
Gibraltar-Paris;2205.0;2205.0;3941.0;4.482269287109375e-05;2.4080276489257812e-05;0.003956317901611328;
Cologne-Cherbourg;1000.0;1000.0;6532.0;2.3365020751953125e-05;2.3126602172851562e-05;0.0031011104583740234;
Vienna-Milan;759.0;759.0;759.0;1.6689300537109375e-05;1.0967254638671875e-05;0.0013091564178466797;
Geneva-Cologne;1513.0;1513.0;0;3.9577484130859375e-05;4.172325134277344e-05;0.18064665794372559;
Vienna-Brussels;1175.0;1175.0;1175.0;3.361701965332031e-05;2.1696090698242188e-05;0.0016713142395019531;
Calais-Geneva;1405.0;1405.0;1802.0;4.982948303222656e-05;4.0531158447265625e-05;0.0035839080810546875;
Milan-Hamburg;1238.0;1238.0;1645.0;4.482269287109375e-05;3.266334533691406e-05;0.0029447078704833984;
Munich-Athens;2613.0;2613.0;2613.0;2.6941299438476562e-05;6.175041198730469e-05;0.0018982887268066406;
Barcelona-Milan;2046.0;2046.0;0;4.9114227294921875e-05;5.054473876953125e-05;0.5384128093719482;
Gibraltar-Madrid;698.0;698.0;10754.0;1.2636184692382812e-05;6.198883056640625e-06;0.007390022277832031;
Hook of Holland-Geneva;1426.0;1426.0;1426.0;4.3392181396484375e-05;3.504753112792969e-05;0.0014085769653320312;
Madrid-Marseilles;1157.0;1157.0;1157.0;2.8371810913085938e-05;1.4543533325195312e-05;0.0006935596466064453;
Madrid-Hook of Holland;1730.0;1730.0;0;4.315376281738281e-05;3.123283386230469e-05;0.1874234676361084;
Vienna-Athens;1991.0;1991.0;3041.0;1.621246337890625e-05;4.506111145019531e-05;0.0027272701263427734;
Cherbourg-Cologne;785.0;785.0;0;1.8835067749023438e-05;1.621246337890625e-05;0.17445755004882812;
