Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Gibraltar-Barcelona;1172.0;1172.0;1172.0;1.9073486328125e-05;1.1920928955078125e-05;0.0008237361907958984;
Cologne-Munich;1265.0;1265.0;0;2.288818359375e-05;3.719329833984375e-05;0.5238244533538818;
Calais-Barcelona;1522.0;1522.0;1908.0;5.125999450683594e-05;4.38690185546875e-05;0.0021817684173583984;
Lisbon-Stockholm;3286.0;3286.0;3286.0;3.9577484130859375e-05;6.103515625e-05;0.0013430118560791016;
Barcelona-Gibraltar;1172.0;1172.0;7217.0;2.6464462280273438e-05;1.9073486328125e-05;0.005574464797973633;
Paris-Gibraltar;2901.0;2901.0;4116.0;4.696846008300781e-05;6.079673767089844e-05;0.0038259029388427734;
Lisbon-Marseilles;1498.0;1498.0;1498.0;1.9550323486328125e-05;1.1444091796875e-05;0.0018582344055175781;
Gibraltar-Paris;2205.0;2205.0;3024.0;0.0001728534698486328;4.839897155761719e-05;0.0020513534545898438;
Hook of Holland-Rome;1683.0;1683.0;1683.0;0.00028252601623535156;6.270408630371094e-05;0.000743865966796875;
Madrid-Cherbourg;1930.0;1930.0;2879.0;5.245208740234375e-05;0.0002040863037109375;0.0030460357666015625;
Munich-Hook of Holland;919.0;919.0;0;5.602836608886719e-05;2.5987625122070312e-05;0.2124795913696289;
Gibraltar-Hamburg;2896.0;2896.0;5090.0;5.626678466796875e-05;5.555152893066406e-05;0.0021288394927978516;
Gibraltar-Marseilles;1855.0;1855.0;3611.0;3.0517578125e-05;1.8596649169921875e-05;0.0016121864318847656;
Hook of Holland-Cherbourg;731.0;731.0;1844.0;2.2649765014648438e-05;1.6450881958007812e-05;0.0022454261779785156;
Stockholm-Rome;2602.0;2602.0;2602.0;4.863739013671875e-05;4.9114227294921875e-05;0.002221345901489258;
Geneva-Hook of Holland;1608.0;1608.0;0;4.673004150390625e-05;6.0558319091796875e-05;0.20208525657653809;
Geneva-Gibraltar;1975.0;1975.0;0;2.7418136596679688e-05;5.4836273193359375e-05;0.16141605377197266;
Cherbourg-Athens;3491.0;3491.0;5353.0;4.029273986816406e-05;6.437301635742188e-05;0.001926422119140625;
Cherbourg-Hook of Holland;755.0;755.0;0;2.0503997802734375e-05;1.3113021850585938e-05;0.20020222663879395;
Stockholm-Madrid;2997.0;2997.0;3866.0;5.221366882324219e-05;5.4836273193359375e-05;0.0034122467041015625;
