Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Cologne-Copenhagen;538.0;538.0;0;2.002716064453125e-05;1.8835067749023438e-05;0.16718769073486328;
Brussels-Lyons;690.0;690.0;0;4.410743713378906e-05;2.5987625122070312e-05;0.1704556941986084;
Cherbourg-Stockholm;2167.0;2167.0;0;2.5510787963867188e-05;6.29425048828125e-05;0.18589067459106445;
Munich-Marseilles;949.0;949.0;0;2.765655517578125e-05;2.7894973754882812e-05;0.16090774536132812;
Rome-Milan;586.0;586.0;0;1.33514404296875e-05;6.67572021484375e-06;0.1670975685119629;
Barcelona-Hook of Holland;1490.0;1490.0;0;4.38690185546875e-05;3.7670135498046875e-05;0.17671990394592285;
Marseilles-Lyons;320.0;320.0;0;1.6689300537109375e-05;8.344650268554688e-06;0.17499399185180664;
Athens-Milan;2510.0;2510.0;0;1.9550323486328125e-05;1.4066696166992188e-05;0.17798829078674316;
Cologne-Rome;1952.0;1952.0;0;4.267692565917969e-05;5.316734313964844e-05;0.17216157913208008;
Athens-Vienna;1991.0;1991.0;0;1.1920928955078125e-05;5.4836273193359375e-06;0.1826770305633545;
Brussels-Munich;1471.0;1471.0;0;3.2901763916015625e-05;4.649162292480469e-05;0.16581940650939941;
Barcelona-Madrid;1870.0;1870.0;0;2.6702880859375e-05;5.1975250244140625e-05;0.17405033111572266;
Lyons-Stockholm;2108.0;2108.0;0;3.910064697265625e-05;6.318092346191406e-05;0.16176223754882812;
Munich-Milan;331.0;331.0;0;1.4066696166992188e-05;6.9141387939453125e-06;0.17835378646850586;
Lyons-Calais;1379.0;1379.0;7392.0;1.8596649169921875e-05;3.719329833984375e-05;0.003209829330444336;
Stockholm-Madrid;2997.0;2997.0;0;5.507469177246094e-05;5.91278076171875e-05;0.16771221160888672;
Paris-Rome;2140.0;2140.0;0;4.935264587402344e-05;5.6743621826171875e-05;0.1631300449371338;
Barcelona-Rome;1460.0;1460.0;0;3.0517578125e-05;3.4332275390625e-05;0.16891193389892578;
Lyons-Brussels;1331.0;1331.0;7596.0;4.124641418457031e-05;3.075599670410156e-05;0.003001689910888672;
Vienna-Lisbon;2330.0;2330.0;0;2.9087066650390625e-05;5.91278076171875e-05;0.16767001152038574;
Brussels-Milan;1117.0;1117.0;0;3.600120544433594e-05;3.695487976074219e-05;0.17192649841308594;
Munich-Cologne;953.0;953.0;0;3.361701965332031e-05;3.075599670410156e-05;0.16975641250610352;
Milan-Vienna;1347.0;1347.0;0;2.8371810913085938e-05;4.410743713378906e-05;0.1753995418548584;
Brussels-Hook of Holland;172.0;172.0;0;1.5020370483398438e-05;6.9141387939453125e-06;0.17381501197814941;
Milan-Geneva;328.0;328.0;0;1.049041748046875e-05;6.67572021484375e-06;0.1600797176361084;
Vienna-Madrid;2433.0;2433.0;0;3.3855438232421875e-05;6.198883056640625e-05;0.1753525733947754;
Barcelona-Calais;1326.0;1326.0;1326.0;2.3603439331054688e-05;2.9802322387695312e-05;0.0007774829864501953;
Milan-Madrid;1724.0;1724.0;0;2.6226043701171875e-05;5.3882598876953125e-05;0.1646735668182373;
Hamburg-Hook of Holland;769.0;769.0;0;1.9550323486328125e-05;1.2159347534179688e-05;0.175980806350708;
Milan-Calais;1077.0;1077.0;6921.0;2.47955322265625e-05;2.288818359375e-05;0.0021817684173583984;
Copenhagen-Madrid;2347.0;2347.0;0;4.792213439941406e-05;7.534027099609375e-05;0.1600334644317627;
Rome-Hook of Holland;1766.0;1766.0;0;0.00011515617370605469;5.5789947509765625e-05;0.1798257827758789;
Lyons-Cologne;1355.0;1355.0;0;4.410743713378906e-05;3.5762786865234375e-05;0.1781327724456787;
Marseilles-Paris;792.0;792.0;0;3.218650817871094e-05;1.6689300537109375e-05;0.17688751220703125;
Marseilles-Copenhagen;1452.0;1452.0;0;4.363059997558594e-05;5.245208740234375e-05;0.15618205070495605;
Cologne-Lyons;1355.0;1355.0;0;4.57763671875e-05;4.1484832763671875e-05;0.16332030296325684;
Gibraltar-Barcelona;1172.0;1172.0;1172.0;1.9550323486328125e-05;1.239776611328125e-05;0.0007910728454589844;
Lisbon-Brussels;2256.0;2256.0;9375.0;0.00022268295288085938;4.506111145019531e-05;0.002560853958129883;
Cologne-Hamburg;460.0;460.0;0;2.5987625122070312e-05;1.3113021850585938e-05;0.17245769500732422;
Geneva-Calais;1537.0;1537.0;4080.0;2.3365020751953125e-05;5.14984130859375e-05;0.003075122833251953;
Marseilles-Brussels;1011.0;1011.0;7708.0;4.029273986816406e-05;2.1696090698242188e-05;0.002527475357055664;
Madrid-Munich;2266.0;2266.0;0;4.363059997558594e-05;5.8650970458984375e-05;0.17877650260925293;
Hamburg-Brussels;597.0;597.0;7820.0;1.4066696166992188e-05;6.9141387939453125e-06;0.0033299922943115234;
Calais-Hook of Holland;376.0;376.0;0;1.7642974853515625e-05;9.274482727050781e-05;0.17519283294677734;
Stockholm-Lyons;2269.0;2269.0;0;5.888938903808594e-05;4.839897155761719e-05;0.1651296615600586;
Copenhagen-Calais;2444.0;2444.0;3610.0;0.00024271011352539062;6.270408630371094e-05;0.0020225048065185547;
Gibraltar-Marseilles;1855.0;1855.0;0;3.337860107421875e-05;2.0742416381835938e-05;0.16361451148986816;
Hook of Holland-Calais;2175.0;2175.0;7669.0;5.245208740234375e-05;5.5789947509765625e-05;0.0021207332611083984;
Lisbon-Athens;3931.0;3931.0;4532.0;3.981590270996094e-05;6.67572021484375e-05;0.0007152557373046875;
