Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Milan-Hook of Holland;1180.0;1180.0;1936.0;3.1948089599609375e-05;2.5272369384765625e-05;0.0029985904693603516;
Geneva-Rome;995.0;995.0;0;1.33514404296875e-05;1.9788742065429688e-05;0.6517853736877441;
Vienna-Calais;1381.0;1381.0;6630.0;2.3126602172851562e-05;2.9087066650390625e-05;0.0023751258850097656;
Barcelona-Copenhagen;1759.0;1759.0;1971.0;4.482269287109375e-05;3.9577484130859375e-05;0.003956794738769531;
Brussels-Cherbourg;903.0;903.0;903.0;2.193450927734375e-05;2.5272369384765625e-05;0.0019774436950683594;
Munich-Copenhagen;1104.0;1104.0;1104.0;3.1948089599609375e-05;2.956390380859375e-05;0.0010421276092529297;
Hamburg-Gibraltar;2897.0;2897.0;0;4.38690185546875e-05;5.53131103515625e-05;0.6694741249084473;
Calais-Lisbon;2072.0;2072.0;0;8.606910705566406e-05;5.435943603515625e-05;0.666318416595459;
Madrid-Cherbourg;1930.0;1930.0;3069.0;4.124641418457031e-05;3.790855407714844e-05;0.004761219024658203;
Hook of Holland-Brussels;1235.0;1235.0;2194.0;2.765655517578125e-05;3.123283386230469e-05;0.001935720443725586;
Paris-Cherbourg;1188.0;1188.0;1465.0;2.2172927856445312e-05;2.0742416381835938e-05;0.002454042434692383;
Marseilles-Geneva;425.0;425.0;425.0;2.09808349609375e-05;1.2159347534179688e-05;0.0008680820465087891;
Cologne-Athens;3193.0;3193.0;3193.0;4.315376281738281e-05;6.0558319091796875e-05;0.0017390251159667969;
Brussels-Lisbon;1868.0;1868.0;0;4.1484832763671875e-05;5.1975250244140625e-05;0.6582052707672119;
Paris-Cologne;465.0;465.0;465.0;1.9550323486328125e-05;9.059906005859375e-06;0.0008213520050048828;
Munich-Vienna;1678.0;1678.0;2407.0;1.811981201171875e-05;4.744529724121094e-05;0.0023975372314453125;
Gibraltar-Hamburg;2896.0;2896.0;4551.0;4.863739013671875e-05;5.1975250244140625e-05;0.0033218860626220703;
Cherbourg-Marseilles;1101.0;1101.0;1593.0;3.743171691894531e-05;2.5987625122070312e-05;0.0026807785034179688;
Cologne-Vienna;1615.0;1615.0;0;2.002716064453125e-05;4.482269287109375e-05;0.1438920497894287;
Barcelona-Athens;3398.0;3398.0;4732.0;3.719329833984375e-05;6.222724914550781e-05;0.0035562515258789062;
Calais-Rome;1662.0;1662.0;0;4.267692565917969e-05;5.054473876953125e-05;0.6660220623016357;
Cherbourg-Stockholm;2167.0;2167.0;3187.0;2.5987625122070312e-05;6.270408630371094e-05;0.005032062530517578;
Barcelona-Hook of Holland;1490.0;1490.0;1702.0;4.673004150390625e-05;3.790855407714844e-05;0.0030248165130615234;
Athens-Geneva;2838.0;2838.0;6278.0;3.0279159545898438e-05;1.8358230590820312e-05;0.005759477615356445;
Munich-Hook of Holland;919.0;919.0;919.0;3.6716461181640625e-05;2.5987625122070312e-05;0.0020041465759277344;
Lyons-Geneva;745.0;745.0;745.0;2.6941299438476562e-05;1.7404556274414062e-05;0.0022139549255371094;
Cherbourg-Rome;2094.0;2094.0;0;4.220008850097656e-05;5.7220458984375e-05;0.689894437789917;
Hamburg-Brussels;597.0;597.0;7820.0;1.33514404296875e-05;6.67572021484375e-06;0.0028586387634277344;
Paris-Vienna;2032.0;2032.0;0;3.24249267578125e-05;5.435943603515625e-05;0.13735699653625488;
Cherbourg-Vienna;2270.0;2270.0;0;5.173683166503906e-05;6.556510925292969e-05;0.13924551010131836;
Milan-Rome;1323.0;1323.0;0;1.5735626220703125e-05;4.076957702636719e-05;0.6276843547821045;
Lyons-Lisbon;1178.0;1178.0;1178.0;1.8835067749023438e-05;2.47955322265625e-05;0.0007708072662353516;
Hamburg-Copenhagen;1038.0;1038.0;8261.0;2.6941299438476562e-05;2.3603439331054688e-05;0.0053713321685791016;
Stockholm-Hamburg;1110.0;1110.0;10619.0;3.147125244140625e-05;1.7881393432617188e-05;0.0048563480377197266;
Gibraltar-Stockholm;3839.0;3839.0;5306.0;5.0067901611328125e-05;7.009506225585938e-05;0.006655454635620117;
Gibraltar-Hook of Holland;2428.0;2428.0;2874.0;5.1975250244140625e-05;0.00018668174743652344;0.003688335418701172;
Lyons-Cologne;1355.0;1355.0;1355.0;4.38690185546875e-05;4.363059997558594e-05;0.0015718936920166016;
Hamburg-Calais;2213.0;2213.0;7616.0;6.031990051269531e-05;6.246566772460938e-05;0.002167940139770508;
Paris-Stockholm;1827.0;1827.0;1868.0;2.384185791015625e-05;0.00010585784912109375;0.0021386146545410156;
Cologne-Cherbourg;1000.0;1000.0;1000.0;4.029273986816406e-05;3.0994415283203125e-05;0.0020296573638916016;
Barcelona-Calais;1326.0;1326.0;1326.0;2.956390380859375e-05;3.314018249511719e-05;0.0010592937469482422;
Copenhagen-Milan;1367.0;1367.0;0;5.1975250244140625e-05;3.266334533691406e-05;0.659766674041748;
Brussels-Hamburg;666.0;666.0;1849.0;2.574920654296875e-05;2.3126602172851562e-05;0.0021867752075195312;
Rome-Stockholm;2900.0;2900.0;2900.0;4.863739013671875e-05;6.67572021484375e-05;0.0019948482513427734;
Athens-Milan;2510.0;2510.0;0;2.1457672119140625e-05;1.5020370483398438e-05;0.6537504196166992;
Marseilles-Madrid;1157.0;1157.0;1601.0;2.5510787963867188e-05;3.3855438232421875e-05;0.002064228057861328;
Lisbon-Brussels;2256.0;2256.0;2509.0;4.267692565917969e-05;3.4332275390625e-05;0.0029082298278808594;
Lyons-Stockholm;2108.0;2108.0;4785.0;7.486343383789062e-05;8.058547973632812e-05;0.007835626602172852;
Paris-Geneva;1704.0;1704.0;1704.0;6.0558319091796875e-05;4.4345855712890625e-05;0.0030264854431152344;
Vienna-Barcelona;1793.0;1793.0;5304.0;3.695487976074219e-05;5.078315734863281e-05;0.0019483566284179688;
Brussels-Barcelona;1318.0;1318.0;2320.0;5.7220458984375e-05;4.2438507080078125e-05;0.0035164356231689453;
Munich-Milan;331.0;331.0;331.0;1.5974044799804688e-05;7.3909759521484375e-06;0.0007445812225341797;
Marseilles-Copenhagen;1452.0;1452.0;2302.0;4.458427429199219e-05;5.340576171875e-05;0.003599405288696289;
Milan-Brussels;1281.0;1281.0;1764.0;4.506111145019531e-05;3.790855407714844e-05;0.002762317657470703;
Rome-Cologne;1497.0;1497.0;1497.0;5.1975250244140625e-05;2.574920654296875e-05;0.0010654926300048828;
Cherbourg-Hamburg;1115.0;1115.0;2432.0;3.337860107421875e-05;3.218650817871094e-05;0.002450704574584961;
Brussels-Calais;2069.0;2069.0;0;5.1975250244140625e-05;6.222724914550781e-05;0.6626088619232178;
Hook of Holland-Paris;457.0;457.0;0;2.288818359375e-05;1.239776611328125e-05;0.6612930297851562;
Geneva-Hamburg;1317.0;1317.0;3285.0;5.6743621826171875e-05;3.4332275390625e-05;0.003260374069213867;
Cologne-Milan;911.0;911.0;911.0;8.940696716308594e-05;2.288818359375e-05;0.0011119842529296875;
