Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Vienna-Calais;1381.0;1381.0;1381.0;3.1948089599609375e-05;3.933906555175781e-05;0.0009334087371826172;
Hook of Holland-Marseilles;1183.0;1183.0;0;8.153915405273438e-05;3.4809112548828125e-05;0.06131148338317871;
Lisbon-Gibraltar;2995.0;2995.0;0;0.00010585784912109375;8.797645568847656e-05;0.04955458641052246;
Geneva-Madrid;1439.0;1439.0;0;3.552436828613281e-05;4.7206878662109375e-05;0.05490612983703613;
Athens-Calais;3372.0;3372.0;0;3.743171691894531e-05;6.008148193359375e-05;0.05553078651428223;
Cologne-Lyons;1355.0;1355.0;0;5.2928924560546875e-05;4.863739013671875e-05;0.07266092300415039;
Milan-Lyons;486.0;486.0;0;2.2649765014648438e-05;1.239776611328125e-05;0.0587923526763916;
Marseilles-Madrid;1157.0;1157.0;0;2.956390380859375e-05;3.814697265625e-05;0.05114912986755371;
Hook of Holland-Paris;457.0;457.0;0;2.6464462280273438e-05;1.33514404296875e-05;0.05120444297790527;
Calais-Brussels;204.0;204.0;0;1.2874603271484375e-05;6.67572021484375e-06;0.0740966796875;
Brussels-Madrid;1971.0;1971.0;0;5.3882598876953125e-05;6.937980651855469e-05;0.049269676208496094;
Rome-Gibraltar;2704.0;2704.0;0;3.814697265625e-05;7.05718994140625e-05;0.11729907989501953;
Madrid-Cherbourg;1930.0;1930.0;0;5.030632019042969e-05;4.696846008300781e-05;0.16182589530944824;
Munich-Barcelona;1365.0;1365.0;0;3.2901763916015625e-05;4.673004150390625e-05;0.07072949409484863;
Rome-Hook of Holland;1766.0;1766.0;0;5.602836608886719e-05;4.601478576660156e-05;0.07294178009033203;
Lyons-Cologne;1355.0;1355.0;0;4.2438507080078125e-05;3.933906555175781e-05;0.07274103164672852;
Stockholm-Cologne;1410.0;1410.0;0;4.2438507080078125e-05;2.5510787963867188e-05;0.07684469223022461;
Geneva-Copenhagen;1616.0;1616.0;2398.0;6.270408630371094e-05;6.532669067382812e-05;0.002151966094970703;
Gibraltar-Copenhagen;2697.0;2697.0;7279.0;5.817413330078125e-05;6.0558319091796875e-05;0.004053354263305664;
Paris-Barcelona;1963.0;1963.0;0;5.936622619628906e-05;5.8650970458984375e-05;0.08623170852661133;
Marseilles-Milan;1440.0;1440.0;0;5.364418029785156e-05;5.14984130859375e-05;0.09423232078552246;
Lyons-Munich;1429.0;1429.0;0;4.38690185546875e-05;4.3392181396484375e-05;0.08806681632995605;
Copenhagen-Hook of Holland;269.0;269.0;0;1.6689300537109375e-05;7.62939453125e-06;0.0894920825958252;
Madrid-Athens;4006.0;4006.0;0;4.4345855712890625e-05;7.43865966796875e-05;0.09185123443603516;
Vienna-Rome;2082.0;2082.0;0;2.6226043701171875e-05;5.745887756347656e-05;0.09768199920654297;
Lyons-Barcelona;645.0;645.0;0;2.5987625122070312e-05;1.5497207641601562e-05;0.1339583396911621;
