Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Marseilles-Cologne;1035.0;1035.0;0;2.86102294921875e-05;2.2649765014648438e-05;0.07782769203186035;
Cologne-Athens;3193.0;3193.0;0;4.315376281738281e-05;7.581710815429688e-05;0.16582036018371582;
Athens-Barcelona;3313.0;3313.0;0;4.553794860839844e-05;7.987022399902344e-05;0.13422942161560059;
Copenhagen-Athens;3299.0;3299.0;0;6.246566772460938e-05;7.224082946777344e-05;0.10550904273986816;
Vienna-Cologne;1381.0;1381.0;0;4.6253204345703125e-05;3.3855438232421875e-05;0.07988095283508301;
Brussels-Paris;629.0;629.0;0;2.5033950805664062e-05;1.9073486328125e-05;0.1098484992980957;
Rome-Cologne;1497.0;1497.0;0;4.649162292480469e-05;2.2649765014648438e-05;0.08208680152893066;
Munich-Geneva;659.0;659.0;0;1.4781951904296875e-05;1.0013580322265625e-05;0.08568358421325684;
Calais-Lisbon;2072.0;2072.0;0;4.172325134277344e-05;5.602836608886719e-05;0.08420920372009277;
Athens-Calais;3372.0;3372.0;0;2.86102294921875e-05;4.5299530029296875e-05;0.09803652763366699;
Marseilles-Madrid;1157.0;1157.0;0;2.288818359375e-05;3.0040740966796875e-05;0.16794943809509277;
Copenhagen-Hamburg;460.0;460.0;0;2.193450927734375e-05;1.0967254638671875e-05;0.10656905174255371;
Brussels-Calais;2069.0;2069.0;0;4.363059997558594e-05;5.698204040527344e-05;0.08893752098083496;
Stockholm-Paris;1376.0;1376.0;1827.0;2.4557113647460938e-05;1.7642974853515625e-05;0.0008306503295898438;
Cologne-Barcelona;1498.0;1498.0;0;3.9577484130859375e-05;4.220008850097656e-05;0.10616135597229004;
Geneva-Madrid;1439.0;1439.0;0;2.3365020751953125e-05;3.600120544433594e-05;0.18228745460510254;
Madrid-Brussels;1558.0;1558.0;0;3.838539123535156e-05;2.2649765014648438e-05;0.07933402061462402;
Lyons-Gibraltar;1817.0;1817.0;0;2.4080276489257812e-05;5.7220458984375e-05;0.09793329238891602;
Athens-Hamburg;2984.0;2984.0;0;4.076957702636719e-05;2.47955322265625e-05;0.09755921363830566;
Copenhagen-Milan;1367.0;1367.0;0;3.5762786865234375e-05;2.9802322387695312e-05;0.14369916915893555;
Cologne-Copenhagen;538.0;538.0;6553.0;1.8596649169921875e-05;1.7404556274414062e-05;0.0021119117736816406;
Munich-Rome;1654.0;1654.0;0;3.0040740966796875e-05;4.792213439941406e-05;0.1494758129119873;
Stockholm-Milan;2017.0;2017.0;0;3.9577484130859375e-05;3.5762786865234375e-05;0.13855957984924316;
Hamburg-Athens;2977.0;2977.0;0;3.1948089599609375e-05;5.91278076171875e-05;0.1548306941986084;
Paris-Madrid;2535.0;2535.0;0;4.0531158447265625e-05;5.53131103515625e-05;0.17008495330810547;
Rome-Barcelona;1693.0;1693.0;0;2.574920654296875e-05;3.0040740966796875e-05;0.10530924797058105;
Marseilles-Gibraltar;1693.0;1693.0;0;2.7179718017578125e-05;5.1021575927734375e-05;0.09255266189575195;
Rome-Geneva;914.0;914.0;0;1.4781951904296875e-05;9.775161743164062e-06;0.08746647834777832;
Vienna-Gibraltar;2965.0;2965.0;0;3.409385681152344e-05;5.602836608886719e-05;0.09732174873352051;
Madrid-Stockholm;3167.0;3167.0;0;3.4809112548828125e-05;5.53131103515625e-05;0.11148643493652344;
Lyons-Milan;1760.0;1760.0;0;4.935264587402344e-05;4.982948303222656e-05;0.13749337196350098;
Lisbon-Madrid;2459.0;2459.0;0;2.3365020751953125e-05;3.7670135498046875e-05;0.18849563598632812;
Cologne-Brussels;1057.0;1057.0;0;2.6226043701171875e-05;2.956390380859375e-05;0.09290552139282227;
Calais-Hamburg;870.0;870.0;5957.0;2.5272369384765625e-05;2.4557113647460938e-05;0.0029070377349853516;
Paris-Rome;2140.0;2140.0;0;4.5299530029296875e-05;4.887580871582031e-05;0.15045547485351562;
Paris-Hook of Holland;457.0;457.0;0;1.2636184692382812e-05;5.245208740234375e-06;0.08116841316223145;
Paris-Stockholm;1827.0;1827.0;0;1.71661376953125e-05;4.076957702636719e-05;0.11140775680541992;
Hamburg-Brussels;597.0;597.0;0;1.1444091796875e-05;6.198883056640625e-06;0.07793807983398438;
Cologne-Geneva;1239.0;1239.0;0;3.719329833984375e-05;3.1948089599609375e-05;0.4116501808166504;
Vienna-Copenhagen;1474.0;1474.0;12376.0;5.269050598144531e-05;3.4332275390625e-05;0.006500244140625;
Lisbon-Calais;2052.0;2052.0;0;2.0742416381835938e-05;2.4318695068359375e-05;0.10024309158325195;
Munich-Marseilles;949.0;949.0;0;2.3603439331054688e-05;2.3365020751953125e-05;0.1668698787689209;
Vienna-Rome;2082.0;2082.0;0;1.9788742065429688e-05;4.649162292480469e-05;0.09760451316833496;
Vienna-Milan;759.0;759.0;0;1.5974044799804688e-05;5.91278076171875e-05;0.1430659294128418;
Brussels-Copenhagen;441.0;441.0;8943.0;1.9311904907226562e-05;1.4066696166992188e-05;0.0057408809661865234;
Madrid-Milan;1724.0;1724.0;0;4.696846008300781e-05;2.8133392333984375e-05;0.1395249366760254;
Geneva-Copenhagen;1616.0;1616.0;13395.0;4.7206878662109375e-05;5.0067901611328125e-05;0.0077326297760009766;
Marseilles-Milan;1440.0;1440.0;0;3.910064697265625e-05;4.1961669921875e-05;0.15503287315368652;
Copenhagen-Gibraltar;3045.0;3045.0;0;4.601478576660156e-05;5.7220458984375e-05;0.08848333358764648;
Stockholm-Gibraltar;3695.0;3695.0;0;4.792213439941406e-05;5.6743621826171875e-05;0.09016585350036621;
Hamburg-Copenhagen;1038.0;1038.0;6093.0;2.288818359375e-05;1.9550323486328125e-05;0.0016858577728271484;
Copenhagen-Cologne;760.0;760.0;0;2.765655517578125e-05;2.09808349609375e-05;0.0762019157409668;
Rome-Copenhagen;2035.0;2035.0;14390.0;4.553794860839844e-05;4.506111145019531e-05;0.007740974426269531;
Milan-Barcelona;1131.0;1131.0;0;2.2649765014648438e-05;2.2649765014648438e-05;0.12025976181030273;
Cologne-Hook of Holland;269.0;269.0;0;1.430511474609375e-05;6.9141387939453125e-06;0.07316780090332031;
Marseilles-Cherbourg;1278.0;1278.0;0;2.6941299438476562e-05;3.4332275390625e-05;0.15827322006225586;
Barcelona-Gibraltar;1172.0;1172.0;0;2.384185791015625e-05;2.8133392333984375e-05;0.0982351303100586;
Stockholm-Brussels;1616.0;1616.0;0;2.8371810913085938e-05;2.3365020751953125e-05;0.09501457214355469;
Madrid-Cherbourg;1930.0;1930.0;0;3.838539123535156e-05;3.647804260253906e-05;0.15017437934875488;
Rome-Stockholm;2900.0;2900.0;0;3.981590270996094e-05;5.6743621826171875e-05;0.10927104949951172;
