Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Gibraltar-Cologne;2436.0;2436.0;0;4.315376281738281e-05;3.528594970703125e-05;0.15080809593200684;
Lisbon-Stockholm;3286.0;3286.0;3286.0;3.7670135498046875e-05;5.793571472167969e-05;0.0015399456024169922;
Geneva-Hook of Holland;1608.0;1608.0;0;4.673004150390625e-05;4.9114227294921875e-05;0.5614240169525146;
Barcelona-Munich;2074.0;2074.0;2074.0;3.7670135498046875e-05;6.341934204101562e-05;0.002077817916870117;
Copenhagen-Barcelona;2258.0;2258.0;2264.0;5.316734313964844e-05;4.8160552978515625e-05;0.003159761428833008;
Marseilles-Milan;1440.0;1440.0;1440.0;4.100799560546875e-05;4.315376281738281e-05;0.001893758773803711;
Marseilles-Madrid;1157.0;1157.0;1157.0;2.3126602172851562e-05;2.956390380859375e-05;0.001104116439819336;
Paris-Cologne;465.0;465.0;465.0;1.9073486328125e-05;9.5367431640625e-06;0.0010080337524414062;
Gibraltar-Munich;2565.0;2565.0;3246.0;3.457069396972656e-05;4.3392181396484375e-05;0.003902435302734375;
Calais-Copenhagen;645.0;645.0;5267.0;2.193450927734375e-05;1.9550323486328125e-05;0.003912925720214844;
Stockholm-Hook of Holland;919.0;919.0;919.0;2.2411346435546875e-05;1.1205673217773438e-05;0.0013549327850341797;
Vienna-Cherbourg;1588.0;1588.0;1841.0;2.7418136596679688e-05;3.886222839355469e-05;0.0014941692352294922;
Geneva-Cherbourg;853.0;853.0;0;2.86102294921875e-05;1.6927719116210938e-05;0.2624657154083252;
Hook of Holland-Cherbourg;731.0;731.0;731.0;2.09808349609375e-05;1.6450881958007812e-05;0.000993967056274414;
Barcelona-Athens;3398.0;3398.0;0;3.528594970703125e-05;6.103515625e-05;0.5499074459075928;
Calais-Milan;1077.0;1077.0;0;3.337860107421875e-05;3.2901763916015625e-05;0.11295342445373535;
Paris-Milan;1376.0;1376.0;0;3.266334533691406e-05;2.4080276489257812e-05;0.11086392402648926;
Copenhagen-Madrid;2347.0;2347.0;2900.0;4.220008850097656e-05;5.054473876953125e-05;0.0023369789123535156;
Cherbourg-Milan;1209.0;1209.0;0;3.170967102050781e-05;3.314018249511719e-05;0.10328316688537598;
Hamburg-Cherbourg;1115.0;1115.0;0;3.075599670410156e-05;2.288818359375e-05;0.27916812896728516;
Gibraltar-Hook of Holland;2428.0;2428.0;0;4.363059997558594e-05;3.337860107421875e-05;0.5615735054016113;
Milan-Barcelona;1131.0;1131.0;1131.0;2.3365020751953125e-05;2.3126602172851562e-05;0.001972675323486328;
Athens-Stockholm;4096.0;4096.0;7672.0;4.0531158447265625e-05;5.459785461425781e-05;0.004299640655517578;
Lisbon-Milan;2938.0;2938.0;2938.0;4.649162292480469e-05;5.2928924560546875e-05;0.0026972293853759766;
Brussels-Hook of Holland;172.0;172.0;172.0;1.4066696166992188e-05;6.67572021484375e-06;0.000804901123046875;
Paris-Madrid;2535.0;2535.0;3322.0;4.0531158447265625e-05;5.5789947509765625e-05;0.004764080047607422;
Rome-Paris;1803.0;1803.0;5870.0;4.482269287109375e-05;4.220008850097656e-05;0.0052967071533203125;
Vienna-Gibraltar;2965.0;2965.0;2965.0;3.457069396972656e-05;5.6743621826171875e-05;0.0020880699157714844;
Geneva-Barcelona;803.0;803.0;803.0;2.3365020751953125e-05;1.4066696166992188e-05;0.0013360977172851562;
Calais-Gibraltar;2505.0;2505.0;2694.0;4.315376281738281e-05;5.6743621826171875e-05;0.002599000930786133;
Madrid-Lyons;1281.0;1281.0;1740.0;2.6464462280273438e-05;1.9311904907226562e-05;0.0028994083404541016;
Munich-Geneva;659.0;659.0;659.0;1.5020370483398438e-05;1.049041748046875e-05;0.002083301544189453;
Hamburg-Calais;2213.0;2213.0;0;4.744529724121094e-05;4.935264587402344e-05;0.5785801410675049;
Vienna-Lyons;1152.0;1152.0;3620.0;2.6226043701171875e-05;1.5735626220703125e-05;0.0035521984100341797;
