Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Stockholm-Calais;1786.0;1786.0;83574.0;0.00039958953857421875;3.504753112792969e-05;0.06478309631347656;
Copenhagen-Brussels;966.0;966.0;16645.0;2.8133392333984375e-05;2.002716064453125e-05;0.015632152557373047;
Geneva-Athens;2911.0;2911.0;3814.0;3.528594970703125e-05;5.9604644775390625e-05;0.003353595733642578;
Brussels-Stockholm;1609.0;1609.0;21823.0;2.0503997802734375e-05;4.601478576660156e-05;0.020863771438598633;
Madrid-Stockholm;3167.0;3167.0;129032.0;3.600120544433594e-05;5.793571472167969e-05;0.11867022514343262;
Copenhagen-Marseilles;1452.0;1452.0;8625.0;4.649162292480469e-05;3.218650817871094e-05;0.010721206665039062;
Cherbourg-Lisbon;1827.0;1827.0;65632.0;3.361701965332031e-05;0.00010585784912109375;0.06575918197631836;
Copenhagen-Barcelona;2258.0;2258.0;7655.0;5.555152893066406e-05;4.744529724121094e-05;0.008722782135009766;
Gibraltar-Stockholm;3839.0;3839.0;143113.0;4.1484832763671875e-05;5.745887756347656e-05;0.11813879013061523;
Athens-Madrid;4184.0;4184.0;28953.0;3.814697265625e-05;7.677078247070312e-05;0.023347854614257812;
Stockholm-Paris;1376.0;1376.0;8331.0;2.7894973754882812e-05;1.9311904907226562e-05;0.009642839431762695;
Paris-Gibraltar;2901.0;2901.0;9463.0;4.4345855712890625e-05;5.7697296142578125e-05;0.006729841232299805;
Rome-Madrid;2097.0;2097.0;8779.0;2.8848648071289062e-05;4.9591064453125e-05;0.004582643508911133;
Lisbon-Cologne;2264.0;2264.0;56006.0;2.8848648071289062e-05;3.314018249511719e-05;0.05332159996032715;
Athens-Cologne;3132.0;3132.0;8991.0;4.124641418457031e-05;3.361701965332031e-05;0.009593486785888672;
Calais-Hook of Holland;376.0;376.0;5534.0;1.71661376953125e-05;9.775161743164062e-06;0.003871917724609375;
Marseilles-Milan;1440.0;1440.0;15713.0;4.029273986816406e-05;4.291534423828125e-05;0.008684158325195312;
Calais-Cherbourg;460.0;460.0;39854.0;1.5497207641601562e-05;1.5497207641601562e-05;0.02603435516357422;
Munich-Paris;1376.0;1376.0;60122.0;3.504753112792969e-05;3.9577484130859375e-05;0.05820775032043457;
Stockholm-Lisbon;3175.0;3175.0;4888.0;4.315376281738281e-05;5.5789947509765625e-05;0.006037235260009766;
Athens-Calais;3372.0;3372.0;44284.0;2.7894973754882812e-05;4.553794860839844e-05;0.031202316284179688;
Gibraltar-Munich;2565.0;2565.0;92873.0;3.6716461181640625e-05;4.291534423828125e-05;0.06960749626159668;
Athens-Brussels;2926.0;2926.0;2926.0;3.218650817871094e-05;0.00010085105895996094;0.001300811767578125;
Milan-Athens;2282.0;2282.0;22252.0;3.5762786865234375e-05;6.818771362304688e-05;0.01885080337524414;
Madrid-Rome;2096.0;2096.0;48046.0;3.552436828613281e-05;5.078315734863281e-05;0.04595661163330078;
Brussels-Cherbourg;903.0;903.0;3176.0;2.6226043701171875e-05;2.765655517578125e-05;0.003727436065673828;
Cherbourg-Hamburg;1115.0;1115.0;11750.0;3.0517578125e-05;3.0040740966796875e-05;0.0047643184661865234;
Geneva-Marseilles;478.0;478.0;14954.0;1.8358230590820312e-05;9.5367431640625e-06;0.01539158821105957;
Marseilles-Athens;2865.0;2865.0;23407.0;3.4809112548828125e-05;5.817413330078125e-05;0.022060394287109375;
Hamburg-Cologne;803.0;803.0;56064.0;1.6927719116210938e-05;1.3113021850585938e-05;0.0335688591003418;
Cologne-Cherbourg;1000.0;1000.0;30751.0;2.3365020751953125e-05;2.4557113647460938e-05;0.02109503746032715;
Copenhagen-Hamburg;460.0;460.0;998.0;2.288818359375e-05;1.1444091796875e-05;0.0020592212677001953;
Lisbon-Rome;2918.0;2918.0;105348.0;2.8371810913085938e-05;5.125999450683594e-05;0.08654522895812988;
Lisbon-Calais;2052.0;2052.0;109133.0;6.532669067382812e-05;2.9325485229492188e-05;0.08584022521972656;
Gibraltar-Lyons;1817.0;1817.0;9323.0;3.218650817871094e-05;3.743171691894531e-05;0.0069844722747802734;
Calais-Lisbon;2072.0;2072.0;4096.0;8.0108642578125e-05;9.655952453613281e-05;0.005278110504150391;
Milan-Cherbourg;1181.0;1181.0;183496.0;4.076957702636719e-05;3.457069396972656e-05;0.1874983310699463;
Brussels-Gibraltar;2490.0;2490.0;60881.0;7.104873657226562e-05;6.341934204101562e-05;0.06953644752502441;
Barcelona-Lisbon;1305.0;1305.0;57240.0;1.811981201171875e-05;2.6464462280273438e-05;0.056320905685424805;
Lisbon-Munich;2607.0;2607.0;33265.0;3.838539123535156e-05;4.7206878662109375e-05;0.038303375244140625;
Hamburg-Milan;1136.0;1136.0;24769.0;7.557868957519531e-05;3.6716461181640625e-05;0.01867365837097168;
Lyons-Calais;1379.0;1379.0;57449.0;2.2411346435546875e-05;3.8623809814453125e-05;0.046587467193603516;
Marseilles-Copenhagen;1452.0;1452.0;12358.0;4.315376281738281e-05;5.030632019042969e-05;0.01318812370300293;
Lyons-Stockholm;2108.0;2108.0;14777.0;5.054473876953125e-05;6.723403930664062e-05;0.017533302307128906;
Marseilles-Barcelona;965.0;965.0;59770.0;2.5987625122070312e-05;1.811981201171875e-05;0.04724693298339844;
Marseilles-Hook of Holland;1183.0;1183.0;10863.0;3.790855407714844e-05;3.528594970703125e-05;0.012169599533081055;
Paris-Munich;1682.0;1682.0;25033.0;3.123283386230469e-05;3.504753112792969e-05;0.027122974395751953;
Rome-Cherbourg;1767.0;1767.0;91263.0;2.6941299438476562e-05;3.981590270996094e-05;0.08189654350280762;
Brussels-Milan;1117.0;1117.0;36514.0;3.4332275390625e-05;3.337860107421875e-05;0.03235745429992676;
Madrid-Lisbon;1941.0;1941.0;7808.0;2.384185791015625e-05;4.076957702636719e-05;0.007505655288696289;
