Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Athens-Cherbourg;3339.0;3339.0;3761.0;3.2901763916015625e-05;4.649162292480469e-05;0.002145051956176758;
Madrid-Hook of Holland;1730.0;1730.0;5993.0;4.00543212890625e-05;3.3855438232421875e-05;0.008784294128417969;
Munich-Brussels;747.0;747.0;22992.0;3.337860107421875e-05;1.5974044799804688e-05;0.018848896026611328;
Barcelona-Milan;2046.0;2046.0;215093.0;4.5299530029296875e-05;5.0067901611328125e-05;0.12151312828063965;
Athens-Vienna;1991.0;1991.0;8367.0;1.0251998901367188e-05;5.0067901611328125e-06;0.013640642166137695;
Cherbourg-Gibraltar;2045.0;2045.0;2045.0;3.504753112792969e-05;4.839897155761719e-05;0.0019104480743408203;
Milan-Athens;2282.0;2282.0;50627.0;2.0503997802734375e-05;5.316734313964844e-05;0.035646677017211914;
Munich-Athens;2613.0;2613.0;7135.0;2.0742416381835938e-05;5.8650970458984375e-05;0.003372669219970703;
Gibraltar-Calais;2224.0;2224.0;2498.0;3.147125244140625e-05;2.5510787963867188e-05;0.002064228057861328;
Geneva-Marseilles;478.0;478.0;478.0;1.6689300537109375e-05;8.821487426757812e-06;0.002219676971435547;
Gibraltar-Hamburg;2896.0;2896.0;3968.0;4.410743713378906e-05;5.0067901611328125e-05;0.006361484527587891;
Rome-Geneva;914.0;914.0;4430.0;1.430511474609375e-05;9.775161743164062e-06;0.005360841751098633;
Copenhagen-Marseilles;1452.0;1452.0;2214.0;4.291534423828125e-05;3.147125244140625e-05;0.002851247787475586;
Munich-Rome;1654.0;1654.0;0;1.71661376953125e-05;4.291534423828125e-05;0.38486552238464355;
Athens-Cologne;3132.0;3132.0;3952.0;4.00543212890625e-05;3.361701965332031e-05;0.0020492076873779297;
Cherbourg-Lyons;789.0;789.0;2274.0;3.457069396972656e-05;1.8596649169921875e-05;0.0013382434844970703;
Barcelona-Vienna;2328.0;2328.0;2669.0;3.838539123535156e-05;5.459785461425781e-05;0.0014884471893310547;
Hamburg-Brussels;597.0;597.0;7201.0;1.2159347534179688e-05;6.198883056640625e-06;0.0039038658142089844;
Calais-Brussels;204.0;204.0;204.0;9.059906005859375e-06;4.76837158203125e-06;0.0007045269012451172;
