Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Milan-Cologne;911.0;911.0;0;3.147125244140625e-05;1.6927719116210938e-05;0.49492359161376953;
Calais-Vienna;1381.0;1381.0;3005.0;4.482269287109375e-05;3.886222839355469e-05;0.003147125244140625;
Munich-Copenhagen;1104.0;1104.0;27168.0;3.504753112792969e-05;3.1948089599609375e-05;0.026574134826660156;
Stockholm-Cherbourg;1650.0;1650.0;1650.0;2.5033950805664062e-05;2.6702880859375e-05;0.001978635787963867;
Milan-Stockholm;2314.0;2314.0;3046.0;3.0040740966796875e-05;6.0558319091796875e-05;0.0019032955169677734;
Hamburg-Rome;2108.0;2108.0;2108.0;4.315376281738281e-05;4.887580871582031e-05;0.0013463497161865234;
Munich-Lisbon;1902.0;1902.0;6474.0;2.4318695068359375e-05;4.887580871582031e-05;0.006014585494995117;
Hook of Holland-Barcelona;2148.0;2148.0;6574.0;4.7206878662109375e-05;4.8160552978515625e-05;0.003119945526123047;
Cologne-Milan;911.0;911.0;911.0;3.266334533691406e-05;1.9788742065429688e-05;0.0007534027099609375;
Cologne-Madrid;2192.0;2192.0;2347.0;4.4345855712890625e-05;5.078315734863281e-05;0.0022280216217041016;
Calais-Athens;3359.0;3359.0;3406.0;5.1021575927734375e-05;6.175041198730469e-05;0.0019953250885009766;
Barcelona-Brussels;1530.0;1530.0;2821.0;3.7670135498046875e-05;3.814697265625e-05;0.003309011459350586;
Cherbourg-Milan;1209.0;1209.0;3071.0;3.266334533691406e-05;3.218650817871094e-05;0.0020973682403564453;
Marseilles-Hamburg;1479.0;1479.0;0;3.695487976074219e-05;4.8160552978515625e-05;0.4832940101623535;
Copenhagen-Lyons;1619.0;1619.0;6202.0;3.981590270996094e-05;3.910064697265625e-05;0.0033156871795654297;
Marseilles-Gibraltar;1693.0;1693.0;1693.0;2.765655517578125e-05;5.245208740234375e-05;0.0013816356658935547;
Stockholm-Brussels;1616.0;1616.0;1616.0;2.8848648071289062e-05;2.4318695068359375e-05;0.001867055892944336;
Milan-Barcelona;1131.0;1131.0;5826.0;2.2411346435546875e-05;2.3126602172851562e-05;0.0019969940185546875;
Stockholm-Geneva;2345.0;2345.0;3051.0;5.269050598144531e-05;4.696846008300781e-05;0.0030972957611083984;
Athens-Lyons;2903.0;2903.0;2903.0;2.9325485229492188e-05;1.8835067749023438e-05;0.0013275146484375;
Lyons-Athens;2753.0;2753.0;2753.0;3.457069396972656e-05;7.176399230957031e-05;0.0006999969482421875;
Lisbon-Marseilles;1498.0;1498.0;4775.0;1.8596649169921875e-05;1.0728836059570312e-05;0.0030896663665771484;
Marseilles-Athens;2865.0;2865.0;20905.0;3.1948089599609375e-05;6.031990051269531e-05;0.015965700149536133;
Barcelona-Cherbourg;1294.0;1294.0;2243.0;3.743171691894531e-05;2.1696090698242188e-05;0.0025358200073242188;
Vienna-Calais;1381.0;1381.0;1836.0;2.3603439331054688e-05;3.123283386230469e-05;0.0019071102142333984;
Lyons-Hamburg;1159.0;1159.0;0;3.719329833984375e-05;2.09808349609375e-05;0.4733452796936035;
Cherbourg-Hamburg;1115.0;1115.0;1249.0;3.266334533691406e-05;3.266334533691406e-05;0.002249002456665039;
Milan-Lisbon;1664.0;1664.0;4564.0;1.9550323486328125e-05;4.8160552978515625e-05;0.0040857791900634766;
Milan-Marseilles;618.0;618.0;8921.0;2.1457672119140625e-05;1.33514404296875e-05;0.007135629653930664;
Geneva-Lisbon;1336.0;1336.0;4236.0;1.5020370483398438e-05;3.24249267578125e-05;0.003276348114013672;
Calais-Cologne;410.0;410.0;0;1.5735626220703125e-05;1.33514404296875e-05;0.5619032382965088;
Munich-Hook of Holland;919.0;919.0;1511.0;3.314018249511719e-05;2.2411346435546875e-05;0.002837657928466797;
Munich-Geneva;659.0;659.0;659.0;1.52587890625e-05;1.0728836059570312e-05;0.0020110607147216797;
Barcelona-Cologne;1498.0;1498.0;0;2.8371810913085938e-05;3.719329833984375e-05;0.5755243301391602;
Lyons-Cologne;1355.0;1355.0;0;3.218650817871094e-05;3.0517578125e-05;0.5541279315948486;
Madrid-Munich;2266.0;2266.0;2710.0;3.743171691894531e-05;5.269050598144531e-05;0.0034894943237304688;
Paris-Hook of Holland;457.0;457.0;457.0;1.2874603271484375e-05;5.7220458984375e-06;0.0011484622955322266;
Marseilles-Cologne;1035.0;1035.0;0;2.5272369384765625e-05;2.2172927856445312e-05;0.6057143211364746;
Munich-Brussels;747.0;747.0;747.0;2.8848648071289062e-05;1.5735626220703125e-05;0.001035451889038086;
Rome-Munich;1637.0;1637.0;5047.0;3.147125244140625e-05;2.6226043701171875e-05;0.002950429916381836;
Paris-Brussels;1474.0;1474.0;1969.0;3.0517578125e-05;2.574920654296875e-05;0.003477334976196289;
Stockholm-Marseilles;2102.0;2102.0;2876.0;4.696846008300781e-05;3.719329833984375e-05;0.003904104232788086;
Gibraltar-Barcelona;1172.0;1172.0;3930.0;1.6450881958007812e-05;1.1682510375976562e-05;0.0014510154724121094;
Copenhagen-Hook of Holland;269.0;269.0;269.0;1.3828277587890625e-05;6.4373016357421875e-06;0.0007131099700927734;
Marseilles-Calais;1059.0;1059.0;1059.0;1.621246337890625e-05;2.5272369384765625e-05;0.0006890296936035156;
Munich-Rome;1654.0;1654.0;1654.0;1.6689300537109375e-05;4.410743713378906e-05;0.002258777618408203;
Marseilles-Rome;1420.0;1420.0;2522.0;1.71661376953125e-05;4.029273986816406e-05;0.0014200210571289062;
Stockholm-Athens;3927.0;3927.0;4818.0;5.9604644775390625e-05;6.198883056640625e-05;0.003051280975341797;
Stockholm-Lyons;2269.0;2269.0;6852.0;4.649162292480469e-05;4.57763671875e-05;0.003255605697631836;
Hamburg-Marseilles;1479.0;1479.0;34705.0;3.504753112792969e-05;3.910064697265625e-05;0.01805853843688965;
Brussels-Cherbourg;903.0;903.0;1966.0;2.2411346435546875e-05;2.5510787963867188e-05;0.002951383590698242;
Cologne-Stockholm;1403.0;1403.0;60616.0;1.52587890625e-05;4.029273986816406e-05;0.020077943801879883;
Athens-Vienna;1991.0;1991.0;3857.0;1.0013580322265625e-05;4.5299530029296875e-06;0.0028274059295654297;
Stockholm-Milan;2017.0;2017.0;3203.0;3.7670135498046875e-05;3.457069396972656e-05;0.0032091140747070312;
Barcelona-Gibraltar;1172.0;1172.0;0;2.5033950805664062e-05;1.811981201171875e-05;0.7113215923309326;
Cherbourg-Madrid;1347.0;1347.0;1347.0;3.457069396972656e-05;3.600120544433594e-05;0.0009615421295166016;
Lyons-Geneva;745.0;745.0;745.0;2.384185791015625e-05;1.621246337890625e-05;0.0015721321105957031;
Calais-Barcelona;1522.0;1522.0;1522.0;4.792213439941406e-05;4.291534423828125e-05;0.0014657974243164062;
Marseilles-Madrid;1157.0;1157.0;3564.0;2.2172927856445312e-05;3.123283386230469e-05;0.0034580230712890625;
Brussels-Stockholm;1609.0;1609.0;7298.0;2.0742416381835938e-05;4.792213439941406e-05;0.004718780517578125;
