Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Rome-Stockholm;2900.0;2900.0;3180.0;4.291534423828125e-05;6.151199340820312e-05;0.005023002624511719;
Hook of Holland-Rome;1683.0;1683.0;1683.0;4.601478576660156e-05;4.029273986816406e-05;0.0009400844573974609;
Lisbon-Athens;3931.0;3931.0;3931.0;3.409385681152344e-05;5.8650970458984375e-05;0.0013191699981689453;
Stockholm-Brussels;1616.0;1616.0;2233.0;2.8848648071289062e-05;2.4080276489257812e-05;0.00249481201171875;
Rome-Lyons;1048.0;1048.0;1072.0;2.002716064453125e-05;1.6927719116210938e-05;0.0018162727355957031;
Madrid-Hook of Holland;1730.0;1730.0;1730.0;3.933906555175781e-05;3.266334533691406e-05;0.0015306472778320312;
Stockholm-Hook of Holland;919.0;919.0;919.0;2.2411346435546875e-05;1.0967254638671875e-05;0.002228975296020508;
Cherbourg-Marseilles;1101.0;1101.0;1593.0;3.719329833984375e-05;2.6464462280273438e-05;0.002622842788696289;
Brussels-Barcelona;1318.0;1318.0;1318.0;4.291534423828125e-05;8.535385131835938e-05;0.0007376670837402344;
Munich-Paris;1376.0;1376.0;1836.0;4.839897155761719e-05;7.915496826171875e-05;0.0018377304077148438;
Hook of Holland-Stockholm;2284.0;2284.0;3692.0;4.5299530029296875e-05;6.103515625e-05;0.0028116703033447266;
Gibraltar-Vienna;2994.0;2994.0;4312.0;4.363059997558594e-05;9.822845458984375e-05;0.002548694610595703;
Cologne-Munich;1265.0;1265.0;0;3.218650817871094e-05;3.719329833984375e-05;0.19738554954528809;
Hamburg-Marseilles;1479.0;1479.0;1479.0;3.9577484130859375e-05;3.9577484130859375e-05;0.0016169548034667969;
Lisbon-Cherbourg;1827.0;1827.0;2776.0;3.886222839355469e-05;2.09808349609375e-05;0.0028553009033203125;
Paris-Lisbon;1799.0;1799.0;1799.0;4.315376281738281e-05;3.8623809814453125e-05;0.0008149147033691406;
Geneva-Munich;1447.0;1447.0;0;6.556510925292969e-05;4.76837158203125e-05;0.21495914459228516;
Munich-Hook of Holland;919.0;919.0;2227.0;3.719329833984375e-05;2.3126602172851562e-05;0.003155946731567383;
Cologne-Cherbourg;1000.0;1000.0;1000.0;3.409385681152344e-05;2.6464462280273438e-05;0.0021681785583496094;
Lisbon-Paris;1799.0;1799.0;2290.0;2.8371810913085938e-05;1.52587890625e-05;0.0025501251220703125;
Paris-Hamburg;877.0;877.0;3477.0;1.9550323486328125e-05;1.6689300537109375e-05;0.004964113235473633;
Geneva-Vienna;1019.0;1019.0;1019.0;1.3589859008789062e-05;2.4557113647460938e-05;0.0010273456573486328;
Geneva-Calais;1537.0;1537.0;0;1.9550323486328125e-05;4.553794860839844e-05;0.5459773540496826;
Barcelona-Lisbon;1305.0;1305.0;1305.0;1.7642974853515625e-05;2.4318695068359375e-05;0.0011370182037353516;
Lisbon-Hamburg;2337.0;2337.0;2337.0;4.863739013671875e-05;4.029273986816406e-05;0.0017571449279785156;
Brussels-Paris;629.0;629.0;1802.0;2.4080276489257812e-05;1.7642974853515625e-05;0.0022253990173339844;
Vienna-Lisbon;2330.0;2330.0;2330.0;2.5510787963867188e-05;5.173683166503906e-05;0.002108335494995117;
Stockholm-Rome;2602.0;2602.0;2602.0;4.57763671875e-05;4.553794860839844e-05;0.0020432472229003906;
Barcelona-Cherbourg;1294.0;1294.0;1294.0;3.647804260253906e-05;2.002716064453125e-05;0.0007660388946533203;
Marseilles-Copenhagen;1452.0;1452.0;0;3.6716461181640625e-05;4.506111145019531e-05;0.11771821975708008;
Madrid-Vienna;2520.0;2520.0;2601.0;4.00543212890625e-05;5.316734313964844e-05;0.0020210742950439453;
Marseilles-Paris;792.0;792.0;792.0;2.5510787963867188e-05;1.3828277587890625e-05;0.0008211135864257812;
