Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Brussels-Paris;629.0;629.0;629.0;2.4557113647460938e-05;1.8358230590820312e-05;0.0014178752899169922;
Gibraltar-Hamburg;2896.0;2896.0;5149.0;4.696846008300781e-05;5.14984130859375e-05;0.0031855106353759766;
Paris-Marseilles;1500.0;1500.0;3297.0;4.458427429199219e-05;2.8848648071289062e-05;0.0019011497497558594;
Lisbon-Cherbourg;1827.0;1827.0;0;3.695487976074219e-05;2.09808349609375e-05;0.13171720504760742;
Lisbon-Barcelona;1823.0;1823.0;1823.0;2.3126602172851562e-05;1.7404556274414062e-05;0.0015244483947753906;
Lyons-Vienna;1683.0;1683.0;7025.0;2.5987625122070312e-05;4.673004150390625e-05;0.0031037330627441406;
Rome-Copenhagen;2035.0;2035.0;2035.0;4.5299530029296875e-05;4.7206878662109375e-05;0.0018849372863769531;
Athens-Barcelona;3313.0;3313.0;3548.0;3.0517578125e-05;3.981590270996094e-05;0.0018618106842041016;
Lisbon-Copenhagen;2525.0;2525.0;3936.0;4.506111145019531e-05;4.220008850097656e-05;0.0018110275268554688;
Hook of Holland-Marseilles;1183.0;1183.0;1183.0;4.4345855712890625e-05;2.6464462280273438e-05;0.0007419586181640625;
Brussels-Hamburg;666.0;666.0;901.0;2.0503997802734375e-05;1.9311904907226562e-05;0.002044677734375;
Copenhagen-Hamburg;460.0;460.0;460.0;2.2172927856445312e-05;1.0728836059570312e-05;0.0008146762847900391;
Geneva-Rome;995.0;995.0;995.0;1.2159347534179688e-05;2.0503997802734375e-05;0.0007641315460205078;
Gibraltar-Munich;2565.0;2565.0;3899.0;3.504753112792969e-05;4.38690185546875e-05;0.004878520965576172;
Stockholm-Copenhagen;650.0;650.0;650.0;1.3589859008789062e-05;6.198883056640625e-06;0.0006721019744873047;
Munich-Paris;1376.0;1376.0;1741.0;3.409385681152344e-05;4.00543212890625e-05;0.002044677734375;
Marseilles-Munich;1109.0;1109.0;1109.0;3.2901763916015625e-05;2.765655517578125e-05;0.0006859302520751953;
Athens-Stockholm;4096.0;4096.0;5314.0;3.814697265625e-05;5.269050598144531e-05;0.0019392967224121094;
Hamburg-Gibraltar;2897.0;2897.0;3239.0;4.506111145019531e-05;5.745887756347656e-05;0.0019452571868896484;
Geneva-Cherbourg;853.0;853.0;853.0;2.86102294921875e-05;1.621246337890625e-05;0.0006887912750244141;
Cologne-Munich;1265.0;1265.0;1265.0;2.2411346435546875e-05;3.4332275390625e-05;0.001394033432006836;
Gibraltar-Milan;2422.0;2422.0;3218.0;4.7206878662109375e-05;3.147125244140625e-05;0.0029973983764648438;
Calais-Marseilles;1214.0;1214.0;1214.0;4.3392181396484375e-05;3.457069396972656e-05;0.0023221969604492188;
Vienna-Gibraltar;2965.0;2965.0;2969.0;3.337860107421875e-05;5.793571472167969e-05;0.0018765926361083984;
Madrid-Hamburg;2198.0;2198.0;4298.0;3.9577484130859375e-05;5.054473876953125e-05;0.0018084049224853516;
Calais-Hook of Holland;376.0;376.0;376.0;1.811981201171875e-05;9.059906005859375e-06;0.0012247562408447266;
Munich-Marseilles;949.0;949.0;949.0;2.4557113647460938e-05;2.5272369384765625e-05;0.0012409687042236328;
Milan-Calais;1077.0;1077.0;1077.0;2.3126602172851562e-05;2.1457672119140625e-05;0.0006642341613769531;
Madrid-Milan;1724.0;1724.0;2597.0;5.030632019042969e-05;2.956390380859375e-05;0.0018742084503173828;
Marseilles-Hook of Holland;1183.0;1183.0;8633.0;3.6716461181640625e-05;3.314018249511719e-05;0.0035295486450195312;
Cologne-Hamburg;460.0;460.0;1342.0;1.811981201171875e-05;1.0967254638671875e-05;0.0012767314910888672;
Lyons-Lisbon;1178.0;1178.0;1178.0;1.6689300537109375e-05;2.3365020751953125e-05;0.0007684230804443359;
Vienna-Madrid;2433.0;2433.0;3545.0;3.361701965332031e-05;5.841255187988281e-05;0.0024330615997314453;
Cherbourg-Athens;3491.0;3491.0;3542.0;3.7670135498046875e-05;6.127357482910156e-05;0.0019745826721191406;
Lyons-Copenhagen;1458.0;1458.0;2758.0;4.506111145019531e-05;3.910064697265625e-05;0.0017066001892089844;
Stockholm-Vienna;2265.0;2265.0;3465.0;2.8371810913085938e-05;4.076957702636719e-05;0.0025365352630615234;
Stockholm-Athens;3927.0;3927.0;8691.0;5.435943603515625e-05;6.651878356933594e-05;0.0030574798583984375;
Lyons-Geneva;745.0;745.0;3529.0;2.5272369384765625e-05;1.6927719116210938e-05;0.0026504993438720703;
Gibraltar-Stockholm;3839.0;3839.0;4037.0;4.363059997558594e-05;6.008148193359375e-05;0.0023679733276367188;
Athens-Cherbourg;3339.0;3339.0;3579.0;3.504753112792969e-05;4.601478576660156e-05;0.0018227100372314453;
Lyons-Brussels;1331.0;1331.0;1756.0;3.886222839355469e-05;2.956390380859375e-05;0.0012254714965820312;
Brussels-Stockholm;1609.0;1609.0;1609.0;2.1219253540039062e-05;5.173683166503906e-05;0.0013909339904785156;
Cherbourg-Barcelona;1434.0;1434.0;2303.0;4.1484832763671875e-05;4.124641418457031e-05;0.0019884109497070312;
Cherbourg-Brussels;583.0;583.0;583.0;2.0503997802734375e-05;1.049041748046875e-05;0.0008165836334228516;
Gibraltar-Hook of Holland;2428.0;2428.0;4959.0;4.482269287109375e-05;4.029273986816406e-05;0.0025463104248046875;
Hamburg-Athens;2977.0;2977.0;7742.0;3.457069396972656e-05;6.413459777832031e-05;0.0031571388244628906;
Cherbourg-Copenhagen;1024.0;1024.0;3346.0;2.6226043701171875e-05;2.384185791015625e-05;0.0018694400787353516;
Paris-Copenhagen;726.0;726.0;1003.0;1.811981201171875e-05;1.4543533325195312e-05;0.001856088638305664;
Cologne-Madrid;2192.0;2192.0;2900.0;4.7206878662109375e-05;7.987022399902344e-05;0.002053976058959961;
Stockholm-Rome;2602.0;2602.0;3967.0;5.602836608886719e-05;5.340576171875e-05;0.0018987655639648438;
Copenhagen-Barcelona;2258.0;2258.0;2284.0;5.53131103515625e-05;5.14984130859375e-05;0.0014863014221191406;
Hook of Holland-Vienna;1884.0;1884.0;2546.0;2.6941299438476562e-05;4.506111145019531e-05;0.0014472007751464844;
Calais-Rome;1662.0;1662.0;1715.0;4.2438507080078125e-05;4.935264587402344e-05;0.001332998275756836;
Lyons-Barcelona;645.0;645.0;645.0;2.2411346435546875e-05;1.33514404296875e-05;0.0008087158203125;
Athens-Paris;3000.0;3000.0;3653.0;4.458427429199219e-05;3.1948089599609375e-05;0.0021734237670898438;
Cologne-Vienna;1615.0;1615.0;1615.0;2.574920654296875e-05;5.316734313964844e-05;0.0014293193817138672;
Cologne-Paris;465.0;465.0;2321.0;2.5033950805664062e-05;1.4781951904296875e-05;0.0018994808197021484;
Marseilles-Paris;792.0;792.0;792.0;2.956390380859375e-05;1.5497207641601562e-05;0.0006875991821289062;
Lisbon-Madrid;2459.0;2459.0;5190.0;2.5272369384765625e-05;4.220008850097656e-05;0.0026557445526123047;
Madrid-Brussels;1558.0;1558.0;1558.0;4.0531158447265625e-05;2.2649765014648438e-05;0.0007297992706298828;
