Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Marseilles-Stockholm;2428.0;2428.0;0;3.337860107421875e-05;7.200241088867188e-05;0.19329524040222168;
Vienna-Marseilles;1377.0;1377.0;0;3.528594970703125e-05;2.8133392333984375e-05;0.06145334243774414;
Brussels-Barcelona;1318.0;1318.0;0;4.57763671875e-05;3.743171691894531e-05;0.06278491020202637;
Rome-Marseilles;1011.0;1011.0;0;2.5272369384765625e-05;1.2874603271484375e-05;0.059459686279296875;
Lisbon-Barcelona;1823.0;1823.0;0;4.220008850097656e-05;1.7404556274414062e-05;0.06212496757507324;
Lyons-Lisbon;1178.0;1178.0;0;1.7642974853515625e-05;2.384185791015625e-05;0.0684967041015625;
Rome-Hamburg;1751.0;1751.0;0;4.57763671875e-05;3.457069396972656e-05;0.19245481491088867;
Brussels-Hamburg;666.0;666.0;0;2.09808349609375e-05;1.9550323486328125e-05;0.19536519050598145;
Lyons-Athens;2753.0;2753.0;0;3.719329833984375e-05;6.198883056640625e-05;0.07693052291870117;
Rome-Brussels;1867.0;1867.0;0;4.553794860839844e-05;4.601478576660156e-05;0.0680701732635498;
Copenhagen-Calais;2444.0;2444.0;0;5.245208740234375e-05;5.3882598876953125e-05;0.0702977180480957;
Cologne-Milan;911.0;911.0;0;3.337860107421875e-05;2.0503997802734375e-05;0.06261587142944336;
Madrid-Calais;1962.0;1962.0;0;2.9087066650390625e-05;4.3392181396484375e-05;0.07562994956970215;
Marseilles-Milan;1440.0;1440.0;0;3.8623809814453125e-05;4.3392181396484375e-05;0.06515383720397949;
Hamburg-Munich;805.0;805.0;0;2.2411346435546875e-05;1.6689300537109375e-05;0.059099435806274414;
Marseilles-Lisbon;1498.0;1498.0;0;1.5735626220703125e-05;4.935264587402344e-05;0.07449984550476074;
Copenhagen-Cherbourg;1000.0;1000.0;1575.0;2.2649765014648438e-05;2.288818359375e-05;0.0015060901641845703;
Athens-Milan;2510.0;2510.0;0;1.7881393432617188e-05;1.239776611328125e-05;0.06445932388305664;
Athens-Hook of Holland;3030.0;3030.0;3030.0;3.981590270996094e-05;2.8371810913085938e-05;0.0006778240203857422;
Copenhagen-Madrid;2347.0;2347.0;0;4.4345855712890625e-05;5.078315734863281e-05;0.06115984916687012;
Paris-Lisbon;1799.0;1799.0;0;4.4345855712890625e-05;3.910064697265625e-05;0.05911731719970703;
Hook of Holland-Milan;1098.0;1098.0;0;3.743171691894531e-05;2.4318695068359375e-05;0.0683434009552002;
Lyons-Gibraltar;1817.0;1817.0;5080.0;2.574920654296875e-05;5.5789947509765625e-05;0.002282381057739258;
Rome-Cherbourg;1767.0;1767.0;2866.0;2.6941299438476562e-05;4.1484832763671875e-05;0.0012216567993164062;
Barcelona-Gibraltar;1172.0;1172.0;1172.0;2.5987625122070312e-05;1.811981201171875e-05;0.000644683837890625;
Madrid-Rome;2096.0;2096.0;0;3.0279159545898438e-05;4.839897155761719e-05;0.06978344917297363;
Marseilles-Copenhagen;1452.0;1452.0;2195.0;4.029273986816406e-05;4.649162292480469e-05;0.0012669563293457031;
Munich-Calais;1408.0;1408.0;0;2.5510787963867188e-05;4.744529724121094e-05;0.06011557579040527;
Athens-Brussels;2926.0;2926.0;0;3.5762786865234375e-05;2.288818359375e-05;0.06460142135620117;
Hamburg-Barcelona;1804.0;1804.0;0;5.435943603515625e-05;4.6253204345703125e-05;0.06734633445739746;
Munich-Milan;331.0;331.0;0;1.3828277587890625e-05;7.152557373046875e-06;0.05798792839050293;
Calais-Rome;1662.0;1662.0;0;4.291534423828125e-05;4.9591064453125e-05;0.05887794494628906;
Lyons-Geneva;745.0;745.0;0;2.6464462280273438e-05;1.7404556274414062e-05;0.06701779365539551;
Gibraltar-Hamburg;2896.0;2896.0;0;5.435943603515625e-05;5.745887756347656e-05;0.18382525444030762;
Vienna-Hamburg;1155.0;1155.0;0;4.076957702636719e-05;2.0503997802734375e-05;0.20916438102722168;
Barcelona-Vienna;2328.0;2328.0;0;4.482269287109375e-05;6.0558319091796875e-05;0.22149252891540527;
Stockholm-Lisbon;3175.0;3175.0;0;4.744529724121094e-05;6.175041198730469e-05;0.05838131904602051;
Cologne-Rome;1952.0;1952.0;0;4.363059997558594e-05;5.173683166503906e-05;0.05796313285827637;
Milan-Marseilles;618.0;618.0;0;2.47955322265625e-05;1.430511474609375e-05;0.0683448314666748;
Copenhagen-Munich;1104.0;1104.0;0;2.3603439331054688e-05;2.8371810913085938e-05;0.07793474197387695;
Lyons-Hook of Holland;1503.0;1503.0;0;4.4345855712890625e-05;5.1975250244140625e-05;0.19597220420837402;
Milan-Calais;1077.0;1077.0;0;2.86102294921875e-05;2.6226043701171875e-05;0.07175064086914062;
Stockholm-Madrid;2997.0;2997.0;0;6.413459777832031e-05;6.556510925292969e-05;0.07573580741882324;
Gibraltar-Barcelona;1172.0;1172.0;0;2.2411346435546875e-05;1.4066696166992188e-05;0.06342911720275879;
Vienna-Barcelona;1793.0;1793.0;0;3.7670135498046875e-05;5.507469177246094e-05;0.06311845779418945;
Hook of Holland-Marseilles;1183.0;1183.0;0;5.888938903808594e-05;3.4332275390625e-05;0.06933021545410156;
Geneva-Lisbon;1336.0;1336.0;0;1.8358230590820312e-05;3.8623809814453125e-05;0.0743262767791748;
Hamburg-Lyons;1159.0;1159.0;0;5.078315734863281e-05;4.0531158447265625e-05;0.06489849090576172;
Gibraltar-Vienna;2994.0;2994.0;0;4.8160552978515625e-05;6.818771362304688e-05;0.22058916091918945;
Stockholm-Cherbourg;1650.0;1650.0;2225.0;3.123283386230469e-05;3.361701965332031e-05;0.002770662307739258;
Brussels-Cologne;206.0;206.0;7024.0;2.1696090698242188e-05;1.2636184692382812e-05;0.003408670425415039;
Copenhagen-Athens;3299.0;3299.0;0;6.246566772460938e-05;7.343292236328125e-05;0.06123495101928711;
Calais-Brussels;204.0;204.0;0;1.3113021850585938e-05;6.4373016357421875e-06;0.06713223457336426;
Cologne-Cherbourg;1000.0;1000.0;0;2.4557113647460938e-05;2.7418136596679688e-05;0.06853199005126953;
Geneva-Cherbourg;853.0;853.0;3861.0;3.409385681152344e-05;2.0503997802734375e-05;0.0025970935821533203;
Madrid-Munich;2266.0;2266.0;0;4.482269287109375e-05;6.127357482910156e-05;0.0749044418334961;
Madrid-Cherbourg;1930.0;1930.0;4073.0;4.410743713378906e-05;4.3392181396484375e-05;0.002292156219482422;
Milan-Madrid;1724.0;1724.0;0;3.0517578125e-05;5.745887756347656e-05;0.06830215454101562;
Calais-Barcelona;1522.0;1522.0;0;5.602836608886719e-05;5.1021575927734375e-05;0.06535077095031738;
Marseilles-Athens;2865.0;2865.0;0;3.9577484130859375e-05;6.890296936035156e-05;0.06877827644348145;
