Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Milan-Geneva;328.0;328.0;0;1.2636184692382812e-05;7.62939453125e-06;0.044701576232910156;
Lisbon-Cologne;2264.0;2264.0;0;3.218650817871094e-05;3.790855407714844e-05;0.04771780967712402;
Hamburg-Geneva;1464.0;1464.0;0;5.316734313964844e-05;4.315376281738281e-05;0.048056840896606445;
Barcelona-Hamburg;1804.0;1804.0;0;5.6743621826171875e-05;5.030632019042969e-05;0.05145692825317383;
Hamburg-Marseilles;1479.0;1479.0;0;4.57763671875e-05;4.410743713378906e-05;0.04242396354675293;
Athens-Geneva;2838.0;2838.0;0;3.0040740966796875e-05;1.9073486328125e-05;0.05174684524536133;
Munich-Hamburg;805.0;805.0;0;3.62396240234375e-05;2.4318695068359375e-05;0.047116756439208984;
Hamburg-Lisbon;2337.0;2337.0;0;5.221366882324219e-05;5.936622619628906e-05;0.041358232498168945;
Lyons-Vienna;1683.0;1683.0;0;3.0517578125e-05;5.364418029785156e-05;0.0467228889465332;
Gibraltar-Cologne;2436.0;2436.0;0;4.696846008300781e-05;4.100799560546875e-05;0.04557371139526367;
Stockholm-Barcelona;2908.0;2908.0;7240.0;5.5789947509765625e-05;5.650520324707031e-05;0.0012624263763427734;
Cherbourg-Stockholm;2167.0;2167.0;9672.0;2.6464462280273438e-05;6.29425048828125e-05;0.002593517303466797;
Geneva-Rome;995.0;995.0;0;1.5974044799804688e-05;2.3603439331054688e-05;0.0455472469329834;
Calais-Copenhagen;645.0;645.0;0;2.3603439331054688e-05;2.2411346435546875e-05;0.04389500617980957;
Brussels-Calais;2069.0;2069.0;0;5.054473876953125e-05;6.461143493652344e-05;0.042922258377075195;
Milan-Rome;1323.0;1323.0;0;1.5974044799804688e-05;4.124641418457031e-05;0.04897880554199219;
Geneva-Madrid;1439.0;1439.0;0;2.5272369384765625e-05;4.1961669921875e-05;0.04809403419494629;
Rome-Paris;1803.0;1803.0;1962.0;4.839897155761719e-05;5.626678466796875e-05;0.0013577938079833984;
Hook of Holland-Stockholm;2284.0;2284.0;9211.0;3.910064697265625e-05;6.175041198730469e-05;0.0023000240325927734;
Munich-Lisbon;1902.0;1902.0;0;2.765655517578125e-05;5.459785461425781e-05;0.04300403594970703;
Geneva-Hook of Holland;1608.0;1608.0;0;5.0067901611328125e-05;6.651878356933594e-05;0.04276418685913086;
Copenhagen-Athens;3299.0;3299.0;9264.0;5.364418029785156e-05;6.771087646484375e-05;0.002346038818359375;
Marseilles-Rome;1420.0;1420.0;0;2.0265579223632812e-05;4.5299530029296875e-05;0.0407719612121582;
Vienna-Athens;1991.0;1991.0;1991.0;1.8358230590820312e-05;5.078315734863281e-05;0.0007281303405761719;
Marseilles-Vienna;1363.0;1363.0;0;2.0265579223632812e-05;4.220008850097656e-05;0.04495835304260254;
Calais-Lisbon;2072.0;2072.0;0;4.57763671875e-05;6.198883056640625e-05;0.044478654861450195;
Paris-Geneva;1704.0;1704.0;0;4.8160552978515625e-05;4.00543212890625e-05;0.32454514503479004;
Cherbourg-Munich;1920.0;1920.0;0;4.4345855712890625e-05;5.030632019042969e-05;0.046794891357421875;
Calais-Cherbourg;460.0;460.0;0;1.6689300537109375e-05;1.71661376953125e-05;0.04667925834655762;
Geneva-Brussels;1436.0;1436.0;0;3.337860107421875e-05;3.695487976074219e-05;0.04693722724914551;
Brussels-Hamburg;666.0;666.0;0;2.288818359375e-05;2.1457672119140625e-05;0.04558897018432617;
Lyons-Paris;1112.0;1112.0;0;3.600120544433594e-05;1.9311904907226562e-05;0.04732704162597656;
Paris-Hamburg;877.0;877.0;0;2.1219253540039062e-05;1.7881393432617188e-05;0.31929707527160645;
Madrid-Milan;1724.0;1724.0;0;6.008148193359375e-05;3.147125244140625e-05;0.0435643196105957;
Marseilles-Cherbourg;1278.0;1278.0;0;3.170967102050781e-05;3.981590270996094e-05;0.04848170280456543;
Gibraltar-Marseilles;1855.0;1855.0;0;3.170967102050781e-05;2.0265579223632812e-05;0.0455477237701416;
Cologne-Marseilles;1035.0;1035.0;0;4.3392181396484375e-05;2.9325485229492188e-05;0.349423885345459;
Lyons-Rome;1740.0;1740.0;0;2.765655517578125e-05;5.2928924560546875e-05;0.04565238952636719;
Stockholm-Lisbon;3175.0;3175.0;0;4.6253204345703125e-05;6.175041198730469e-05;0.04193520545959473;
Milan-Lisbon;1664.0;1664.0;0;2.2172927856445312e-05;5.1975250244140625e-05;0.04353642463684082;
Copenhagen-Paris;726.0;726.0;0;6.198883056640625e-05;1.811981201171875e-05;0.045265913009643555;
Munich-Cherbourg;1160.0;1160.0;0;3.075599670410156e-05;3.814697265625e-05;0.04408764839172363;
Hamburg-Lyons;1159.0;1159.0;0;4.291534423828125e-05;3.409385681152344e-05;0.05084419250488281;
Vienna-Munich;428.0;428.0;0;1.3113021850585938e-05;5.9604644775390625e-06;0.04454398155212402;
Copenhagen-Milan;1367.0;1367.0;0;3.6716461181640625e-05;3.1948089599609375e-05;0.04743504524230957;
Marseilles-Munich;1109.0;1109.0;0;3.5762786865234375e-05;3.075599670410156e-05;0.042844533920288086;
Athens-Cologne;3132.0;3132.0;0;4.5299530029296875e-05;3.8623809814453125e-05;0.04266190528869629;
Hook of Holland-Cologne;922.0;922.0;0;3.0994415283203125e-05;2.1696090698242188e-05;0.042496442794799805;
Vienna-Cologne;1381.0;1381.0;0;4.458427429199219e-05;3.552436828613281e-05;0.048679351806640625;
Paris-Hook of Holland;457.0;457.0;0;1.4066696166992188e-05;5.9604644775390625e-06;0.3436305522918701;
Hamburg-Cologne;803.0;803.0;0;1.6689300537109375e-05;1.4543533325195312e-05;0.043541908264160156;
Copenhagen-Munich;1104.0;1104.0;1104.0;2.4318695068359375e-05;2.956390380859375e-05;0.0007703304290771484;
Marseilles-Stockholm;2428.0;2428.0;4345.0;3.528594970703125e-05;6.151199340820312e-05;0.0012011528015136719;
Hook of Holland-Paris;457.0;457.0;0;2.1696090698242188e-05;1.1682510375976562e-05;0.043730974197387695;
Cologne-Athens;3193.0;3193.0;0;4.410743713378906e-05;6.842613220214844e-05;0.331754207611084;
Lisbon-Geneva;1923.0;1923.0;0;2.6464462280273438e-05;2.6941299438476562e-05;0.04326796531677246;
Lisbon-Hook of Holland;2256.0;2256.0;0;4.57763671875e-05;3.123283386230469e-05;0.0515294075012207;
Barcelona-Vienna;2328.0;2328.0;0;4.5299530029296875e-05;6.318092346191406e-05;0.04413747787475586;
Athens-Vienna;1991.0;1991.0;0;1.1682510375976562e-05;6.198883056640625e-06;0.04327535629272461;
Lisbon-Marseilles;1498.0;1498.0;0;2.0503997802734375e-05;1.2159347534179688e-05;0.0449376106262207;
