Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Milan-Gibraltar;2303.0;2303.0;0;3.0994415283203125e-05;5.91278076171875e-05;0.0787043571472168;
Rome-Gibraltar;2704.0;2704.0;0;3.3855438232421875e-05;5.7697296142578125e-05;0.0821840763092041;
Brussels-Athens;3202.0;3202.0;0;5.364418029785156e-05;6.628036499023438e-05;0.13340544700622559;
Cherbourg-Copenhagen;1024.0;1024.0;0;2.7418136596679688e-05;2.384185791015625e-05;0.10020923614501953;
Geneva-Copenhagen;1616.0;1616.0;0;4.9591064453125e-05;5.316734313964844e-05;0.09203648567199707;
Vienna-Madrid;2433.0;2433.0;10780.0;3.266334533691406e-05;5.626678466796875e-05;0.0034236907958984375;
Gibraltar-Marseilles;1855.0;1855.0;0;2.86102294921875e-05;1.9311904907226562e-05;0.0529177188873291;
Gibraltar-Stockholm;3839.0;3839.0;0;4.124641418457031e-05;5.817413330078125e-05;0.08314204216003418;
Barcelona-Rome;1460.0;1460.0;0;2.7894973754882812e-05;3.123283386230469e-05;0.08467650413513184;
Marseilles-Lyons;320.0;320.0;0;1.5497207641601562e-05;7.62939453125e-06;0.06895875930786133;
Geneva-Marseilles;478.0;478.0;0;1.5735626220703125e-05;9.059906005859375e-06;0.06050562858581543;
Copenhagen-Stockholm;2163.0;2163.0;0;2.86102294921875e-05;4.5299530029296875e-05;0.09481930732727051;
Hamburg-Brussels;597.0;597.0;0;1.239776611328125e-05;6.67572021484375e-06;0.06098198890686035;
Lisbon-Hamburg;2337.0;2337.0;0;4.76837158203125e-05;3.743171691894531e-05;0.0492098331451416;
Cologne-Madrid;2192.0;2192.0;5055.0;4.4345855712890625e-05;5.269050598144531e-05;0.0022361278533935547;
Marseilles-Munich;1109.0;1109.0;0;3.4332275390625e-05;2.765655517578125e-05;0.21976613998413086;
Lisbon-Madrid;2459.0;2459.0;11402.0;2.3603439331054688e-05;3.933906555175781e-05;0.0037589073181152344;
Cherbourg-Gibraltar;2045.0;2045.0;0;3.719329833984375e-05;4.744529724121094e-05;0.09609293937683105;
Vienna-Brussels;1175.0;1175.0;0;3.4809112548828125e-05;2.2411346435546875e-05;0.05320477485656738;
Geneva-Milan;1581.0;1581.0;0;3.8623809814453125e-05;4.673004150390625e-05;0.0818634033203125;
Cherbourg-Paris;340.0;340.0;0;1.3589859008789062e-05;7.152557373046875e-06;0.0547480583190918;
Milan-Barcelona;1131.0;1131.0;0;2.2172927856445312e-05;2.3603439331054688e-05;0.10970234870910645;
Calais-Madrid;1807.0;1807.0;9167.0;3.743171691894531e-05;5.1021575927734375e-05;0.005287647247314453;
Paris-Cologne;465.0;465.0;0;1.9311904907226562e-05;9.059906005859375e-06;0.0982816219329834;
Rome-Marseilles;1011.0;1011.0;0;2.3126602172851562e-05;1.3113021850585938e-05;0.06237530708312988;
Gibraltar-Copenhagen;2697.0;2697.0;0;4.5299530029296875e-05;5.0067901611328125e-05;0.10619688034057617;
Calais-Lyons;894.0;894.0;0;4.124641418457031e-05;2.8848648071289062e-05;0.06019473075866699;
Rome-Calais;1663.0;1663.0;0;2.3365020751953125e-05;2.9802322387695312e-05;0.08045554161071777;
Marseilles-Hook of Holland;1183.0;1183.0;0;3.647804260253906e-05;3.3855438232421875e-05;0.04777359962463379;
Marseilles-Calais;1059.0;1059.0;0;1.6689300537109375e-05;2.5272369384765625e-05;0.0786747932434082;
Copenhagen-Milan;1367.0;1367.0;1537.0;3.457069396972656e-05;2.9802322387695312e-05;0.0008401870727539062;
Marseilles-Hamburg;1479.0;1479.0;0;3.5762786865234375e-05;4.839897155761719e-05;0.054808616638183594;
