Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hamburg-Rome;2108.0;2108.0;7242.0;3.933906555175781e-05;4.696846008300781e-05;0.003942966461181641;
Milan-Stockholm;2314.0;2314.0;0;3.0517578125e-05;6.103515625e-05;0.38362669944763184;
Gibraltar-Madrid;698.0;698.0;5442.0;1.2874603271484375e-05;6.4373016357421875e-06;0.005027294158935547;
Copenhagen-Lyons;1619.0;1619.0;2588.0;4.172325134277344e-05;3.933906555175781e-05;0.004180192947387695;
Paris-Athens;3487.0;3487.0;3658.0;4.696846008300781e-05;6.175041198730469e-05;0.0020062923431396484;
Rome-Stockholm;2900.0;2900.0;5264.0;4.2438507080078125e-05;6.103515625e-05;0.002489805221557617;
Milan-Copenhagen;1449.0;1449.0;1944.0;9.72747802734375e-05;5.0067901611328125e-05;0.0020303726196289062;
Lyons-Gibraltar;1817.0;1817.0;4503.0;2.7418136596679688e-05;5.6743621826171875e-05;0.0035848617553710938;
Madrid-Brussels;1558.0;1558.0;4198.0;3.933906555175781e-05;2.2649765014648438e-05;0.002538919448852539;
Brussels-Geneva;1435.0;1435.0;1598.0;4.38690185546875e-05;4.124641418457031e-05;0.0021953582763671875;
Marseilles-Vienna;1363.0;1363.0;0;1.9550323486328125e-05;3.933906555175781e-05;0.24530291557312012;
Stockholm-Vienna;2265.0;2265.0;2265.0;2.7894973754882812e-05;4.1961669921875e-05;0.0024366378784179688;
Barcelona-Gibraltar;1172.0;1172.0;1172.0;2.5510787963867188e-05;1.8358230590820312e-05;0.0007774829864501953;
Milan-Lyons;486.0;486.0;486.0;1.621246337890625e-05;9.059906005859375e-06;0.0016345977783203125;
Stockholm-Barcelona;2908.0;2908.0;3067.0;4.9591064453125e-05;5.1021575927734375e-05;0.004066944122314453;
Geneva-Brussels;1436.0;1436.0;2334.0;3.075599670410156e-05;3.361701965332031e-05;0.0036504268646240234;
Cherbourg-Munich;1920.0;1920.0;2218.0;4.458427429199219e-05;4.8160552978515625e-05;0.002173900604248047;
Gibraltar-Milan;2422.0;2422.0;3819.0;5.507469177246094e-05;3.170967102050781e-05;0.0039730072021484375;
Rome-Gibraltar;2704.0;2704.0;2795.0;2.956390380859375e-05;5.626678466796875e-05;0.001741647720336914;
Calais-Stockholm;1813.0;1813.0;0;2.3126602172851562e-05;5.435943603515625e-05;0.357555627822876;
Gibraltar-Calais;2224.0;2224.0;5826.0;3.0994415283203125e-05;2.47955322265625e-05;0.002001523971557617;
Paris-Madrid;2535.0;2535.0;3735.0;4.076957702636719e-05;5.459785461425781e-05;0.0032389163970947266;
