Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Cherbourg;731.0;731.0;731.0;2.574920654296875e-05;1.7881393432617188e-05;0.0008554458618164062;
Cherbourg-Paris;340.0;340.0;340.0;1.430511474609375e-05;7.62939453125e-06;0.0008809566497802734;
Stockholm-Cologne;1410.0;1410.0;0;3.504753112792969e-05;2.3126602172851562e-05;0.5392823219299316;
Brussels-Hook of Holland;172.0;172.0;172.0;1.430511474609375e-05;6.9141387939453125e-06;0.0010275840759277344;
Paris-Stockholm;1827.0;1827.0;1827.0;1.9073486328125e-05;4.649162292480469e-05;0.0008871555328369141;
Copenhagen-Cologne;760.0;760.0;0;3.0279159545898438e-05;1.8596649169921875e-05;0.5082216262817383;
Cologne-Munich;1265.0;1265.0;1265.0;2.384185791015625e-05;3.790855407714844e-05;0.0013928413391113281;
Barcelona-Calais;1326.0;1326.0;5190.0;2.3603439331054688e-05;2.9087066650390625e-05;0.004148721694946289;
Barcelona-Madrid;1870.0;1870.0;1926.0;2.5987625122070312e-05;5.0067901611328125e-05;0.0012979507446289062;
Geneva-Milan;1581.0;1581.0;8830.0;4.0531158447265625e-05;5.1021575927734375e-05;0.0043392181396484375;
Copenhagen-Marseilles;1452.0;1452.0;1452.0;4.982948303222656e-05;3.552436828613281e-05;0.0013551712036132812;
Munich-Hook of Holland;919.0;919.0;4420.0;3.4809112548828125e-05;2.4318695068359375e-05;0.004225969314575195;
Barcelona-Rome;1460.0;1460.0;4223.0;2.8848648071289062e-05;3.314018249511719e-05;0.003098726272583008;
Hamburg-Vienna;1155.0;1155.0;1155.0;2.1457672119140625e-05;3.123283386230469e-05;0.0007848739624023438;
Geneva-Cherbourg;853.0;853.0;4399.0;3.0279159545898438e-05;1.7642974853515625e-05;0.004469633102416992;
Madrid-Marseilles;1157.0;1157.0;5290.0;2.8848648071289062e-05;1.6450881958007812e-05;0.0027723312377929688;
