Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Lisbon-Hamburg;2337.0;2337.0;0;4.601478576660156e-05;3.647804260253906e-05;0.48211073875427246;
Lisbon-Geneva;1923.0;1923.0;0;2.2649765014648438e-05;2.3126602172851562e-05;0.4863865375518799;
Barcelona-Stockholm;2753.0;2753.0;0;3.647804260253906e-05;5.698204040527344e-05;0.2059006690979004;
Lisbon-Paris;1799.0;1799.0;0;2.6702880859375e-05;1.4543533325195312e-05;0.1259479522705078;
Copenhagen-Paris;726.0;726.0;726.0;2.1696090698242188e-05;1.4066696166992188e-05;0.001191854476928711;
Milan-Madrid;1724.0;1724.0;0;2.47955322265625e-05;4.792213439941406e-05;0.06172347068786621;
Marseilles-Stockholm;2428.0;2428.0;0;3.147125244140625e-05;5.5789947509765625e-05;0.19901657104492188;
Marseilles-Athens;2865.0;2865.0;0;3.170967102050781e-05;5.7697296142578125e-05;0.1128838062286377;
Hook of Holland-Athens;3030.0;3030.0;0;4.315376281738281e-05;6.103515625e-05;0.13838768005371094;
Cologne-Marseilles;1035.0;1035.0;3180.0;3.7670135498046875e-05;2.5987625122070312e-05;0.004648447036743164;
Hamburg-Stockholm;2206.0;2206.0;0;2.288818359375e-05;4.649162292480469e-05;0.20234298706054688;
Hamburg-Marseilles;1479.0;1479.0;2720.0;3.3855438232421875e-05;3.7670135498046875e-05;0.0036077499389648438;
Rome-Calais;1663.0;1663.0;0;2.1696090698242188e-05;2.86102294921875e-05;0.12467765808105469;
Stockholm-Rome;2602.0;2602.0;0;4.57763671875e-05;4.76837158203125e-05;0.1384429931640625;
Stockholm-Lisbon;3175.0;3175.0;0;4.267692565917969e-05;5.53131103515625e-05;0.6160609722137451;
Calais-Stockholm;1813.0;1813.0;0;2.193450927734375e-05;5.173683166503906e-05;0.21041202545166016;
Brussels-Marseilles;1010.0;1010.0;1355.0;4.2438507080078125e-05;2.9802322387695312e-05;0.0018153190612792969;
Cologne-Gibraltar;2436.0;2436.0;3806.0;4.363059997558594e-05;5.698204040527344e-05;0.0028657913208007812;
Madrid-Athens;4006.0;4006.0;0;3.695487976074219e-05;6.127357482910156e-05;0.12925028800964355;
Hook of Holland-Geneva;1426.0;1426.0;1426.0;4.410743713378906e-05;4.673004150390625e-05;0.0014529228210449219;
Rome-Cologne;1497.0;1497.0;0;4.38690185546875e-05;2.3603439331054688e-05;0.16722464561462402;
Rome-Brussels;1867.0;1867.0;0;4.1484832763671875e-05;4.482269287109375e-05;0.20606231689453125;
Barcelona-Copenhagen;1759.0;1759.0;0;4.458427429199219e-05;4.220008850097656e-05;0.15705585479736328;
