Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Geneva-Stockholm;2266.0;2266.0;0;5.316734313964844e-05;7.152557373046875e-05;0.5379605293273926;
Brussels-Cologne;206.0;206.0;0;2.002716064453125e-05;1.239776611328125e-05;0.8589658737182617;
Paris-Rome;2140.0;2140.0;0;5.602836608886719e-05;6.246566772460938e-05;0.6852841377258301;
Rome-Lisbon;2226.0;2226.0;0;3.170967102050781e-05;6.461143493652344e-05;0.7594151496887207;
Marseilles-Gibraltar;1693.0;1693.0;0;3.337860107421875e-05;6.461143493652344e-05;0.7923378944396973;
Hamburg-Athens;2977.0;2977.0;0;3.790855407714844e-05;7.295608520507812e-05;0.19754552841186523;
Hamburg-Rome;2108.0;2108.0;0;4.553794860839844e-05;7.724761962890625e-05;0.7502989768981934;
Paris-Madrid;2535.0;2535.0;0;5.269050598144531e-05;6.890296936035156e-05;0.22665977478027344;
Rome-Madrid;2097.0;2097.0;0;3.552436828613281e-05;6.246566772460938e-05;0.21509528160095215;
Geneva-Lisbon;1336.0;1336.0;0;1.811981201171875e-05;3.910064697265625e-05;0.7960383892059326;
Madrid-Lisbon;1941.0;1941.0;0;2.7418136596679688e-05;4.9114227294921875e-05;0.7900137901306152;
Hook of Holland-Gibraltar;2776.0;2776.0;0;5.173683166503906e-05;7.224082946777344e-05;0.7437794208526611;
Brussels-Vienna;1821.0;1821.0;0;4.458427429199219e-05;6.151199340820312e-05;0.31120729446411133;
Calais-Brussels;204.0;204.0;204.0;1.3828277587890625e-05;6.9141387939453125e-06;0.0011167526245117188;
Milan-Vienna;1347.0;1347.0;1347.0;1.7404556274414062e-05;4.792213439941406e-05;0.0022242069244384766;
Rome-Calais;1663.0;1663.0;0;2.7418136596679688e-05;3.5762786865234375e-05;0.6771740913391113;
Lyons-Stockholm;2108.0;2108.0;0;4.2438507080078125e-05;7.224082946777344e-05;0.5548243522644043;
Madrid-Munich;2266.0;2266.0;0;4.482269287109375e-05;6.389617919921875e-05;0.27938342094421387;
Lyons-Cherbourg;1598.0;1598.0;0;3.695487976074219e-05;5.459785461425781e-05;0.7272043228149414;
