Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Geneva-Cherbourg;853.0;853.0;0;3.719329833984375e-05;2.0742416381835938e-05;0.48640871047973633;
Cologne-Paris;465.0;465.0;0;2.7418136596679688e-05;1.6927719116210938e-05;0.5726478099822998;
Hamburg-Rome;2108.0;2108.0;0;0.0005443096160888672;7.605552673339844e-05;0.5593132972717285;
Lyons-Munich;1429.0;1429.0;1429.0;5.364418029785156e-05;4.8160552978515625e-05;0.002991914749145508;
Lisbon-Marseilles;1498.0;1498.0;1498.0;2.5272369384765625e-05;1.8596649169921875e-05;0.001951456069946289;
Lisbon-Hook of Holland;2256.0;2256.0;0;5.2928924560546875e-05;3.457069396972656e-05;0.511286735534668;
Vienna-Stockholm;2105.0;2105.0;3353.0;5.054473876953125e-05;6.246566772460938e-05;0.004727602005004883;
Paris-Cologne;465.0;465.0;465.0;2.47955322265625e-05;1.1205673217773438e-05;0.0009312629699707031;
Hook of Holland-Lisbon;2256.0;2256.0;2256.0;5.221366882324219e-05;6.389617919921875e-05;0.002811431884765625;
Cherbourg-Milan;1209.0;1209.0;8133.0;3.9577484130859375e-05;3.910064697265625e-05;0.006448507308959961;
Calais-Paris;800.0;800.0;0;2.6464462280273438e-05;2.8133392333984375e-05;0.52707839012146;
Marseilles-Brussels;1011.0;1011.0;0;4.363059997558594e-05;2.4318695068359375e-05;0.5245401859283447;
Madrid-Cherbourg;1930.0;1930.0;0;4.9114227294921875e-05;4.7206878662109375e-05;0.5292398929595947;
Madrid-Hook of Holland;1730.0;1730.0;0;4.935264587402344e-05;3.838539123535156e-05;0.3523902893066406;
Athens-Munich;2179.0;2179.0;2179.0;1.7642974853515625e-05;1.0251998901367188e-05;0.001232147216796875;
Cherbourg-Calais;2160.0;2160.0;7015.0;4.696846008300781e-05;6.556510925292969e-05;0.007409334182739258;
Barcelona-Hamburg;1804.0;1804.0;0;6.008148193359375e-05;5.340576171875e-05;0.5298848152160645;
Vienna-Hamburg;1155.0;1155.0;0;4.649162292480469e-05;2.2172927856445312e-05;0.5347163677215576;
Milan-Brussels;1281.0;1281.0;0;4.506111145019531e-05;3.981590270996094e-05;0.5099923610687256;
Cherbourg-Stockholm;2167.0;2167.0;6286.0;2.7179718017578125e-05;6.556510925292969e-05;0.007093906402587891;
Gibraltar-Hamburg;2896.0;2896.0;0;5.507469177246094e-05;6.031990051269531e-05;0.539738655090332;
Lyons-Marseilles;320.0;320.0;320.0;1.71661376953125e-05;7.62939453125e-06;0.0009765625;
Hamburg-Copenhagen;1038.0;1038.0;1038.0;0.04842114448547363;4.291534423828125e-05;0.002963542938232422;
Hook of Holland-Paris;457.0;457.0;0;3.647804260253906e-05;1.6450881958007812e-05;0.8788619041442871;
Paris-Cherbourg;1188.0;1188.0;0;2.5510787963867188e-05;2.2172927856445312e-05;0.5262985229492188;
Rome-Gibraltar;2704.0;2704.0;2865.0;3.457069396972656e-05;5.984306335449219e-05;0.002101421356201172;
Brussels-Rome;1511.0;1511.0;0;4.100799560546875e-05;4.410743713378906e-05;0.5655910968780518;
Stockholm-Copenhagen;650.0;650.0;650.0;1.4066696166992188e-05;6.198883056640625e-06;0.0009372234344482422;
Brussels-Copenhagen;441.0;441.0;441.0;1.5735626220703125e-05;1.3113021850585938e-05;0.0017642974853515625;
Milan-Hook of Holland;1180.0;1180.0;0;3.1948089599609375e-05;2.5987625122070312e-05;0.5025849342346191;
Lyons-Gibraltar;1817.0;1817.0;1817.0;2.4080276489257812e-05;5.3882598876953125e-05;0.0010099411010742188;
Cologne-Lyons;1355.0;1355.0;0;3.8623809814453125e-05;3.62396240234375e-05;0.5662007331848145;
Geneva-Milan;1581.0;1581.0;1918.0;3.695487976074219e-05;4.673004150390625e-05;0.004717588424682617;
Milan-Hamburg;1238.0;1238.0;0;3.170967102050781e-05;3.170967102050781e-05;0.5135984420776367;
Brussels-Calais;2069.0;2069.0;0;4.363059997558594e-05;5.5789947509765625e-05;0.5416109561920166;
Brussels-Vienna;1821.0;1821.0;0;3.504753112792969e-05;4.935264587402344e-05;0.5704777240753174;
Brussels-Gibraltar;2490.0;2490.0;0;4.124641418457031e-05;5.817413330078125e-05;0.5286495685577393;
Lyons-Calais;1379.0;1379.0;2837.0;0.0002396106719970703;6.29425048828125e-05;0.003540515899658203;
Gibraltar-Lisbon;2477.0;2477.0;3311.0;4.601478576660156e-05;4.9591064453125e-05;0.002990245819091797;
Cologne-Gibraltar;2436.0;2436.0;0;5.054473876953125e-05;6.031990051269531e-05;0.6145894527435303;
Barcelona-Cherbourg;1294.0;1294.0;0;4.839897155761719e-05;2.1696090698242188e-05;0.5392062664031982;
Copenhagen-Rome;1952.0;1952.0;0;4.100799560546875e-05;4.267692565917969e-05;0.5333340167999268;
Munich-Milan;331.0;331.0;331.0;1.3113021850585938e-05;1.0967254638671875e-05;0.0009922981262207031;
Madrid-Paris;1669.0;1669.0;0;3.910064697265625e-05;2.7418136596679688e-05;0.4739573001861572;
Milan-Geneva;328.0;328.0;328.0;1.0967254638671875e-05;6.4373016357421875e-06;0.0010752677917480469;
Lisbon-Hamburg;2337.0;2337.0;0;4.673004150390625e-05;3.6716461181640625e-05;0.48790860176086426;
Brussels-Madrid;1971.0;1971.0;0;4.267692565917969e-05;5.435943603515625e-05;0.8515396118164062;
Vienna-Milan;759.0;759.0;3828.0;1.6927719116210938e-05;1.0251998901367188e-05;0.004748344421386719;
Hook of Holland-Calais;2175.0;2175.0;0;4.7206878662109375e-05;5.14984130859375e-05;0.5665857791900635;
Cologne-Barcelona;1498.0;1498.0;0;3.9577484130859375e-05;4.1484832763671875e-05;0.5558955669403076;
Rome-Stockholm;2900.0;2900.0;4562.0;4.00543212890625e-05;6.008148193359375e-05;0.008773565292358398;
Cologne-Hamburg;460.0;460.0;460.0;1.8835067749023438e-05;1.0967254638671875e-05;0.0010509490966796875;
Hook of Holland-Vienna;1884.0;1884.0;0;2.47955322265625e-05;4.220008850097656e-05;0.49771618843078613;
Stockholm-Vienna;2265.0;2265.0;0;2.7418136596679688e-05;4.029273986816406e-05;0.5140149593353271;
Cherbourg-Hamburg;1115.0;1115.0;0;2.956390380859375e-05;2.8848648071289062e-05;0.50881028175354;
Hamburg-Brussels;597.0;597.0;597.0;1.2159347534179688e-05;5.9604644775390625e-06;0.0009388923645019531;
Gibraltar-Stockholm;3839.0;3839.0;4241.0;5.173683166503906e-05;5.6743621826171875e-05;0.0028793811798095703;
Vienna-Barcelona;1793.0;1793.0;1890.0;2.9325485229492188e-05;4.291534423828125e-05;0.006619930267333984;
Lisbon-Milan;2938.0;2938.0;2938.0;4.744529724121094e-05;5.1975250244140625e-05;0.003527402877807617;
Munich-Brussels;747.0;747.0;0;3.0517578125e-05;1.6450881958007812e-05;0.4499173164367676;
