Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Lyons-Rome;1740.0;1740.0;0;2.4080276489257812e-05;4.8160552978515625e-05;0.10442805290222168;
Cherbourg-Stockholm;2167.0;2167.0;0;2.288818359375e-05;5.435943603515625e-05;0.11813569068908691;
Munich-Milan;331.0;331.0;0;1.2159347534179688e-05;6.4373016357421875e-06;0.2232959270477295;
Hook of Holland-Gibraltar;2776.0;2776.0;0;4.267692565917969e-05;5.626678466796875e-05;0.17383289337158203;
Madrid-Gibraltar;698.0;698.0;0;1.6689300537109375e-05;1.0967254638671875e-05;0.17205166816711426;
Rome-Hamburg;1751.0;1751.0;0;4.38690185546875e-05;3.24249267578125e-05;0.12085366249084473;
Barcelona-Cherbourg;1294.0;1294.0;0;3.600120544433594e-05;2.0265579223632812e-05;0.14239954948425293;
Calais-Brussels;204.0;204.0;0;9.775161743164062e-06;4.76837158203125e-06;0.22053861618041992;
Munich-Brussels;747.0;747.0;0;2.9087066650390625e-05;1.5735626220703125e-05;0.2257218360900879;
Rome-Barcelona;1693.0;1693.0;2995.0;2.5033950805664062e-05;3.0040740966796875e-05;0.0020253658294677734;
Rome-Brussels;1867.0;1867.0;0;4.1484832763671875e-05;4.291534423828125e-05;0.22664260864257812;
Athens-Cologne;3132.0;3132.0;7851.0;4.029273986816406e-05;3.361701965332031e-05;0.004242897033691406;
Paris-Munich;1682.0;1682.0;0;2.86102294921875e-05;3.2901763916015625e-05;0.21954655647277832;
Hook of Holland-Stockholm;2284.0;2284.0;0;3.2901763916015625e-05;5.3882598876953125e-05;0.11084103584289551;
Cherbourg-Paris;340.0;340.0;0;1.2874603271484375e-05;7.3909759521484375e-06;0.22723817825317383;
Barcelona-Gibraltar;1172.0;1172.0;0;2.3365020751953125e-05;1.7881393432617188e-05;0.17965030670166016;
Cologne-Gibraltar;2436.0;2436.0;0;4.3392181396484375e-05;5.602836608886719e-05;0.17255806922912598;
Paris-Geneva;1704.0;1704.0;0;4.3392181396484375e-05;3.5762786865234375e-05;0.23145294189453125;
Brussels-Marseilles;1010.0;1010.0;0;4.100799560546875e-05;2.8848648071289062e-05;0.22418475151062012;
Barcelona-Lisbon;1305.0;1305.0;0;1.5735626220703125e-05;2.4080276489257812e-05;0.20388579368591309;
Geneva-Athens;2911.0;2911.0;0;3.409385681152344e-05;5.91278076171875e-05;0.2312941551208496;
Geneva-Stockholm;2266.0;2266.0;0;4.172325134277344e-05;5.650520324707031e-05;0.11739683151245117;
Paris-Lisbon;1799.0;1799.0;0;3.981590270996094e-05;3.743171691894531e-05;0.18148541450500488;
Rome-Hook of Holland;1766.0;1766.0;0;4.363059997558594e-05;3.62396240234375e-05;0.2588939666748047;
