Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Geneva-Lyons;158.0;158.0;158.0;2.3603439331054688e-05;5.0067901611328125e-06;0.0010569095611572266;
Lisbon-Copenhagen;2525.0;2525.0;2828.0;4.5299530029296875e-05;4.2438507080078125e-05;0.0025856494903564453;
Cherbourg-Lyons;789.0;789.0;1695.0;3.62396240234375e-05;1.9311904907226562e-05;0.0026929378509521484;
Cologne-Madrid;2192.0;2192.0;4637.0;8.368492126464844e-05;5.316734313964844e-05;0.005238533020019531;
Hook of Holland-Paris;457.0;457.0;457.0;2.002716064453125e-05;1.049041748046875e-05;0.0010230541229248047;
Geneva-Gibraltar;1975.0;1975.0;0;2.5987625122070312e-05;5.3882598876953125e-05;0.8565874099731445;
Hook of Holland-Lyons;1503.0;1503.0;5933.0;4.458427429199219e-05;3.647804260253906e-05;0.00302886962890625;
Cologne-Paris;465.0;465.0;0;2.193450927734375e-05;1.3589859008789062e-05;0.07901740074157715;
Cologne-Marseilles;1035.0;1035.0;3762.0;3.719329833984375e-05;2.574920654296875e-05;0.004475831985473633;
Cherbourg-Gibraltar;2045.0;2045.0;0;3.62396240234375e-05;4.696846008300781e-05;0.8659708499908447;
Calais-Hook of Holland;376.0;376.0;5953.0;1.621246337890625e-05;9.059906005859375e-06;0.009592533111572266;
Lisbon-Hook of Holland;2256.0;2256.0;3212.0;3.9577484130859375e-05;2.7418136596679688e-05;0.002647876739501953;
Rome-Cherbourg;1767.0;1767.0;0;2.5033950805664062e-05;3.933906555175781e-05;0.07512855529785156;
Athens-Lyons;2903.0;2903.0;2903.0;2.7894973754882812e-05;1.7881393432617188e-05;0.002146005630493164;
Madrid-Lisbon;1941.0;1941.0;6363.0;2.2172927856445312e-05;4.00543212890625e-05;0.004620075225830078;
Paris-Athens;3487.0;3487.0;3487.0;4.506111145019531e-05;5.984306335449219e-05;0.0025110244750976562;
Brussels-Cherbourg;903.0;903.0;1206.0;2.288818359375e-05;2.5987625122070312e-05;0.004129648208618164;
Milan-Geneva;328.0;328.0;328.0;1.0967254638671875e-05;5.7220458984375e-06;0.0011305809020996094;
Copenhagen-Marseilles;1452.0;1452.0;1452.0;4.410743713378906e-05;3.147125244140625e-05;0.001968860626220703;
Munich-Lyons;724.0;724.0;724.0;1.8835067749023438e-05;1.239776611328125e-05;0.001323699951171875;
Lyons-Milan;1760.0;1760.0;6888.0;4.839897155761719e-05;5.0067901611328125e-05;0.006531238555908203;
Lyons-Vienna;1683.0;1683.0;0;2.6941299438476562e-05;4.482269287109375e-05;0.2078566551208496;
Madrid-Rome;2096.0;2096.0;5790.0;2.8371810913085938e-05;4.5299530029296875e-05;0.003946065902709961;
Rome-Gibraltar;2704.0;2704.0;0;2.8371810913085938e-05;5.340576171875e-05;0.8811466693878174;
Vienna-Lisbon;2330.0;2330.0;2330.0;2.6226043701171875e-05;5.14984130859375e-05;0.0026183128356933594;
Gibraltar-Madrid;698.0;698.0;4671.0;1.1682510375976562e-05;6.67572021484375e-06;0.0032966136932373047;
Madrid-Munich;2266.0;2266.0;4942.0;3.719329833984375e-05;5.173683166503906e-05;0.0025827884674072266;
Marseilles-Hamburg;1479.0;1479.0;2655.0;3.5762786865234375e-05;4.6253204345703125e-05;0.0025272369384765625;
Barcelona-Cologne;1498.0;1498.0;0;2.7418136596679688e-05;3.528594970703125e-05;0.20083260536193848;
Calais-Hamburg;870.0;870.0;1596.0;2.4557113647460938e-05;2.4080276489257812e-05;0.0018017292022705078;
Lisbon-Rome;2918.0;2918.0;6295.0;2.574920654296875e-05;4.8160552978515625e-05;0.004306316375732422;
Rome-Hamburg;1751.0;1751.0;3259.0;4.3392181396484375e-05;3.2901763916015625e-05;0.0033257007598876953;
Marseilles-Athens;2865.0;2865.0;5276.0;3.1948089599609375e-05;5.698204040527344e-05;0.004111051559448242;
Milan-Athens;2282.0;2282.0;2282.0;2.0503997802734375e-05;5.245208740234375e-05;0.0008883476257324219;
Madrid-Vienna;2520.0;2520.0;0;3.981590270996094e-05;5.2928924560546875e-05;0.16737842559814453;
Gibraltar-Marseilles;1855.0;1855.0;5988.0;2.7418136596679688e-05;1.7881393432617188e-05;0.004747629165649414;
Cologne-Milan;911.0;911.0;3420.0;3.0994415283203125e-05;1.9311904907226562e-05;0.0034880638122558594;
Milan-Lyons;486.0;486.0;486.0;1.5735626220703125e-05;8.344650268554688e-06;0.0019121170043945312;
Marseilles-Munich;1109.0;1109.0;2547.0;4.1961669921875e-05;2.7179718017578125e-05;0.0035109519958496094;
Cherbourg-Stockholm;2167.0;2167.0;3803.0;2.1696090698242188e-05;5.507469177246094e-05;0.0033943653106689453;
Cologne-Geneva;1239.0;1239.0;0;3.981590270996094e-05;3.337860107421875e-05;0.0899662971496582;
Lisbon-Barcelona;1823.0;1823.0;1823.0;2.4318695068359375e-05;1.7881393432617188e-05;0.0016937255859375;
Hamburg-Gibraltar;2897.0;2897.0;0;4.649162292480469e-05;5.793571472167969e-05;0.8519423007965088;
Marseilles-Hook of Holland;1183.0;1183.0;5264.0;3.62396240234375e-05;3.361701965332031e-05;0.0034720897674560547;
Paris-Vienna;2032.0;2032.0;0;2.86102294921875e-05;4.649162292480469e-05;0.8757357597351074;
Lyons-Madrid;1281.0;1281.0;1477.0;2.288818359375e-05;2.4557113647460938e-05;0.0018954277038574219;
Vienna-Madrid;2433.0;2433.0;4825.0;3.0279159545898438e-05;5.364418029785156e-05;0.00485682487487793;
Milan-Rome;1323.0;1323.0;7959.0;1.430511474609375e-05;3.8623809814453125e-05;0.006635189056396484;
Lisbon-Gibraltar;2995.0;2995.0;0;2.9802322387695312e-05;5.5789947509765625e-05;0.9025006294250488;
Lisbon-Calais;2052.0;2052.0;0;2.1457672119140625e-05;2.5272369384765625e-05;0.1302027702331543;
Lisbon-Paris;1799.0;1799.0;0;2.765655517578125e-05;1.4543533325195312e-05;0.07173442840576172;
Calais-Copenhagen;645.0;645.0;6311.0;2.1457672119140625e-05;2.0265579223632812e-05;0.006143331527709961;
Cherbourg-Calais;2160.0;2160.0;0;3.910064697265625e-05;5.6743621826171875e-05;0.7452895641326904;
Cologne-Cherbourg;1000.0;1000.0;1000.0;2.2649765014648438e-05;2.3603439331054688e-05;0.0021326541900634766;
Gibraltar-Munich;2565.0;2565.0;4097.0;3.62396240234375e-05;4.57763671875e-05;0.003960847854614258;
Barcelona-Lisbon;1305.0;1305.0;1823.0;1.5735626220703125e-05;2.47955322265625e-05;0.002766132354736328;
Athens-Paris;3000.0;3000.0;0;4.1961669921875e-05;2.7179718017578125e-05;0.4635045528411865;
Milan-Stockholm;2314.0;2314.0;2594.0;2.9087066650390625e-05;5.9604644775390625e-05;0.004027128219604492;
Vienna-Calais;1381.0;1381.0;0;2.3365020751953125e-05;3.0517578125e-05;0.787468671798706;
Marseilles-Barcelona;965.0;965.0;7561.0;2.193450927734375e-05;1.6689300537109375e-05;0.0072443485260009766;
