Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1884.0;1884.0;0;2.5987625122070312e-05;4.2438507080078125e-05;0.2980210781097412;
Stockholm-Vienna;2265.0;2265.0;0;2.86102294921875e-05;4.2438507080078125e-05;0.28618669509887695;
Hamburg-Vienna;1155.0;1155.0;0;2.0503997802734375e-05;2.956390380859375e-05;0.29765748977661133;
Vienna-Paris;1662.0;1662.0;0;4.744529724121094e-05;4.220008850097656e-05;0.33402514457702637;
Hook of Holland-Barcelona;2148.0;2148.0;0;4.863739013671875e-05;4.935264587402344e-05;0.3544125556945801;
Barcelona-Cherbourg;1294.0;1294.0;0;3.814697265625e-05;2.1696090698242188e-05;0.17871522903442383;
Barcelona-Lisbon;1305.0;1305.0;0;1.621246337890625e-05;2.4318695068359375e-05;0.29836583137512207;
Athens-Gibraltar;4485.0;4485.0;0;3.695487976074219e-05;5.817413330078125e-05;0.6805515289306641;
Calais-Marseilles;1214.0;1214.0;1445.0;5.888938903808594e-05;3.7670135498046875e-05;0.0026612281799316406;
Paris-Barcelona;1963.0;1963.0;0;4.839897155761719e-05;4.553794860839844e-05;0.3650064468383789;
Paris-Marseilles;1500.0;1500.0;5334.0;4.6253204345703125e-05;2.9802322387695312e-05;0.0045719146728515625;
Milan-Gibraltar;2303.0;2303.0;0;3.075599670410156e-05;5.7697296142578125e-05;0.7242565155029297;
Vienna-Cologne;1381.0;1381.0;0;4.1961669921875e-05;3.361701965332031e-05;0.6896562576293945;
Lyons-Hook of Holland;1503.0;1503.0;0;4.076957702636719e-05;4.267692565917969e-05;0.41590356826782227;
Stockholm-Gibraltar;3695.0;3695.0;0;4.982948303222656e-05;6.0558319091796875e-05;0.38428759574890137;
Rome-Cherbourg;1767.0;1767.0;0;2.6464462280273438e-05;4.0531158447265625e-05;0.1609945297241211;
Vienna-Barcelona;1793.0;1793.0;0;2.9325485229492188e-05;4.4345855712890625e-05;0.34869980812072754;
Vienna-Copenhagen;1474.0;1474.0;0;4.506111145019531e-05;3.600120544433594e-05;0.3125956058502197;
Copenhagen-Barcelona;2258.0;2258.0;0;5.125999450683594e-05;4.8160552978515625e-05;0.33069753646850586;
Cherbourg-Brussels;583.0;583.0;583.0;1.9073486328125e-05;1.049041748046875e-05;0.0009009838104248047;
Barcelona-Cologne;1498.0;1498.0;0;2.8848648071289062e-05;3.6716461181640625e-05;0.7022891044616699;
Barcelona-Calais;1326.0;1326.0;2024.0;2.2411346435546875e-05;2.6941299438476562e-05;0.0023403167724609375;
Madrid-Copenhagen;1999.0;1999.0;0;4.172325134277344e-05;4.601478576660156e-05;0.31523776054382324;
Rome-Copenhagen;2035.0;2035.0;0;0.00018215179443359375;5.602836608886719e-05;0.30705976486206055;
Cherbourg-Hamburg;1115.0;1115.0;1249.0;3.361701965332031e-05;3.0994415283203125e-05;0.003429889678955078;
