Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Marseilles-Stockholm;2428.0;2428.0;2691.0;3.695487976074219e-05;6.318092346191406e-05;0.003171682357788086;
Barcelona-Gibraltar;1172.0;1172.0;0;2.7894973754882812e-05;2.002716064453125e-05;0.13061094284057617;
Copenhagen-Cologne;760.0;760.0;1191.0;3.1948089599609375e-05;1.9073486328125e-05;0.0024263858795166016;
Athens-Marseilles;3128.0;3128.0;3316.0;3.409385681152344e-05;3.719329833984375e-05;0.003827333450317383;
Madrid-Brussels;1558.0;1558.0;0;4.291534423828125e-05;2.4318695068359375e-05;0.40561628341674805;
Geneva-Barcelona;803.0;803.0;0;2.4318695068359375e-05;1.4543533325195312e-05;0.12662339210510254;
Vienna-Munich;428.0;428.0;428.0;1.2159347534179688e-05;6.4373016357421875e-06;0.0008540153503417969;
Cologne-Lyons;1355.0;1355.0;4135.0;4.3392181396484375e-05;4.1484832763671875e-05;0.006274700164794922;
Barcelona-Milan;2046.0;2046.0;0;5.221366882324219e-05;5.841255187988281e-05;0.6709461212158203;
Brussels-Lyons;690.0;690.0;3281.0;4.291534423828125e-05;2.5272369384765625e-05;0.005468130111694336;
Geneva-Madrid;1439.0;1439.0;0;2.5033950805664062e-05;4.9591064453125e-05;0.6993527412414551;
Geneva-Copenhagen;1616.0;1616.0;0;5.459785461425781e-05;5.793571472167969e-05;0.6208796501159668;
Rome-Hook of Holland;1766.0;1766.0;3420.0;4.935264587402344e-05;4.100799560546875e-05;0.005185842514038086;
Vienna-Calais;1381.0;1381.0;2624.0;2.6941299438476562e-05;3.337860107421875e-05;0.004647493362426758;
Hamburg-Rome;2108.0;2108.0;0;4.291534423828125e-05;5.054473876953125e-05;0.6188809871673584;
Lisbon-Paris;1799.0;1799.0;0;3.075599670410156e-05;1.5974044799804688e-05;0.6104209423065186;
Geneva-Munich;1447.0;1447.0;1587.0;3.790855407714844e-05;4.2438507080078125e-05;0.0025827884674072266;
Gibraltar-Athens;4570.0;4570.0;0;4.100799560546875e-05;6.604194641113281e-05;0.2989311218261719;
Athens-Calais;3372.0;3372.0;4375.0;2.956390380859375e-05;4.887580871582031e-05;0.007386445999145508;
Hamburg-Lyons;1159.0;1159.0;1622.0;4.2438507080078125e-05;3.337860107421875e-05;0.004740476608276367;
Gibraltar-Cologne;2436.0;2436.0;0;4.506111145019531e-05;3.7670135498046875e-05;0.45987725257873535;
Brussels-Madrid;1971.0;1971.0;0;4.6253204345703125e-05;5.745887756347656e-05;0.6528964042663574;
Marseilles-Vienna;1363.0;1363.0;3319.0;2.0742416381835938e-05;4.124641418457031e-05;0.004923105239868164;
Marseilles-Lyons;320.0;320.0;1926.0;1.6450881958007812e-05;8.58306884765625e-06;0.004858255386352539;
Lisbon-Brussels;2256.0;2256.0;0;3.790855407714844e-05;3.24249267578125e-05;0.411104679107666;
Cherbourg-Cologne;785.0;785.0;0;2.0742416381835938e-05;1.7642974853515625e-05;0.4456186294555664;
Milan-Lisbon;1664.0;1664.0;0;2.0265579223632812e-05;4.9591064453125e-05;0.6317071914672852;
Athens-Rome;3833.0;3833.0;0;2.47955322265625e-05;5.1021575927734375e-05;0.6242897510528564;
Cherbourg-Barcelona;1434.0;1434.0;1983.0;4.029273986816406e-05;4.100799560546875e-05;0.001943349838256836;
Paris-Calais;2453.0;2453.0;2559.0;5.2928924560546875e-05;5.6743621826171875e-05;0.0027306079864501953;
