Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Brussels-Vienna;1175.0;1175.0;5250.0;4.172325134277344e-05;4.863739013671875e-05;0.006200313568115234;
Geneva-Hamburg;1118.0;1118.0;0;5.841255187988281e-05;3.7670135498046875e-05;0.3409428596496582;
Madrid-Rome;2749.0;2749.0;2749.0;2.574920654296875e-05;6.246566772460938e-05;0.0014147758483886719;
Athens-Gibraltar;4485.0;4485.0;0;3.24249267578125e-05;7.200241088867188e-05;0.8061885833740234;
Geneva-Copenhagen;1418.0;1418.0;1480.0;4.744529724121094e-05;5.2928924560546875e-05;0.002641916275024414;
Milan-Copenhagen;1367.0;1367.0;1449.0;3.7670135498046875e-05;4.2438507080078125e-05;0.002015352249145508;
Brussels-Gibraltar;2256.0;2256.0;2256.0;3.886222839355469e-05;7.176399230957031e-05;0.0007007122039794922;
Cologne-Copenhagen;538.0;538.0;538.0;2.2411346435546875e-05;1.4781951904296875e-05;0.0011742115020751953;
Paris-Barcelona;1312.0;1312.0;1312.0;3.981590270996094e-05;4.601478576660156e-05;0.002049684524536133;
Marseilles-Geneva;478.0;478.0;478.0;1.8358230590820312e-05;1.2159347534179688e-05;0.001489400863647461;
Brussels-Cherbourg;625.0;625.0;0;3.314018249511719e-05;2.7894973754882812e-05;0.3328704833984375;
Brussels-Rome;1761.0;1761.0;3044.0;3.1948089599609375e-05;0.00013303756713867188;0.0027344226837158203;
Lisbon-Copenhagen;2430.0;2430.0;2430.0;0.00015807151794433594;7.891654968261719e-05;0.0032155513763427734;
Madrid-Hamburg;2198.0;2198.0;0;6.532669067382812e-05;2.9325485229492188e-05;0.8728270530700684;
Munich-Barcelona;1630.0;1630.0;5422.0;6.961822509765625e-05;5.8650970458984375e-05;0.00415492057800293;
Vienna-Gibraltar;2974.0;2974.0;0;3.0040740966796875e-05;6.937980651855469e-05;0.8555517196655273;
Gibraltar-Hook of Holland;2428.0;2428.0;7455.0;5.745887756347656e-05;4.410743713378906e-05;0.004373311996459961;
Athens-Vienna;1991.0;1991.0;4623.0;1.71661376953125e-05;8.821487426757812e-06;0.0037283897399902344;
Madrid-Vienna;2409.0;2409.0;2896.0;4.124641418457031e-05;3.218650817871094e-05;0.0035469532012939453;
Lisbon-Barcelona;1305.0;1305.0;2019.0;4.553794860839844e-05;2.3126602172851562e-05;0.0027818679809570312;
Marseilles-Hook of Holland;1303.0;1303.0;1303.0;6.318092346191406e-05;4.8160552978515625e-05;0.002346038818359375;
Paris-Milan;799.0;799.0;799.0;3.123283386230469e-05;2.4080276489257812e-05;0.0012860298156738281;
Cologne-Rome;2202.0;2202.0;0;5.078315734863281e-05;6.198883056640625e-05;0.8454511165618896;
Paris-Brussels;1306.0;1306.0;1306.0;3.504753112792969e-05;4.100799560546875e-05;0.0028929710388183594;
Munich-Stockholm;1754.0;1754.0;5871.0;2.574920654296875e-05;5.7697296142578125e-05;0.003359556198120117;
Copenhagen-Vienna;1475.0;1475.0;1549.0;4.1961669921875e-05;6.0558319091796875e-05;0.002758026123046875;
Cologne-Barcelona;1555.0;1555.0;1555.0;4.267692565917969e-05;5.507469177246094e-05;0.0020449161529541016;
Cherbourg-Hook of Holland;1794.0;1794.0;1794.0;4.696846008300781e-05;5.53131103515625e-05;0.0026056766510009766;
Calais-Hamburg;1059.0;1059.0;0;3.910064697265625e-05;4.673004150390625e-05;0.3223896026611328;
Lisbon-Milan;1506.0;1506.0;1506.0;5.221366882324219e-05;3.528594970703125e-05;0.0014681816101074219;
Marseilles-Cologne;1034.0;1034.0;0;5.221366882324219e-05;2.7179718017578125e-05;0.6895887851715088;
Geneva-Calais;881.0;881.0;881.0;3.361701965332031e-05;3.2901763916015625e-05;0.0015130043029785156;
Brussels-Barcelona;1318.0;1318.0;0;5.435943603515625e-05;5.53131103515625e-05;1.1126642227172852;
Munich-Geneva;1450.0;1450.0;4739.0;3.981590270996094e-05;4.3392181396484375e-05;0.004326820373535156;
Hook of Holland-Lisbon;2280.0;2280.0;0;4.291534423828125e-05;6.413459777832031e-05;0.809990406036377;
Cherbourg-Stockholm;2196.0;2196.0;2196.0;5.435943603515625e-05;6.914138793945312e-05;0.001087188720703125;
Lisbon-Hamburg;2454.0;2454.0;0;6.175041198730469e-05;6.771087646484375e-05;0.7902617454528809;
Lisbon-Geneva;1336.0;1336.0;1336.0;3.552436828613281e-05;2.8371810913085938e-05;0.0019354820251464844;
Milan-Cherbourg;1196.0;1196.0;0;2.4557113647460938e-05;3.6716461181640625e-05;0.321530818939209;
Cherbourg-Paris;340.0;340.0;340.0;1.9550323486328125e-05;7.867813110351562e-06;0.0009667873382568359;
Copenhagen-Barcelona;1759.0;1759.0;0;6.151199340820312e-05;5.984306335449219e-05;0.8290290832519531;
Milan-Hook of Holland;1098.0;1098.0;1921.0;3.314018249511719e-05;3.4332275390625e-05;0.0026161670684814453;
Brussels-Gibraltar;2256.0;2256.0;2256.0;3.528594970703125e-05;6.961822509765625e-05;0.0006692409515380859;
Hamburg-Munich;1043.0;1043.0;1043.0;2.2411346435546875e-05;3.719329833984375e-05;0.0015888214111328125;
Athens-Lyons;2753.0;2753.0;0;4.601478576660156e-05;1.71661376953125e-05;0.8099613189697266;
Lisbon-Rome;2700.0;2700.0;0;4.267692565917969e-05;7.104873657226562e-05;0.8183872699737549;
Stockholm-Hamburg;949.0;949.0;0;1.2874603271484375e-05;5.9604644775390625e-06;0.8159897327423096;
Cherbourg-Rome;1816.0;1816.0;1816.0;2.574920654296875e-05;5.555152893066406e-05;0.0014357566833496094;
Madrid-Lyons;1744.0;1744.0;1744.0;2.6941299438476562e-05;1.4543533325195312e-05;0.0014586448669433594;
Athens-Munich;3345.0;3345.0;4195.0;3.457069396972656e-05;4.9591064453125e-05;0.0030438899993896484;
Lisbon-Cologne;1892.0;1892.0;0;5.6743621826171875e-05;4.1961669921875e-05;0.7355492115020752;
Vienna-Cologne;1474.0;1474.0;0;3.0040740966796875e-05;2.5987625122070312e-05;0.7067089080810547;
Hamburg-Cologne;460.0;460.0;460.0;1.6927719116210938e-05;9.775161743164062e-06;0.0007915496826171875;
Gibraltar-Cherbourg;2047.0;2047.0;0;3.981590270996094e-05;2.86102294921875e-05;0.35146236419677734;
Rome-Munich;2055.0;2055.0;2613.0;2.765655517578125e-05;5.698204040527344e-05;0.0018970966339111328;
Madrid-Lyons;1744.0;1744.0;1744.0;2.6941299438476562e-05;1.430511474609375e-05;0.0016641616821289062;
Stockholm-Gibraltar;3802.0;3802.0;0;6.246566772460938e-05;6.914138793945312e-05;0.8190648555755615;
Stockholm-Copenhagen;1409.0;1409.0;3360.0;3.4809112548828125e-05;1.8596649169921875e-05;0.0027484893798828125;
