Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Cherbourg-Stockholm;2196.0;2196.0;2928.0;4.7206878662109375e-05;6.389617919921875e-05;0.010730981826782227;
Milan-Hamburg;1827.0;1827.0;0;5.3882598876953125e-05;5.078315734863281e-05;0.4254012107849121;
Barcelona-Milan;973.0;973.0;0;2.6226043701171875e-05;1.8358230590820312e-05;0.3284485340118408;
Cologne-Brussels;1504.0;1504.0;0;3.790855407714844e-05;4.6253204345703125e-05;0.31006860733032227;
Lyons-Munich;724.0;724.0;0;2.1696090698242188e-05;2.2172927856445312e-05;0.3283121585845947;
Milan-Cherbourg;1196.0;1196.0;0;2.09808349609375e-05;3.361701965332031e-05;0.22561025619506836;
Brussels-Vienna;1175.0;1175.0;0;3.790855407714844e-05;4.220008850097656e-05;0.242354154586792;
Stockholm-Hook of Holland;1500.0;1500.0;0;2.2411346435546875e-05;2.0742416381835938e-05;0.320786714553833;
Vienna-Munich;1881.0;1881.0;0;2.1696090698242188e-05;3.981590270996094e-05;0.320648193359375;
Geneva-Marseilles;425.0;425.0;946.0;2.3365020751953125e-05;9.5367431640625e-06;0.0023698806762695312;
Munich-Hamburg;805.0;805.0;0;1.9073486328125e-05;1.0967254638671875e-05;0.4272623062133789;
Vienna-Hamburg;1934.0;1934.0;0;2.9325485229492188e-05;4.553794860839844e-05;0.4236123561859131;
Vienna-Munich;1881.0;1881.0;0;2.3365020751953125e-05;3.886222839355469e-05;0.33527708053588867;
Barcelona-Cologne;1359.0;1359.0;1555.0;4.9591064453125e-05;3.552436828613281e-05;0.0030798912048339844;
Calais-Stockholm;1786.0;1786.0;2868.0;3.790855407714844e-05;6.175041198730469e-05;0.003732442855834961;
Barcelona-Copenhagen;1759.0;1759.0;0;4.863739013671875e-05;4.839897155761719e-05;1.2536780834197998;
Madrid-Paris;1273.0;1273.0;1273.0;2.384185791015625e-05;6.4373016357421875e-06;0.0013442039489746094;
Cologne-Gibraltar;2436.0;2436.0;0;3.9577484130859375e-05;6.651878356933594e-05;0.23092198371887207;
Barcelona-Cologne;1359.0;1359.0;1555.0;4.601478576660156e-05;3.4332275390625e-05;0.003070831298828125;
