Athens;1.2565134710484926e-08;1.2565134710484926e-08;1.2565134710484926e-08;1.2565134710484926e-08;1.2565134710484926e-08;1.2565134710484926e-08;1.2565134710484926e-08;1.2565134710484926e-08;1.2565134710484926e-08;1.2565134710484926e-08;1.2565134710484926e-08;1.2565134710484926e-08;1.2565134710484926e-08;1.2565134710484926e-08;1.2565134710484926e-08;1.2565134710484926e-08;1.2565134710484926e-08;1.2565134710484926e-08;1.2565134710484926e-08;1.2565134710484926e-08;
Calais;1.0843224435988344e-08;1.0843224435988344e-08;1.0843224435988344e-08;1.0843224435988344e-08;1.0843224435988344e-08;1.0843224435988344e-08;1.0843224435988344e-08;1.0843224435988344e-08;1.0843224435988344e-08;1.0843224435988344e-08;1.0843224435988344e-08;1.0843224435988344e-08;1.0843224435988344e-08;1.0843224435988344e-08;1.0843224435988344e-08;1.0843224435988344e-08;1.0843224435988344e-08;1.0843224435988344e-08;1.0843224435988344e-08;1.0843224435988344e-08;
Cologne;1.1219761682686642e-08;1.1219761682686642e-08;1.1219761682686642e-08;1.1219761682686642e-08;1.1219761682686642e-08;1.1219761682686642e-08;1.1219761682686642e-08;1.1219761682686642e-08;1.1219761682686642e-08;1.1219761682686642e-08;1.1219761682686642e-08;1.1219761682686642e-08;1.1219761682686642e-08;1.1219761682686642e-08;1.1219761682686642e-08;1.1219761682686642e-08;1.1219761682686642e-08;1.1219761682686642e-08;1.1219761682686642e-08;1.1219761682686642e-08;
Copenhagen;1.052194342765489e-08;1.052194342765489e-08;1.052194342765489e-08;1.052194342765489e-08;1.052194342765489e-08;1.052194342765489e-08;1.052194342765489e-08;1.052194342765489e-08;1.052194342765489e-08;1.052194342765489e-08;1.052194342765489e-08;1.052194342765489e-08;1.052194342765489e-08;1.052194342765489e-08;1.052194342765489e-08;1.052194342765489e-08;1.052194342765489e-08;1.052194342765489e-08;1.052194342765489e-08;1.052194342765489e-08;
Gibraltar;1.0460755055825238e-08;1.0460755055825238e-08;1.0460755055825238e-08;1.0460755055825238e-08;1.0460755055825238e-08;1.0460755055825238e-08;1.0460755055825238e-08;1.0460755055825238e-08;1.0460755055825238e-08;1.0460755055825238e-08;1.0460755055825238e-08;1.0460755055825238e-08;1.0460755055825238e-08;1.0460755055825238e-08;1.0460755055825238e-08;1.0460755055825238e-08;1.0460755055825238e-08;1.0460755055825238e-08;1.0460755055825238e-08;1.0460755055825238e-08;
Hamburg;9.09945452320926e-09;9.09945452320926e-09;9.09945452320926e-09;9.09945452320926e-09;9.09945452320926e-09;9.09945452320926e-09;9.09945452320926e-09;9.09945452320926e-09;9.09945452320926e-09;9.09945452320926e-09;9.09945452320926e-09;9.09945452320926e-09;9.09945452320926e-09;9.09945452320926e-09;9.09945452320926e-09;9.09945452320926e-09;9.09945452320926e-09;9.09945452320926e-09;9.09945452320926e-09;9.09945452320926e-09;
Hook of Holland;9.276554424091153e-09;9.276554424091153e-09;9.276554424091153e-09;9.276554424091153e-09;9.276554424091153e-09;9.276554424091153e-09;9.276554424091153e-09;9.276554424091153e-09;9.276554424091153e-09;9.276554424091153e-09;9.276554424091153e-09;9.276554424091153e-09;9.276554424091153e-09;9.276554424091153e-09;9.276554424091153e-09;9.276554424091153e-09;9.276554424091153e-09;9.276554424091153e-09;9.276554424091153e-09;9.276554424091153e-09;
Madrid;1.086371740278898e-08;1.086371740278898e-08;1.086371740278898e-08;1.086371740278898e-08;1.086371740278898e-08;1.086371740278898e-08;1.086371740278898e-08;1.086371740278898e-08;1.086371740278898e-08;1.086371740278898e-08;1.086371740278898e-08;1.086371740278898e-08;1.086371740278898e-08;1.086371740278898e-08;1.086371740278898e-08;1.086371740278898e-08;1.086371740278898e-08;1.086371740278898e-08;1.086371740278898e-08;1.086371740278898e-08;
Marseilles;9.871311212883427e-09;9.871311212883427e-09;9.871311212883427e-09;9.871311212883427e-09;9.871311212883427e-09;9.871311212883427e-09;9.871311212883427e-09;9.871311212883427e-09;9.871311212883427e-09;9.871311212883427e-09;9.871311212883427e-09;9.871311212883427e-09;9.871311212883427e-09;9.871311212883427e-09;9.871311212883427e-09;9.871311212883427e-09;9.871311212883427e-09;9.871311212883427e-09;9.871311212883427e-09;9.871311212883427e-09;
Paris;8.84951724971723e-09;8.84951724971723e-09;8.84951724971723e-09;8.84951724971723e-09;8.84951724971723e-09;8.84951724971723e-09;8.84951724971723e-09;8.84951724971723e-09;8.84951724971723e-09;8.84951724971723e-09;8.84951724971723e-09;8.84951724971723e-09;8.84951724971723e-09;8.84951724971723e-09;8.84951724971723e-09;8.84951724971723e-09;8.84951724971723e-09;8.84951724971723e-09;8.84951724971723e-09;8.84951724971723e-09;
Vienna;1.1203950700533483e-08;1.1203950700533483e-08;1.1203950700533483e-08;1.1203950700533483e-08;1.1203950700533483e-08;1.1203950700533483e-08;1.1203950700533483e-08;1.1203950700533483e-08;1.1203950700533483e-08;1.1203950700533483e-08;1.1203950700533483e-08;1.1203950700533483e-08;1.1203950700533483e-08;1.1203950700533483e-08;1.1203950700533483e-08;1.1203950700533483e-08;1.1203950700533483e-08;1.1203950700533483e-08;1.1203950700533483e-08;1.1203950700533483e-08;
Barcelona;1.337653713048584e-08;1.337653713048584e-08;1.337653713048584e-08;1.337653713048584e-08;1.337653713048584e-08;1.337653713048584e-08;1.337653713048584e-08;1.337653713048584e-08;1.337653713048584e-08;1.337653713048584e-08;1.337653713048584e-08;1.337653713048584e-08;1.337653713048584e-08;1.337653713048584e-08;1.337653713048584e-08;1.337653713048584e-08;1.337653713048584e-08;1.337653713048584e-08;1.337653713048584e-08;1.337653713048584e-08;
