Athens;3.442244498330638e-08;3.442244498330638e-08;3.442244498330638e-08;3.442244498330638e-08;3.442244498330638e-08;3.442244498330638e-08;3.442244498330638e-08;3.442244498330638e-08;3.442244498330638e-08;3.442244498330638e-08;3.442244498330638e-08;3.442244498330638e-08;3.442244498330638e-08;3.442244498330638e-08;3.442244498330638e-08;3.442244498330638e-08;3.442244498330638e-08;3.442244498330638e-08;3.442244498330638e-08;3.442244498330638e-08;
Calais;4.8907600061324155e-08;4.8907600061324155e-08;4.8907600061324155e-08;4.8907600061324155e-08;4.8907600061324155e-08;4.8907600061324155e-08;4.8907600061324155e-08;4.8907600061324155e-08;4.8907600061324155e-08;4.8907600061324155e-08;4.8907600061324155e-08;4.8907600061324155e-08;4.8907600061324155e-08;4.8907600061324155e-08;4.8907600061324155e-08;4.8907600061324155e-08;4.8907600061324155e-08;4.8907600061324155e-08;4.8907600061324155e-08;4.8907600061324155e-08;
Cologne;3.549062495740903e-08;3.549062495740903e-08;3.549062495740903e-08;3.549062495740903e-08;3.549062495740903e-08;3.549062495740903e-08;3.549062495740903e-08;3.549062495740903e-08;3.549062495740903e-08;3.549062495740903e-08;3.549062495740903e-08;3.549062495740903e-08;3.549062495740903e-08;3.549062495740903e-08;3.549062495740903e-08;3.549062495740903e-08;3.549062495740903e-08;3.549062495740903e-08;3.549062495740903e-08;3.549062495740903e-08;
Copenhagen;4.301272582551974e-08;4.301272582551974e-08;4.301272582551974e-08;4.301272582551974e-08;4.301272582551974e-08;4.301272582551974e-08;4.301272582551974e-08;4.301272582551974e-08;4.301272582551974e-08;4.301272582551974e-08;4.301272582551974e-08;4.301272582551974e-08;4.301272582551974e-08;4.301272582551974e-08;4.301272582551974e-08;4.301272582551974e-08;4.301272582551974e-08;4.301272582551974e-08;4.301272582551974e-08;4.301272582551974e-08;
Gibraltar;6.649498881675494e-08;6.649498881675494e-08;6.649498881675494e-08;6.649498881675494e-08;6.649498881675494e-08;6.649498881675494e-08;6.649498881675494e-08;6.649498881675494e-08;6.649498881675494e-08;6.649498881675494e-08;6.649498881675494e-08;6.649498881675494e-08;6.649498881675494e-08;6.649498881675494e-08;6.649498881675494e-08;6.649498881675494e-08;6.649498881675494e-08;6.649498881675494e-08;6.649498881675494e-08;6.649498881675494e-08;
Hamburg;3.9495897885544196e-08;3.9495897885544196e-08;3.9495897885544196e-08;3.9495897885544196e-08;3.9495897885544196e-08;3.9495897885544196e-08;3.9495897885544196e-08;3.9495897885544196e-08;3.9495897885544196e-08;3.9495897885544196e-08;3.9495897885544196e-08;3.9495897885544196e-08;3.9495897885544196e-08;3.9495897885544196e-08;3.9495897885544196e-08;3.9495897885544196e-08;3.9495897885544196e-08;3.9495897885544196e-08;3.9495897885544196e-08;3.9495897885544196e-08;
Hook of Holland;1.284082224677669e-07;1.2840738910264398e-07;1.2840666401069982e-07;1.2840666401069982e-07;1.2840601843187132e-07;1.284049025414225e-07;1.2840440516150748e-07;1.2840440516150748e-07;1.2840440516150748e-07;1.2840440516150748e-07;1.2840368548322225e-07;1.2840368548322225e-07;1.2840308321366528e-07;1.2840308321366528e-07;1.284001943499139e-07;1.2839815881415277e-07;1.2839815881415277e-07;1.2839815881415277e-07;1.2839815881415277e-07;1.2839815881415277e-07;
Madrid;1.404444757092867e-07;1.404444757092867e-07;1.4044358000747331e-07;1.4044358000747331e-07;1.4044358000747331e-07;1.4044358000747331e-07;1.4044296559699005e-07;1.4044210834807766e-07;1.4043953660134052e-07;1.4043953660134052e-07;1.4043953660134052e-07;1.4043953660134052e-07;1.4043953660134052e-07;1.4043953660134052e-07;1.4043953660134052e-07;1.4043848249029372e-07;1.4043848249029372e-07;1.4043848249029372e-07;1.4043848249029372e-07;1.4043848249029372e-07;
Marseilles;1.4233110453195272e-07;1.423279236689723e-07;1.423279236689723e-07;1.423279236689723e-07;1.423279236689723e-07;1.423279236689723e-07;1.423279236689723e-07;1.4232669206156365e-07;1.4232669206156365e-07;1.4232669206156365e-07;1.423253674914804e-07;1.4232404292139714e-07;1.4232404292139714e-07;1.4232404292139714e-07;1.4232404292139714e-07;1.4232129548948555e-07;1.4231959729234708e-07;1.4231959729234708e-07;1.4231959729234708e-07;1.423179689652443e-07;
Paris;1.2098487524233006e-07;1.2098487524233006e-07;1.2098487524233006e-07;1.2098487524233006e-07;1.2098487524233006e-07;1.2098487524233006e-07;1.209824828031421e-07;1.2098168532341278e-07;1.2098168532341278e-07;1.2097997082558804e-07;1.2097997082558804e-07;1.2097997082558804e-07;1.2097997082558804e-07;1.2097997082558804e-07;1.2097997082558804e-07;1.2097997082558804e-07;1.2097997082558804e-07;1.2097997082558804e-07;1.2097997082558804e-07;1.2097997082558804e-07;
