Athens;1.4081095514484332e-06;1.408087553045334e-06;1.4080659639148506e-06;1.4080449659559235e-06;1.4080229675528244e-06;1.4080020605433674e-06;1.407979880241328e-06;1.4079586776460928e-06;1.4079371226216609e-06;1.4079156926527503e-06;1.4078943536333099e-06;1.4078725257604673e-06;1.4078508684178813e-06;1.407829779509484e-06;1.4078083722779411e-06;1.4077867263040389e-06;1.4077652963351284e-06;1.407743513937021e-06;1.407721549639973e-06;1.4077004152568407e-06;
Calais;3.8951446801066225e-06;3.8948636328688525e-06;3.894584190621733e-06;3.8943039458792875e-06;3.894024075634661e-06;3.893743737267762e-06;3.893463947272667e-06;3.893184090402963e-06;3.8929040061595835e-06;3.892624510412775e-06;3.892345710161916e-06;3.89206648191355e-06;3.891786959416897e-06;3.891507584044388e-06;3.891228208671878e-06;3.890949395046097e-06;3.890669792299912e-06;3.890391192672884e-06;3.890111362553023e-06;3.889832575677086e-06;
Cologne;1.550579861486767e-06;1.5505047372244008e-06;1.550429108950387e-06;1.5503534541494445e-06;1.5502779585100749e-06;1.5502019967546706e-06;1.5501267133307314e-06;1.5500511381105753e-06;1.5499760858498728e-06;1.5499008327424236e-06;1.5498250794128883e-06;1.5497497618828977e-06;1.5496745731979899e-06;1.5495991078751104e-06;1.5495239381380087e-06;1.5494488517712548e-06;1.5493735493995095e-06;1.5492984137684592e-06;1.5492227172823428e-06;1.549147896184877e-06;
Copenhagen;1.5676462794544932e-06;1.5675511733093117e-06;1.5674563869083613e-06;1.567360946808094e-06;1.567265670132656e-06;1.5671704005626452e-06;1.5670754720531477e-06;1.566980500911086e-06;1.566885664772144e-06;1.5667902246718768e-06;1.56669513273755e-06;1.56660007633036e-06;1.5665058512581709e-06;1.5664106811641432e-06;1.5663157455492183e-06;1.566220127813267e-06;1.566125526153428e-06;1.5660304839570927e-06;1.5659358751918262e-06;1.5658405985163881e-06;
Gibraltar;1.6433584245792839e-06;1.6433223696107494e-06;1.6432867044256585e-06;1.6432504383244253e-06;1.6432148381032415e-06;1.6431788643395912e-06;1.643143394046222e-06;1.6431073390776874e-06;1.6430715926877123e-06;1.6430357650928533e-06;1.643000392245345e-06;1.6429640449392276e-06;1.6429280224526468e-06;1.6428925684002543e-06;1.6428567083234417e-06;1.6428210106563971e-06;1.6427851668205612e-06;1.6427496478042615e-06;1.6427136577996343e-06;1.6426777327589143e-06;
Hamburg;1.339147381429484e-06;1.3391141351348779e-06;1.3390807040991604e-06;1.3390475643859645e-06;1.3390140622959734e-06;1.3389806667873927e-06;1.338947193119111e-06;1.3389138615593765e-06;1.3388803026259666e-06;1.3388472837050358e-06;1.3388134973979504e-06;1.3387803932118914e-06;1.3387465571668145e-06;1.3387134032427639e-06;1.3386802066861492e-06;1.338646264059662e-06;1.3386127548642435e-06;1.3385795796239108e-06;1.3385466672843904e-06;1.3385127175524758e-06;
Hook of Holland;1.2444611456885468e-06;1.2443948500211782e-06;1.2443282105864671e-06;1.2442617416820126e-06;1.2441947584799589e-06;1.2441284276238071e-06;1.2440618856349569e-06;1.2439953977826961e-06;1.243928747520667e-06;1.2438622867367008e-06;1.243796023551286e-06;1.243729378702916e-06;1.2436627419750341e-06;1.243596281191068e-06;1.2435299286802807e-06;1.2434635545148575e-06;1.243396866357216e-06;1.2433304813644748e-06;1.2432641505083233e-06;1.2431975516760542e-06;
Madrid;1.5070985722666272e-06;1.5070305273505203e-06;1.5069628301823876e-06;1.5068946615482513e-06;1.5068265999134917e-06;1.5067588091209045e-06;1.506690530143661e-06;1.5066232208482688e-06;1.506554874996415e-06;1.5064868969549185e-06;1.5064190827562175e-06;1.5063511481832178e-06;1.5062832370163318e-06;1.5062150851008482e-06;1.5061478226176832e-06;1.5060796172025113e-06;1.5060122276575867e-06;1.5059439520240738e-06;1.5058765256981133e-06;1.505808293533097e-06;
Marseilles;1.4221188469794772e-06;1.4220726522277498e-06;1.4220265901106661e-06;1.4219809827409335e-06;1.4219348258848186e-06;1.421888896402379e-06;1.4218434311411936e-06;1.4217972837589816e-06;1.4217517616543773e-06;1.421705642693875e-06;1.4216593153075034e-06;1.4216134805640952e-06;1.4215678542465564e-06;1.4215219058163104e-06;1.421475919490452e-06;1.421430008955819e-06;1.4213840794733794e-06;1.4213388605336756e-06;1.4212925236734009e-06;1.4212466889299928e-06;
Paris;1.2632382054909933e-06;1.2631869828831388e-06;1.2631359441804627e-06;1.2630848185407933e-06;1.2630334387776042e-06;1.2629822696694378e-06;1.2629312175918398e-06;1.2628798612347644e-06;1.2628288960941598e-06;1.2627776734863051e-06;1.262726370628918e-06;1.262675388769661e-06;1.2626245573782773e-06;1.2625731809588187e-06;1.2625219984757303e-06;1.2624710634287005e-06;1.2624198475083069e-06;1.2623687686808647e-06;1.2623177433531107e-06;1.2622664070584186e-06;
