Athens;2.9711724346270783e-05;2.970099558297079e-05;2.968907374452101e-05;2.9678344617423136e-05;2.9667616036022083e-05;2.9652119519596453e-05;2.9640198772540315e-05;2.9634237944264896e-05;2.9617549080285245e-05;2.9606819225591607e-05;2.9596090462291615e-05;2.9581785565824247e-05;2.957344095193548e-05;2.9562712370534427e-05;2.9548407837864943e-05;2.953767907456495e-05;2.9525757236115167e-05;2.951383594336221e-05;2.95042993457173e-05;2.9489994449249935e-05;
Calais;2.1157646415304043e-05;2.11406162206378e-05;2.1121833630305072e-05;2.1104302464557215e-05;2.1087523303803583e-05;2.107249657215374e-05;2.105221127588747e-05;2.1036934600381166e-05;2.1019904552839068e-05;2.1004627770333388e-05;2.0987347477999076e-05;2.0970067239164456e-05;2.0951784897667548e-05;2.093801094146971e-05;2.0922232960508744e-05;2.0904952340488843e-05;2.088717131113406e-05;2.0869139876488e-05;2.0851108127531272e-05;2.0835580832734943e-05;
Cologne;4.211068220077626e-05;4.2041541079621916e-05;4.197120700458375e-05;4.190484723949339e-05;4.183610308245988e-05;4.177053809447292e-05;4.1701396730786656e-05;4.163622888881946e-05;4.156907422535975e-05;4.1502715672929e-05;4.1437546800201136e-05;4.136800780543126e-05;4.129966200707713e-05;4.123648110786841e-05;4.116813440001958e-05;4.110376109262385e-05;4.104216999015383e-05;4.097382297914009e-05;4.091262878015793e-05;4.084507697067845e-05;
Copenhagen;3.311534712224784e-05;3.3069816367969906e-05;3.3022215291111934e-05;3.297916745736984e-05;3.293322222930328e-05;3.28893465280089e-05;3.2843815432670453e-05;3.279952576917822e-05;3.2756477850170995e-05;3.271343018695916e-05;3.267079623014979e-05;3.262526533376331e-05;3.257807770751242e-05;3.253834103134068e-05;3.249487963330466e-05;3.2448520727257346e-05;3.240754213607033e-05;3.236325267153006e-05;3.231896334909834e-05;3.227881282441558e-05;
Gibraltar;2.1763501536042895e-05;2.1754986197005826e-05;2.17450521761618e-05;2.1738666094149395e-05;2.173015114489577e-05;2.1721636065714328e-05;2.1713830912111526e-05;2.170744457024349e-05;2.1696800493893014e-05;2.1686157327037237e-05;2.1679770725313574e-05;2.1669837094252997e-05;2.166132162528811e-05;2.1656355004649542e-05;2.16478399254681e-05;2.163506724173203e-05;2.1627971753852243e-05;2.1620166210465997e-05;2.16151993299718e-05;2.160881272824814e-05;
Hamburg;3.283305318291241e-05;3.281235740359989e-05;3.279248937815282e-05;3.2767653578957834e-05;3.274612970471935e-05;3.2722122000450327e-05;3.269977094078058e-05;3.267741908530297e-05;3.26608626437519e-05;3.2631887506795465e-05;3.261533061049704e-05;3.258884009937901e-05;3.256897150549776e-05;3.2537513334318646e-05;3.251764519518474e-05;3.249363817303674e-05;3.247376935178181e-05;3.245059031087294e-05;3.242989362206572e-05;3.24091978427532e-05;
Hook of Holland;1.9064025921233268e-05;1.9044630605657447e-05;1.9024525673081544e-05;1.9003711973450015e-05;1.898715470902278e-05;1.89675231088889e-05;1.8950493107522127e-05;1.8932280779284027e-05;1.891312179698919e-05;1.889443631495981e-05;1.887622411664952e-05;1.8858484319631923e-05;1.8840745074807535e-05;1.8821349645544876e-05;1.880171777472805e-05;1.8782323033000076e-05;1.876576615835629e-05;1.874873617323049e-05;1.873099656569095e-05;1.8712310953733756e-05;
Madrid;4.316428197960383e-05;4.308071914452097e-05;4.3001246353924216e-05;4.292089683049733e-05;4.284083973636691e-05;4.275932127818712e-05;4.267897206238344e-05;4.2600083187447604e-05;4.2520610236351786e-05;4.244084621351409e-05;4.236108128118169e-05;4.228219217218473e-05;4.220242727997709e-05;4.2128213562243804e-05;4.205312348617821e-05;4.197335737685267e-05;4.1898268103282404e-05;4.1819964514937e-05;4.1742243912695435e-05;4.166803083695841e-05;
Marseilles;3.5760981641412094e-05;3.571898801624229e-05;3.567654197430178e-05;3.5635902264630204e-05;3.559165095149789e-05;3.555146292910649e-05;3.5511274328807e-05;3.546882896898751e-05;3.54227699593442e-05;3.5381227708815764e-05;3.533742784611604e-05;3.529724015531125e-05;3.525479435021831e-05;3.521325128493421e-05;3.5173514286649756e-05;3.513152026357602e-05;3.509043031613146e-05;3.5048886957156355e-05;3.500869828106564e-05;3.496625261808125e-05;
Paris;3.26893502714858e-05;3.264435443216986e-05;3.260344958695949e-05;3.255962232127358e-05;3.251579524952403e-05;3.2473721703621885e-05;3.242697265945668e-05;3.2384898578557645e-05;3.234603868537199e-05;3.229987470042354e-05;3.225955394474808e-05;3.221835672374094e-05;3.217511420964858e-05;3.2128073110684724e-05;3.20854149201884e-05;3.2044217164184374e-05;3.200389689000611e-05;3.196182300973091e-05;3.192033341292699e-05;3.188205784333738e-05;
Vienna;3.655314449133584e-05;3.6517978242045504e-05;3.648400379461236e-05;3.64524130418431e-05;3.6414862734091e-05;3.638148327809176e-05;3.6349893071019325e-05;3.631413092080038e-05;3.628134818427498e-05;3.6249757613404654e-05;3.6215186537447155e-05;3.61782323125226e-05;3.6146641468803865e-05;3.611564734455897e-05;3.608286469898303e-05;3.604829362302553e-05;3.601670332500362e-05;3.598332486944855e-05;3.594875379349105e-05;3.591775966924615e-05;
Barcelona;5.537090989739888e-05;5.527819146002664e-05;5.519390164078107e-05;5.510720356224655e-05;5.501689313611926e-05;5.492778812119716e-05;5.4839283620822243e-05;5.474957561091287e-05;5.46604704306281e-05;5.4576782779556446e-05;5.449008544515395e-05;5.440218286490893e-05;5.431428094611461e-05;5.422878827878528e-05;5.414570263052486e-05;5.405719895696331e-05;5.3971704718688585e-05;5.389042598835658e-05;5.380433123553468e-05;5.371943941347788e-05;
Brussels;4.405450192734861e-05;4.3991980410632656e-05;4.393070775257421e-05;4.3871103737449e-05;4.3808164718939224e-05;4.374939450057215e-05;4.3688955464369006e-05;4.3627267167231854e-05;4.356307709503408e-05;4.3505556338739276e-05;4.344636855736238e-05;4.3382178633832016e-05;4.332590938597255e-05;4.3266720800042654e-05;4.3205865600052326e-05;4.3144177775152806e-05;4.3086656013166736e-05;4.30274689401463e-05;4.296869879174035e-05;4.291076076102539e-05;
Cherbourg;2.24610169728597e-05;2.2447771496242946e-05;2.2433698177337646e-05;2.2422108385297986e-05;2.2411346435546875e-05;2.2399756643507215e-05;2.238651116689046e-05;2.2372437847985162e-05;2.236167589823405e-05;2.2352569633060033e-05;2.2336012787289088e-05;2.232773436440362e-05;2.231614457236396e-05;2.2303726938035754e-05;2.2290481461419e-05;2.227889166937934e-05;2.226730187733968e-05;2.2254056400722926e-05;2.2240810924106176e-05;2.2228393289777967e-05;
Geneva;3.337507185183073e-05;3.331272225630911e-05;3.325154906825015e-05;3.318684665780318e-05;3.3120967839893544e-05;3.3059794651834586e-05;3.299979787123831e-05;3.293823254735846e-05;3.287666722347862e-05;3.281470976377788e-05;3.275667366228605e-05;3.269510833840621e-05;3.2632758742884584e-05;3.2572369826467416e-05;3.251198091005024e-05;3.2453160536916635e-05;3.2395516571245696e-05;3.233669619811209e-05;3.22770915533367e-05;3.2217094772740416e-05;
Lisbon;2.623975348114982e-05;2.622067959237029e-05;2.620279838083661e-05;2.6184916805505054e-05;2.616822748677805e-05;2.6147366043005604e-05;2.613008091429947e-05;2.611100675267153e-05;2.609193346643224e-05;2.607762856996487e-05;2.605795929184751e-05;2.6041269700272095e-05;2.6022791951163525e-05;2.6003122673046165e-05;2.5981665055496704e-05;2.5964975736769703e-05;2.5947689971417275e-05;2.5930405161034287e-05;2.5910735882916924e-05;2.5892854307585366e-05;
Lyons;2.453407397324019e-05;2.4502519215061245e-05;2.4471464250970766e-05;2.4441411362792732e-05;2.4412861508233834e-05;2.438481253113209e-05;2.435325659596e-05;2.432420602444301e-05;2.429515497811628e-05;2.4264100067525494e-05;2.4232044164390946e-05;2.4204495703623467e-05;2.4175444409860682e-05;2.4148397776169824e-05;2.411784340866314e-05;2.4090294867646127e-05;2.4059240866550038e-05;2.403269402694765e-05;2.4002641138769616e-05;2.3972588584964635e-05;
Milan;3.3365731889551334e-05;3.3329156312075526e-05;3.329596736214378e-05;3.326481038873846e-05;3.3233653415333144e-05;3.320249644192782e-05;3.3174048770557753e-05;3.3138827844099566e-05;3.310292959213257e-05;3.3069063316692e-05;3.3040615645321935e-05;3.300742669539018e-05;3.2976947047493674e-05;3.2943758097561925e-05;3.29126011241566e-05;3.2880766825242475e-05;3.284960985183716e-05;3.281845287843184e-05;3.2785263928500086e-05;3.2750043002041906e-05;
