Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Calais-Stockholm;1813.0;1813.0;3002.0;2.5033950805664062e-05;5.9604644775390625e-05;0.0025162696838378906;
Lyons-Cherbourg;1598.0;1598.0;1598.0;4.8160552978515625e-05;4.506111145019531e-05;0.002645730972290039;
Calais-Copenhagen;645.0;645.0;645.0;2.1696090698242188e-05;2.0503997802734375e-05;0.002047300338745117;
Cologne-Geneva;1239.0;1239.0;1239.0;4.00543212890625e-05;3.457069396972656e-05;0.0013251304626464844;
Milan-Lisbon;1664.0;1664.0;1664.0;2.002716064453125e-05;4.863739013671875e-05;0.0019059181213378906;
Gibraltar-Paris;2205.0;2205.0;3168.0;4.601478576660156e-05;2.4080276489257812e-05;0.0019931793212890625;
Lisbon-Hook of Holland;2256.0;2256.0;2747.0;4.1961669921875e-05;2.9802322387695312e-05;0.002432584762573242;
Brussels-Athens;3202.0;3202.0;3443.0;4.1484832763671875e-05;6.175041198730469e-05;0.0015320777893066406;
Stockholm-Athens;3927.0;3927.0;4299.0;5.054473876953125e-05;6.127357482910156e-05;0.0037360191345214844;
Madrid-Hamburg;2198.0;2198.0;2224.0;4.00543212890625e-05;4.863739013671875e-05;0.002695798873901367;
Munich-Hamburg;805.0;805.0;805.0;3.218650817871094e-05;1.9073486328125e-05;0.0006761550903320312;
Munich-Stockholm;2356.0;2356.0;2645.0;2.956390380859375e-05;5.340576171875e-05;0.0018284320831298828;
Hamburg-Stockholm;2206.0;2206.0;3450.0;2.3126602172851562e-05;4.9114227294921875e-05;0.0023767948150634766;
Paris-Copenhagen;726.0;726.0;726.0;1.6450881958007812e-05;1.33514404296875e-05;0.0012738704681396484;
Marseilles-Calais;1059.0;1059.0;1059.0;1.6927719116210938e-05;2.5510787963867188e-05;0.000690460205078125;
Cherbourg-Marseilles;1101.0;1101.0;1593.0;3.457069396972656e-05;2.5510787963867188e-05;0.0019674301147460938;
Milan-Cologne;911.0;911.0;1841.0;3.0994415283203125e-05;1.71661376953125e-05;0.003930091857910156;
Paris-Madrid;2535.0;2535.0;2812.0;3.9577484130859375e-05;5.555152893066406e-05;0.0025544166564941406;
Brussels-Vienna;1821.0;1821.0;2359.0;3.695487976074219e-05;4.9114227294921875e-05;0.0032553672790527344;
Vienna-Hook of Holland;1205.0;1205.0;2814.0;4.38690185546875e-05;2.4318695068359375e-05;0.004119396209716797;
Cologne-Hamburg;460.0;460.0;460.0;1.9073486328125e-05;1.1205673217773438e-05;0.0006749629974365234;
Geneva-Milan;1581.0;1581.0;0;3.62396240234375e-05;4.792213439941406e-05;0.48328638076782227;
Vienna-Paris;1662.0;1662.0;2135.0;4.6253204345703125e-05;4.1484832763671875e-05;0.0039014816284179688;
Hook of Holland-Gibraltar;2776.0;2776.0;0;4.3392181396484375e-05;5.745887756347656e-05;0.5662612915039062;
Vienna-Brussels;1175.0;1175.0;1175.0;3.337860107421875e-05;2.1457672119140625e-05;0.0016283988952636719;
Lisbon-Rome;2918.0;2918.0;2918.0;2.6226043701171875e-05;4.9114227294921875e-05;0.0026633739471435547;
Gibraltar-Lyons;1817.0;1817.0;1817.0;3.0517578125e-05;1.621246337890625e-05;0.0014412403106689453;
Madrid-Athens;4006.0;4006.0;4493.0;3.695487976074219e-05;6.151199340820312e-05;0.004218578338623047;
Cologne-Rome;1952.0;1952.0;2919.0;3.838539123535156e-05;4.792213439941406e-05;0.0033669471740722656;
Geneva-Marseilles;478.0;478.0;478.0;1.7642974853515625e-05;9.5367431640625e-06;0.0014300346374511719;
Hamburg-Rome;2108.0;2108.0;2459.0;3.790855407714844e-05;4.601478576660156e-05;0.002615690231323242;
Vienna-Barcelona;1793.0;1793.0;1890.0;2.8133392333984375e-05;4.1961669921875e-05;0.003200531005859375;
Hamburg-Cherbourg;1115.0;1115.0;1965.0;2.1219253540039062e-05;2.193450927734375e-05;0.0014121532440185547;
Hamburg-Brussels;597.0;597.0;597.0;1.3828277587890625e-05;6.198883056640625e-06;0.0011851787567138672;
Brussels-Cologne;206.0;206.0;2045.0;1.5497207641601562e-05;9.5367431640625e-06;0.0033469200134277344;
Marseilles-Rome;1420.0;1420.0;1420.0;1.6927719116210938e-05;3.9577484130859375e-05;0.0013990402221679688;
Munich-Copenhagen;1104.0;1104.0;2275.0;3.457069396972656e-05;3.409385681152344e-05;0.002418041229248047;
Geneva-Cherbourg;853.0;853.0;853.0;2.8848648071289062e-05;1.621246337890625e-05;0.0006725788116455078;
Hook of Holland-Geneva;1426.0;1426.0;0;4.1961669921875e-05;3.409385681152344e-05;0.5886266231536865;
Geneva-Brussels;1436.0;1436.0;0;2.9802322387695312e-05;3.314018249511719e-05;0.5216825008392334;
Athens-Copenhagen;3283.0;3283.0;4454.0;4.0531158447265625e-05;3.719329833984375e-05;0.003822803497314453;
Athens-Munich;2179.0;2179.0;2179.0;1.3828277587890625e-05;8.344650268554688e-06;0.000782012939453125;
Cologne-Lyons;1355.0;1355.0;1772.0;3.719329833984375e-05;3.62396240234375e-05;0.0023131370544433594;
Cologne-Madrid;2192.0;2192.0;2347.0;4.291534423828125e-05;5.0067901611328125e-05;0.00231170654296875;
Calais-Paris;800.0;800.0;2006.0;2.0265579223632812e-05;2.2172927856445312e-05;0.0028426647186279297;
Hamburg-Cologne;803.0;803.0;2977.0;1.5497207641601562e-05;1.3113021850585938e-05;0.005405902862548828;
Milan-Madrid;1724.0;1724.0;1767.0;2.4557113647460938e-05;4.792213439941406e-05;0.002933979034423828;
Stockholm-Cologne;1410.0;1410.0;1410.0;3.123283386230469e-05;1.9073486328125e-05;0.0013430118560791016;
Madrid-Hook of Holland;1730.0;1730.0;2406.0;3.8623809814453125e-05;2.956390380859375e-05;0.0018935203552246094;
Lyons-Geneva;745.0;745.0;745.0;2.2411346435546875e-05;1.5020370483398438e-05;0.0012536048889160156;
Barcelona-Hook of Holland;1490.0;1490.0;2214.0;3.838539123535156e-05;3.314018249511719e-05;0.0024869441986083984;
Hamburg-Vienna;1155.0;1155.0;1155.0;1.9788742065429688e-05;2.7894973754882812e-05;0.0008971691131591797;
Copenhagen-Geneva;1695.0;1695.0;0;4.4345855712890625e-05;3.981590270996094e-05;0.5960190296173096;
Cherbourg-Calais;2160.0;2160.0;2930.0;3.743171691894531e-05;5.245208740234375e-05;0.002466917037963867;
Gibraltar-Munich;2565.0;2565.0;3246.0;3.409385681152344e-05;4.315376281738281e-05;0.003015756607055664;
Paris-Cologne;465.0;465.0;465.0;1.71661376953125e-05;9.298324584960938e-06;0.0008828639984130859;
Madrid-Lyons;1281.0;1281.0;1477.0;2.4318695068359375e-05;1.7881393432617188e-05;0.0017642974853515625;
Gibraltar-Madrid;698.0;698.0;698.0;1.2159347534179688e-05;6.198883056640625e-06;0.0007843971252441406;
Hook of Holland-Hamburg;729.0;729.0;729.0;2.193450927734375e-05;1.2636184692382812e-05;0.0013110637664794922;
Calais-Madrid;1807.0;1807.0;2175.0;3.552436828613281e-05;4.935264587402344e-05;0.0019474029541015625;
