Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hamburg-Gibraltar;2897.0;2897.0;2976.0;4.506111145019531e-05;5.888938903808594e-05;0.0014889240264892578;
Vienna-Lisbon;2330.0;2330.0;2330.0;2.6941299438476562e-05;5.364418029785156e-05;0.0018062591552734375;
Stockholm-Vienna;2265.0;2265.0;0;2.8133392333984375e-05;4.172325134277344e-05;0.6066546440124512;
Brussels-Marseilles;1010.0;1010.0;2145.0;4.363059997558594e-05;3.0040740966796875e-05;0.002604961395263672;
Rome-Athens;2868.0;2868.0;7631.0;2.1696090698242188e-05;5.936622619628906e-05;0.0057010650634765625;
Hamburg-Cologne;803.0;803.0;803.0;1.71661376953125e-05;1.3828277587890625e-05;0.00128936767578125;
Munich-Marseilles;949.0;949.0;949.0;2.7179718017578125e-05;2.5033950805664062e-05;0.0012965202331542969;
Athens-Madrid;4184.0;4184.0;4184.0;3.743171691894531e-05;5.6743621826171875e-05;0.0021064281463623047;
Madrid-Milan;1724.0;1724.0;3041.0;4.863739013671875e-05;2.9802322387695312e-05;0.003061056137084961;
Cologne-Athens;3193.0;3193.0;6134.0;4.029273986816406e-05;6.127357482910156e-05;0.005827426910400391;
Cherbourg-Lisbon;1827.0;1827.0;3288.0;3.504753112792969e-05;4.4345855712890625e-05;0.002796649932861328;
Brussels-Milan;1117.0;1117.0;1117.0;3.24249267578125e-05;3.409385681152344e-05;0.0019030570983886719;
Milan-Hamburg;1238.0;1238.0;0;3.218650817871094e-05;3.1948089599609375e-05;0.1598803997039795;
Lisbon-Athens;3931.0;3931.0;3931.0;3.457069396972656e-05;6.103515625e-05;0.0018732547760009766;
Hook of Holland-Munich;1373.0;1373.0;4344.0;2.6226043701171875e-05;3.337860107421875e-05;0.0035436153411865234;
Rome-Vienna;1209.0;1209.0;3112.0;1.7642974853515625e-05;2.0503997802734375e-05;0.0027658939361572266;
Cherbourg-Hamburg;1115.0;1115.0;0;2.8133392333984375e-05;2.956390380859375e-05;0.15678048133850098;
Paris-Munich;1682.0;1682.0;4801.0;2.9087066650390625e-05;3.337860107421875e-05;0.0029592514038085938;
Geneva-Madrid;1439.0;1439.0;1439.0;2.193450927734375e-05;3.6716461181640625e-05;0.0013294219970703125;
Barcelona-Lyons;645.0;645.0;645.0;1.3828277587890625e-05;7.152557373046875e-06;0.0006732940673828125;
Hamburg-Hook of Holland;769.0;769.0;0;1.6689300537109375e-05;1.049041748046875e-05;0.5186464786529541;
Cologne-Hook of Holland;269.0;269.0;269.0;4.1961669921875e-05;9.059906005859375e-06;0.0008540153503417969;
