Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Paris-Geneva;1704.0;1704.0;0;4.1961669921875e-05;3.552436828613281e-05;0.07981300354003906;
Cherbourg-Cologne;785.0;785.0;4231.0;0.00037407875061035156;2.1696090698242188e-05;0.002696514129638672;
Geneva-Lyons;158.0;158.0;0;1.239776611328125e-05;4.5299530029296875e-06;0.15687894821166992;
Vienna-Calais;1381.0;1381.0;6630.0;2.4080276489257812e-05;3.0040740966796875e-05;0.0018768310546875;
Barcelona-Hook of Holland;1490.0;1490.0;0;4.0531158447265625e-05;3.24249267578125e-05;0.15825843811035156;
Cologne-Madrid;2192.0;2192.0;0;4.363059997558594e-05;5.078315734863281e-05;0.09140205383300781;
Lisbon-Madrid;2459.0;2459.0;0;2.3603439331054688e-05;3.743171691894531e-05;0.08369636535644531;
Paris-Lisbon;1799.0;1799.0;0;3.981590270996094e-05;3.647804260253906e-05;0.16910481452941895;
Lyons-Marseilles;320.0;320.0;0;1.4543533325195312e-05;6.67572021484375e-06;0.1693439483642578;
Milan-Rome;1323.0;1323.0;0;1.2636184692382812e-05;3.528594970703125e-05;0.08926010131835938;
Barcelona-Rome;1460.0;1460.0;0;2.5987625122070312e-05;3.0040740966796875e-05;0.10065698623657227;
Gibraltar-Cologne;2436.0;2436.0;10937.0;4.1961669921875e-05;3.409385681152344e-05;0.005785465240478516;
Hamburg-Stockholm;2206.0;2206.0;0;2.3126602172851562e-05;4.839897155761719e-05;0.18163371086120605;
Rome-Hook of Holland;1766.0;1766.0;0;4.553794860839844e-05;3.6716461181640625e-05;0.1667768955230713;
Munich-Milan;331.0;331.0;0;1.1920928955078125e-05;6.4373016357421875e-06;0.0939493179321289;
Cologne-Geneva;1239.0;1239.0;0;3.981590270996094e-05;3.314018249511719e-05;0.08352279663085938;
Marseilles-Milan;1440.0;1440.0;0;4.076957702636719e-05;4.220008850097656e-05;0.10158610343933105;
Lyons-Madrid;1281.0;1281.0;0;2.288818359375e-05;2.3603439331054688e-05;0.08020186424255371;
Stockholm-Lisbon;3175.0;3175.0;0;4.1961669921875e-05;5.53131103515625e-05;0.1709747314453125;
Athens-Hook of Holland;3030.0;3030.0;0;4.1961669921875e-05;2.8133392333984375e-05;0.1643054485321045;
Lyons-Brussels;1331.0;1331.0;0;3.743171691894531e-05;2.6702880859375e-05;0.10682821273803711;
Vienna-Lisbon;2330.0;2330.0;0;0.049254417419433594;8.153915405273438e-05;0.17394304275512695;
Copenhagen-Hamburg;460.0;460.0;0;2.8371810913085938e-05;1.2159347534179688e-05;0.5044629573822021;
Barcelona-Cologne;1498.0;1498.0;4087.0;4.2438507080078125e-05;4.1484832763671875e-05;0.002514362335205078;
Hook of Holland-Cologne;922.0;922.0;4962.0;2.8848648071289062e-05;2.0503997802734375e-05;0.0036406517028808594;
Lisbon-Geneva;1923.0;1923.0;0;2.3126602172851562e-05;2.3603439331054688e-05;0.07589221000671387;
Brussels-Copenhagen;441.0;441.0;0;1.6927719116210938e-05;1.4066696166992188e-05;0.16557002067565918;
Athens-Cherbourg;3339.0;3339.0;0;3.1948089599609375e-05;4.4345855712890625e-05;0.1716291904449463;
Milan-Barcelona;1131.0;1131.0;7190.0;2.3126602172851562e-05;2.3603439331054688e-05;0.00272369384765625;
Marseilles-Hook of Holland;1183.0;1183.0;0;3.6716461181640625e-05;3.743171691894531e-05;0.15875983238220215;
Marseilles-Calais;1059.0;1059.0;3800.0;1.621246337890625e-05;2.4318695068359375e-05;0.0019071102142333984;
Marseilles-Cologne;1035.0;1035.0;6561.0;2.5987625122070312e-05;2.1457672119140625e-05;0.0040628910064697266;
Lyons-Stockholm;2108.0;2108.0;0;3.504753112792969e-05;5.6743621826171875e-05;0.1533496379852295;
Barcelona-Stockholm;2753.0;2753.0;0;3.647804260253906e-05;5.817413330078125e-05;0.1686246395111084;
Geneva-Marseilles;478.0;478.0;0;1.6927719116210938e-05;9.059906005859375e-06;0.17706918716430664;
Cologne-Rome;1952.0;1952.0;0;3.6716461181640625e-05;4.744529724121094e-05;0.09331393241882324;
Hamburg-Calais;2213.0;2213.0;5279.0;4.9114227294921875e-05;5.269050598144531e-05;0.002905130386352539;
Gibraltar-Geneva;1975.0;1975.0;1975.0;3.2901763916015625e-05;2.288818359375e-05;0.0007989406585693359;
Vienna-Gibraltar;2965.0;2965.0;0;3.361701965332031e-05;0.00010204315185546875;0.07545161247253418;
Paris-Hook of Holland;457.0;457.0;0;2.4557113647460938e-05;7.3909759521484375e-06;0.16065096855163574;
Milan-Stockholm;2314.0;2314.0;0;5.364418029785156e-05;6.437301635742188e-05;0.15447759628295898;
Madrid-Hamburg;2198.0;2198.0;2198.0;4.172325134277344e-05;4.982948303222656e-05;0.0010447502136230469;
Barcelona-Munich;2074.0;2074.0;7066.0;3.647804260253906e-05;5.364418029785156e-05;0.002798318862915039;
Milan-Calais;1077.0;1077.0;6921.0;2.7179718017578125e-05;2.2411346435546875e-05;0.0021495819091796875;
Hook of Holland-Vienna;1884.0;1884.0;0;2.6702880859375e-05;4.220008850097656e-05;0.1526339054107666;
Milan-Hook of Holland;1180.0;1180.0;0;3.266334533691406e-05;2.5987625122070312e-05;0.15218758583068848;
Lisbon-Munich;2607.0;2607.0;7832.0;3.4332275390625e-05;4.4345855712890625e-05;0.0026166439056396484;
Cologne-Marseilles;1035.0;1035.0;0;3.910064697265625e-05;2.6702880859375e-05;0.169142484664917;
Marseilles-Gibraltar;1693.0;1693.0;0;2.7418136596679688e-05;5.221366882324219e-05;0.06964612007141113;
Milan-Marseilles;618.0;618.0;0;2.0503997802734375e-05;1.239776611328125e-05;0.1703660488128662;
Gibraltar-Calais;2224.0;2224.0;7291.0;3.0279159545898438e-05;2.5510787963867188e-05;0.0031740665435791016;
Madrid-Rome;2096.0;2096.0;0;2.9087066650390625e-05;4.863739013671875e-05;0.08506083488464355;
Gibraltar-Hamburg;2896.0;2896.0;2896.0;4.649162292480469e-05;5.030632019042969e-05;0.0016493797302246094;
Copenhagen-Calais;2444.0;2444.0;11143.0;4.887580871582031e-05;5.1975250244140625e-05;0.006363391876220703;
Geneva-Barcelona;803.0;803.0;3990.0;2.2411346435546875e-05;1.3828277587890625e-05;0.0022149085998535156;
Cologne-Hamburg;460.0;460.0;0;1.811981201171875e-05;1.049041748046875e-05;0.4854307174682617;
Paris-Copenhagen;726.0;726.0;0;1.5497207641601562e-05;1.2636184692382812e-05;0.16632890701293945;
Madrid-Athens;4006.0;4006.0;8204.0;3.5762786865234375e-05;5.936622619628906e-05;0.0055196285247802734;
Lyons-Calais;1379.0;1379.0;0;1.6689300537109375e-05;3.266334533691406e-05;0.1395113468170166;
Lyons-Geneva;745.0;745.0;0;2.1457672119140625e-05;1.5497207641601562e-05;0.07222557067871094;
