Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Vienna-Madrid;2433.0;2433.0;0;3.361701965332031e-05;5.626678466796875e-05;0.0936441421508789;
Calais-Madrid;1807.0;1807.0;0;3.743171691894531e-05;5.125999450683594e-05;0.08043885231018066;
Lyons-Copenhagen;1458.0;1458.0;1458.0;4.506111145019531e-05;4.076957702636719e-05;0.0007970333099365234;
Stockholm-Lyons;2269.0;2269.0;0;6.937980651855469e-05;4.601478576660156e-05;0.1285393238067627;
Stockholm-Hook of Holland;919.0;919.0;0;2.3603439331054688e-05;1.1682510375976562e-05;0.13852143287658691;
Gibraltar-Copenhagen;2697.0;2697.0;0;4.601478576660156e-05;5.1021575927734375e-05;0.10428762435913086;
Milan-Gibraltar;2303.0;2303.0;3256.0;3.0040740966796875e-05;5.745887756347656e-05;0.0017125606536865234;
Munich-Lisbon;1902.0;1902.0;0;2.574920654296875e-05;5.078315734863281e-05;0.1125326156616211;
Madrid-Munich;2266.0;2266.0;0;3.7670135498046875e-05;5.3882598876953125e-05;0.14294958114624023;
Lisbon-Copenhagen;2525.0;2525.0;0;4.935264587402344e-05;4.315376281738281e-05;0.10495638847351074;
Stockholm-Copenhagen;650.0;650.0;4623.0;1.4066696166992188e-05;6.4373016357421875e-06;0.002997875213623047;
Paris-Milan;1376.0;1376.0;0;3.218650817871094e-05;2.4318695068359375e-05;0.07255220413208008;
Marseilles-Cherbourg;1278.0;1278.0;0;2.9802322387695312e-05;3.719329833984375e-05;0.25060367584228516;
Brussels-Calais;2069.0;2069.0;0;4.458427429199219e-05;5.793571472167969e-05;0.15395355224609375;
Vienna-Geneva;1087.0;1087.0;0;1.8835067749023438e-05;1.430511474609375e-05;0.1273508071899414;
Madrid-Lyons;1281.0;1281.0;0;2.6941299438476562e-05;1.9550323486328125e-05;0.13104462623596191;
Athens-Paris;3000.0;3000.0;3000.0;4.220008850097656e-05;2.7894973754882812e-05;0.0009484291076660156;
Calais-Paris;800.0;800.0;0;2.1219253540039062e-05;2.3603439331054688e-05;0.16014409065246582;
Lisbon-Hook of Holland;2256.0;2256.0;0;4.1484832763671875e-05;2.86102294921875e-05;0.12735819816589355;
Geneva-Lyons;158.0;158.0;0;1.1920928955078125e-05;4.291534423828125e-06;0.14098286628723145;
Munich-Barcelona;1365.0;1365.0;0;2.5510787963867188e-05;3.814697265625e-05;0.16249394416809082;
Marseilles-Barcelona;965.0;965.0;0;2.3603439331054688e-05;1.7404556274414062e-05;0.17893362045288086;
Barcelona-Rome;1460.0;1460.0;0;2.7179718017578125e-05;3.0994415283203125e-05;0.16190266609191895;
Calais-Cherbourg;460.0;460.0;0;1.5020370483398438e-05;1.52587890625e-05;0.22777891159057617;
Madrid-Geneva;1582.0;1582.0;0;2.6226043701171875e-05;2.5510787963867188e-05;0.13329005241394043;
Milan-Lyons;486.0;486.0;0;1.6689300537109375e-05;9.5367431640625e-06;0.14626860618591309;
Lyons-Marseilles;320.0;320.0;0;1.4543533325195312e-05;6.9141387939453125e-06;0.05694150924682617;
Madrid-Vienna;2520.0;2520.0;0;4.0531158447265625e-05;5.626678466796875e-05;0.15431499481201172;
Stockholm-Gibraltar;3695.0;3695.0;13761.0;4.9591064453125e-05;6.246566772460938e-05;0.006324052810668945;
Paris-Vienna;2032.0;2032.0;0;3.147125244140625e-05;5.1021575927734375e-05;0.14629578590393066;
Hook of Holland-Milan;1098.0;1098.0;0;3.62396240234375e-05;3.361701965332031e-05;0.05779743194580078;
Lyons-Vienna;1683.0;1683.0;0;0.00015997886657714844;9.036064147949219e-05;0.15011954307556152;
Athens-Geneva;2838.0;2838.0;0;5.698204040527344e-05;2.3603439331054688e-05;0.1297745704650879;
Vienna-Rome;2082.0;2082.0;0;3.123283386230469e-05;5.269050598144531e-05;0.16350340843200684;
Hook of Holland-Copenhagen;269.0;269.0;0;3.314018249511719e-05;6.4373016357421875e-06;0.09159088134765625;
