Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Vienna-Lisbon;2330.0;2330.0;0;7.581710815429688e-05;8.392333984375e-05;0.1791985034942627;
Brussels-Madrid;1971.0;1971.0;0;5.53131103515625e-05;6.437301635742188e-05;0.19621753692626953;
Hook of Holland-Copenhagen;269.0;269.0;0;1.6927719116210938e-05;7.152557373046875e-06;0.18291521072387695;
Copenhagen-Rome;1952.0;1952.0;0;4.553794860839844e-05;4.9114227294921875e-05;0.19188714027404785;
Athens-Lisbon;4081.0;4081.0;0;3.5762786865234375e-05;0.00021195411682128906;0.1680278778076172;
Brussels-Lisbon;1868.0;1868.0;0;4.935264587402344e-05;6.151199340820312e-05;0.1895771026611328;
Milan-Barcelona;1131.0;1131.0;5595.0;2.8133392333984375e-05;2.7179718017578125e-05;0.002347230911254883;
Vienna-Rome;2082.0;2082.0;0;2.3603439331054688e-05;5.507469177246094e-05;0.17918825149536133;
Paris-Barcelona;1963.0;1963.0;1963.0;5.364418029785156e-05;8.20159912109375e-05;0.0018124580383300781;
Milan-Hook of Holland;1180.0;1180.0;0;4.1484832763671875e-05;3.0279159545898438e-05;0.1873481273651123;
Gibraltar-Cherbourg;2466.0;2466.0;0;4.5299530029296875e-05;4.3392181396484375e-05;0.1631910800933838;
Marseilles-Barcelona;965.0;965.0;6178.0;2.6226043701171875e-05;1.8835067749023438e-05;0.0021822452545166016;
Athens-Cologne;3132.0;3132.0;0;4.601478576660156e-05;3.838539123535156e-05;0.18114399909973145;
Hamburg-Cologne;803.0;803.0;0;1.811981201171875e-05;1.4781951904296875e-05;0.16015934944152832;
Marseilles-Brussels;1011.0;1011.0;7708.0;3.910064697265625e-05;2.1696090698242188e-05;0.0026786327362060547;
Lisbon-Gibraltar;2995.0;2995.0;0;3.218650817871094e-05;6.079673767089844e-05;0.17953014373779297;
Vienna-Paris;1662.0;1662.0;0;5.030632019042969e-05;4.5299530029296875e-05;0.1806652545928955;
Lisbon-Vienna;2861.0;2861.0;0;4.458427429199219e-05;5.412101745605469e-05;0.17458486557006836;
Stockholm-Vienna;2265.0;2265.0;0;3.0994415283203125e-05;4.482269287109375e-05;0.18416953086853027;
Gibraltar-Munich;2565.0;2565.0;0;3.814697265625e-05;4.792213439941406e-05;0.20511984825134277;
Vienna-Athens;1991.0;1991.0;1991.0;1.7881393432617188e-05;5.078315734863281e-05;0.001071929931640625;
Stockholm-Munich;1754.0;1754.0;0;2.9325485229492188e-05;3.1948089599609375e-05;0.17764544486999512;
Madrid-Geneva;1582.0;1582.0;0;2.956390380859375e-05;2.7418136596679688e-05;0.18568158149719238;
Hook of Holland-Gibraltar;2776.0;2776.0;0;4.38690185546875e-05;6.008148193359375e-05;0.18059349060058594;
Athens-Marseilles;3128.0;3128.0;0;5.53131103515625e-05;3.4809112548828125e-05;0.1625063419342041;
Lisbon-Hamburg;2337.0;2337.0;0;5.316734313964844e-05;5.269050598144531e-05;0.1692209243774414;
Rome-Geneva;914.0;914.0;0;1.6927719116210938e-05;1.1444091796875e-05;0.1800839900970459;
Marseilles-Gibraltar;1693.0;1693.0;0;2.9087066650390625e-05;5.602836608886719e-05;0.17070841789245605;
Marseilles-Copenhagen;1452.0;1452.0;0;4.124641418457031e-05;4.8160552978515625e-05;0.1902759075164795;
Gibraltar-Rome;2632.0;2632.0;0;3.24249267578125e-05;4.792213439941406e-05;0.19181394577026367;
Hook of Holland-Stockholm;2284.0;2284.0;0;3.6716461181640625e-05;5.626678466796875e-05;0.1827847957611084;
Stockholm-Milan;2017.0;2017.0;0;3.9577484130859375e-05;3.5762786865234375e-05;0.17258381843566895;
Lisbon-Lyons;1178.0;1178.0;0;1.2874603271484375e-05;6.198883056640625e-06;0.18835806846618652;
Lyons-Copenhagen;1458.0;1458.0;0;4.649162292480469e-05;4.00543212890625e-05;0.18523573875427246;
Paris-Athens;3487.0;3487.0;0;4.696846008300781e-05;6.365776062011719e-05;0.19155097007751465;
Marseilles-Madrid;1157.0;1157.0;0;2.4318695068359375e-05;3.075599670410156e-05;0.18167352676391602;
Brussels-Geneva;1435.0;1435.0;0;4.482269287109375e-05;5.5789947509765625e-05;0.18456625938415527;
Milan-Cologne;911.0;911.0;0;3.457069396972656e-05;1.7642974853515625e-05;0.18445158004760742;
Hook of Holland-Barcelona;2148.0;2148.0;6343.0;5.0067901611328125e-05;4.9114227294921875e-05;0.0016148090362548828;
Stockholm-Lyons;2269.0;2269.0;0;5.030632019042969e-05;4.482269287109375e-05;0.19247221946716309;
Paris-Hook of Holland;457.0;457.0;0;1.33514404296875e-05;5.4836273193359375e-06;0.19049334526062012;
Hamburg-Geneva;1464.0;1464.0;0;3.457069396972656e-05;4.029273986816406e-05;0.19714117050170898;
Hook of Holland-Madrid;2078.0;2078.0;0;4.00543212890625e-05;4.76837158203125e-05;0.18518495559692383;
Rome-Calais;1663.0;1663.0;4321.0;2.5033950805664062e-05;3.075599670410156e-05;0.002579927444458008;
Copenhagen-Paris;726.0;726.0;0;2.5272369384765625e-05;1.4066696166992188e-05;0.1877739429473877;
Cologne-Paris;465.0;465.0;0;2.2172927856445312e-05;1.3589859008789062e-05;0.20144200325012207;
Cologne-Copenhagen;538.0;538.0;0;1.6450881958007812e-05;1.5974044799804688e-05;0.19465136528015137;
Lyons-Stockholm;2108.0;2108.0;0;3.5762786865234375e-05;5.6743621826171875e-05;0.16979384422302246;
Munich-Hook of Holland;919.0;919.0;0;3.1948089599609375e-05;2.1696090698242188e-05;0.18838858604431152;
Cherbourg-Paris;340.0;340.0;0;1.2874603271484375e-05;6.4373016357421875e-06;0.16263389587402344;
Stockholm-Rome;2602.0;2602.0;0;4.5299530029296875e-05;5.2928924560546875e-05;0.18931174278259277;
Cologne-Stockholm;1403.0;1403.0;0;1.6450881958007812e-05;3.981590270996094e-05;0.19406867027282715;
Paris-Brussels;1474.0;1474.0;3493.0;3.0040740966796875e-05;2.6702880859375e-05;0.00435948371887207;
Gibraltar-Madrid;698.0;698.0;0;1.2159347534179688e-05;6.4373016357421875e-06;0.17411398887634277;
Rome-Brussels;1867.0;1867.0;4525.0;4.076957702636719e-05;4.4345855712890625e-05;0.0029668807983398438;
Geneva-Cologne;1513.0;1513.0;0;4.029273986816406e-05;4.1961669921875e-05;0.1690540313720703;
