Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Rome-Stockholm;2900.0;2900.0;0;3.933906555175781e-05;5.8650970458984375e-05;0.46793150901794434;
Cologne-Lisbon;2264.0;2264.0;4288.0;3.7670135498046875e-05;5.2928924560546875e-05;0.0035848617553710938;
Geneva-Cologne;1513.0;1513.0;2540.0;4.124641418457031e-05;4.100799560546875e-05;0.0033969879150390625;
Brussels-Copenhagen;441.0;441.0;0;1.811981201171875e-05;1.4066696166992188e-05;0.24725914001464844;
Brussels-Stockholm;1609.0;1609.0;1609.0;2.002716064453125e-05;4.482269287109375e-05;0.002056121826171875;
Stockholm-Cologne;1410.0;1410.0;1410.0;3.218650817871094e-05;1.9073486328125e-05;0.0015025138854980469;
Marseilles-Geneva;425.0;425.0;3141.0;1.9073486328125e-05;1.1205673217773438e-05;0.003651142120361328;
Hook of Holland-Cherbourg;731.0;731.0;0;2.0503997802734375e-05;1.5974044799804688e-05;0.5840065479278564;
Cologne-Stockholm;1403.0;1403.0;1403.0;1.4543533325195312e-05;3.7670135498046875e-05;0.000997781753540039;
Calais-Vienna;1381.0;1381.0;3377.0;4.410743713378906e-05;3.695487976074219e-05;0.003364086151123047;
Madrid-Rome;2096.0;2096.0;2096.0;2.7894973754882812e-05;4.506111145019531e-05;0.0014309883117675781;
Lisbon-Milan;2938.0;2938.0;2938.0;4.673004150390625e-05;5.125999450683594e-05;0.0026803016662597656;
Milan-Paris;1376.0;1376.0;0;3.361701965332031e-05;4.00543212890625e-05;0.47896766662597656;
Copenhagen-Stockholm;2163.0;2163.0;0;2.86102294921875e-05;4.3392181396484375e-05;0.47472453117370605;
Paris-Brussels;1474.0;1474.0;2429.0;3.075599670410156e-05;2.5510787963867188e-05;0.0020737648010253906;
Lyons-Madrid;1281.0;1281.0;1281.0;2.4318695068359375e-05;2.4080276489257812e-05;0.0007872581481933594;
Copenhagen-Paris;726.0;726.0;3401.0;2.2649765014648438e-05;1.3589859008789062e-05;0.004081010818481445;
Paris-Cherbourg;1188.0;1188.0;2778.0;2.0503997802734375e-05;1.8835067749023438e-05;0.0026235580444335938;
Barcelona-Paris;1033.0;1033.0;1033.0;2.9325485229492188e-05;1.5735626220703125e-05;0.0007333755493164062;
Calais-Madrid;1807.0;1807.0;2454.0;3.647804260253906e-05;4.8160552978515625e-05;0.0029077529907226562;
