Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Madrid;2078.0;2078.0;2078.0;3.814697265625e-05;4.649162292480469e-05;0.001779794692993164;
Hamburg-Gibraltar;2897.0;2897.0;0;4.482269287109375e-05;5.650520324707031e-05;0.1903219223022461;
Cologne-Paris;465.0;465.0;0;2.3126602172851562e-05;1.7404556274414062e-05;0.6165976524353027;
Rome-Lyons;1048.0;1048.0;1072.0;1.7404556274414062e-05;1.5735626220703125e-05;0.002982616424560547;
Brussels-Lisbon;1868.0;1868.0;0;4.029273986816406e-05;5.030632019042969e-05;0.33166003227233887;
Hook of Holland-Milan;1098.0;1098.0;0;3.552436828613281e-05;2.2649765014648438e-05;0.325885534286499;
Geneva-Stockholm;2266.0;2266.0;0;4.220008850097656e-05;5.602836608886719e-05;0.5239260196685791;
Rome-Marseilles;1011.0;1011.0;4471.0;2.2172927856445312e-05;1.1920928955078125e-05;0.004458904266357422;
Stockholm-Cologne;1410.0;1410.0;6867.0;3.147125244140625e-05;1.9550323486328125e-05;0.005756855010986328;
Stockholm-Vienna;2265.0;2265.0;0;2.5987625122070312e-05;3.933906555175781e-05;0.3278975486755371;
Cherbourg-Calais;2160.0;2160.0;0;3.838539123535156e-05;5.245208740234375e-05;0.1901705265045166;
Calais-Cologne;410.0;410.0;6324.0;4.553794860839844e-05;2.1696090698242188e-05;0.0076999664306640625;
Barcelona-Rome;1460.0;1460.0;0;3.0994415283203125e-05;3.337860107421875e-05;0.1469588279724121;
Cologne-Calais;1988.0;1988.0;0;4.7206878662109375e-05;5.1021575927734375e-05;0.42437100410461426;
Munich-Hamburg;805.0;805.0;0;3.24249267578125e-05;1.9788742065429688e-05;0.2877213954925537;
Hook of Holland-Vienna;1884.0;1884.0;0;2.384185791015625e-05;4.291534423828125e-05;0.30004167556762695;
Marseilles-Calais;1059.0;1059.0;0;1.5974044799804688e-05;2.5033950805664062e-05;0.1683499813079834;
Lyons-Stockholm;2108.0;2108.0;0;3.504753112792969e-05;5.53131103515625e-05;0.45525431632995605;
Barcelona-Athens;3398.0;3398.0;0;3.457069396972656e-05;5.841255187988281e-05;0.5097231864929199;
Hook of Holland-Paris;457.0;457.0;0;1.9311904907226562e-05;1.0251998901367188e-05;0.5686447620391846;
Munich-Cherbourg;1160.0;1160.0;0;2.6464462280273438e-05;3.24249267578125e-05;0.4900655746459961;
Geneva-Lisbon;1336.0;1336.0;0;1.3589859008789062e-05;3.0517578125e-05;0.28990983963012695;
Brussels-Lyons;690.0;690.0;3531.0;3.838539123535156e-05;2.2649765014648438e-05;0.003264188766479492;
Vienna-Madrid;2433.0;2433.0;0;3.170967102050781e-05;5.340576171875e-05;0.489485502243042;
Hamburg-Lisbon;2337.0;2337.0;0;4.673004150390625e-05;5.078315734863281e-05;0.29587626457214355;
Milan-Copenhagen;1449.0;1449.0;0;3.409385681152344e-05;4.1961669921875e-05;0.21776843070983887;
Marseilles-Copenhagen;1452.0;1452.0;0;3.838539123535156e-05;4.410743713378906e-05;0.23479509353637695;
Vienna-Calais;1381.0;1381.0;0;2.384185791015625e-05;3.0040740966796875e-05;0.18125343322753906;
Lyons-Gibraltar;1817.0;1817.0;0;2.4080276489257812e-05;5.340576171875e-05;0.1954176425933838;
Cherbourg-Paris;340.0;340.0;0;1.3828277587890625e-05;6.9141387939453125e-06;0.5567531585693359;
Calais-Cherbourg;460.0;460.0;1107.0;1.3828277587890625e-05;1.5020370483398438e-05;0.0019898414611816406;
Madrid-Marseilles;1157.0;1157.0;0;2.6226043701171875e-05;1.430511474609375e-05;0.17290616035461426;
Marseilles-Madrid;1157.0;1157.0;0;3.24249267578125e-05;3.218650817871094e-05;0.49158453941345215;
Copenhagen-Lisbon;2525.0;2525.0;0;4.601478576660156e-05;5.602836608886719e-05;0.30463385581970215;
Marseilles-Hamburg;1479.0;1479.0;0;3.7670135498046875e-05;4.839897155761719e-05;0.27683234214782715;
Cologne-Hamburg;460.0;460.0;0;1.8358230590820312e-05;1.0728836059570312e-05;0.36783599853515625;
Gibraltar-Cherbourg;2466.0;2466.0;0;3.8623809814453125e-05;3.981590270996094e-05;0.4662508964538574;
Calais-Munich;1675.0;1675.0;0;4.172325134277344e-05;4.839897155761719e-05;0.33576154708862305;
Cologne-Milan;911.0;911.0;0;3.2901763916015625e-05;1.9311904907226562e-05;0.4536862373352051;
Paris-Milan;1376.0;1376.0;0;3.123283386230469e-05;2.3126602172851562e-05;0.46214795112609863;
Lisbon-Gibraltar;2995.0;2995.0;0;2.86102294921875e-05;5.316734313964844e-05;0.17051100730895996;
Calais-Barcelona;1522.0;1522.0;0;5.14984130859375e-05;4.220008850097656e-05;0.38373804092407227;
Madrid-Milan;1724.0;1724.0;0;4.696846008300781e-05;2.8371810913085938e-05;0.48227453231811523;
Munich-Hook of Holland;919.0;919.0;0;3.170967102050781e-05;2.1457672119140625e-05;0.16887164115905762;
Athens-Brussels;2926.0;2926.0;0;3.123283386230469e-05;2.5272369384765625e-05;0.4845583438873291;
Rome-Cherbourg;1767.0;1767.0;0;2.384185791015625e-05;3.790855407714844e-05;0.490185022354126;
Madrid-Munich;2266.0;2266.0;0;3.5762786865234375e-05;5.125999450683594e-05;0.12170934677124023;
Barcelona-Hook of Holland;1490.0;1490.0;0;8.916854858398438e-05;3.719329833984375e-05;0.1725785732269287;
Lisbon-Geneva;1923.0;1923.0;1923.0;2.4318695068359375e-05;2.47955322265625e-05;0.0018260478973388672;
Hook of Holland-Rome;1683.0;1683.0;0;4.863739013671875e-05;4.315376281738281e-05;0.36870431900024414;
Lyons-Brussels;1331.0;1331.0;0;3.981590270996094e-05;2.9802322387695312e-05;0.49567699432373047;
Hook of Holland-Calais;2175.0;2175.0;0;4.935264587402344e-05;5.0067901611328125e-05;0.36421775817871094;
Athens-Geneva;2838.0;2838.0;2838.0;2.5033950805664062e-05;1.6450881958007812e-05;0.0019690990447998047;
Hamburg-Stockholm;2206.0;2206.0;0;2.2649765014648438e-05;8.249282836914062e-05;0.37156248092651367;
Lisbon-Munich;2607.0;2607.0;0;4.887580871582031e-05;5.0067901611328125e-05;0.1304311752319336;
Lyons-Copenhagen;1458.0;1458.0;0;5.14984130859375e-05;4.1484832763671875e-05;0.22282838821411133;
Paris-Athens;3487.0;3487.0;0;5.0067901611328125e-05;6.318092346191406e-05;0.47946977615356445;
Stockholm-Marseilles;2102.0;2102.0;0;4.839897155761719e-05;3.814697265625e-05;0.5307145118713379;
Brussels-Paris;629.0;629.0;0;2.574920654296875e-05;1.811981201171875e-05;0.5474135875701904;
Barcelona-Brussels;1530.0;1530.0;0;4.100799560546875e-05;4.100799560546875e-05;0.49518322944641113;
